"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Constituency","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"315","Normal/Others","WS/MP18226/2024-2025/169368-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Noori Masjid intersection in Gram Panchayat Danduri.","27-Jan-2025","12-Mar-2025","166050","Physical Inspection"
"316","Normal/Others","WS/MP18226/2024-2025/169369-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near the intersection in Majra Bhagharpurva of Gram Panchayat Chandpura.","27-Jan-2025","12-Mar-2025","166050","Physical Inspection"
"317","Normal/Others","WS/MP18226/2024-2025/169370-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Jama Masjid intersection in Gram Panchayat Kharwahiya No. 2.","27-Jan-2025","12-Mar-2025","166050","Physical Inspection"
"318","Normal/Others","WS/MP18226/2024-2025/169371-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Banaras Kashyap house intersection in Gram Panchayat Sinsaiya.","27-Jan-2025","12-Mar-2025","166050","Physical Inspection"
"319","Normal/Others","WS/MP18226/2024-2025/169372-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near the masjid  intersection in village Mahadev of Gram Panchayat Sohariya.","27-Jan-2025","12-Mar-2025","166050","Physical Inspection"
"320","Normal/Others","WS/MP18226/2024-2025/169373-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a high semi mast light 6 way near village Bangli Colony intersection of village Panchayat Tahara.","27-Jan-2025","12-Mar-2025","166050","Physical Inspection"
"321","Normal/Others","WS/MP18226/2024-2025/169374-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Shiv Mandir intersection in Mallabehad village Panchayat Mallabehad.","27-Jan-2025","12-Mar-2025","166050","Physical Inspection"
"322","Normal/Others","WS/MP18226/2024-2025/169375-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near village Podkhiya Bala Ji Mandir intersection of Gram Panchayat Gauria.","27-Jan-2025","12-Mar-2025","166050","Physical Inspection"
"323","Normal/Others","WS/MP18226/2024-2025/169376-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Okeshar Nath temple intersection in village Ballipur.","27-Jan-2025","12-Mar-2025","166033","Physical Inspection"
"324","Normal/Others","WS/MP18226/2024-2025/169838-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Mata Ji Mandir intersection in village Gangabehad.","29-Jan-2025","12-Mar-2025","166033","Physical Inspection"
"325","Normal/Others","WS/MP18226/2024-2025/169839-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Rani Farm Gurudwara intersection in village Ludhauri.","29-Jan-2025","12-Mar-2025","166033","Physical Inspection"
"326","Normal/Others","WS/MP18226/2024-2025/169840-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near the Shiv Mandir intersection in village Chudatanda of G.P. Ludhauri.","29-Jan-2025","12-Mar-2025","166033","Physical Inspection"
"327","Normal/Others","WS/MP18226/2024-2025/169841-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near village Dhakherwa Khalsa Masjid intersection.","29-Jan-2025","12-Mar-2025","166033","Physical Inspection"
"328","Normal/Others","WS/MP18226/2024-2025/169851-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Bajranggarh Farm Gurudwara intersection of village Dhakherwa Khalsa.","29-Jan-2025","12-Mar-2025","166033","Physical Inspection"
"329","Normal/Others","WS/MP18226/2024-2025/169852-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Jama Masjid intersection in Nagar panchayt Nighasan.","29-Jan-2025","12-Mar-2025","166033","Physical Inspection"
"330","Normal/Others","WS/MP18226/2024-2025/169853-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way at the intersection near Arif house in Mo. Atal Nagar (Buddhipurwa) of Nagar Panchayat Nighasan.","29-Jan-2025","12-Mar-2025","166033","Physical Inspection"
"331","Normal/Others","WS/MP18226/2024-2025/169854-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Gurudwara intersection in Nagar Panchayat Nighasan.","29-Jan-2025","12-Mar-2025","166033","Physical Inspection"
"332","Normal/Others","WS/MP18226/2024-2025/169855-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Shani Maharaj Mandir intersection in Mo. Patelnagar Chaudharypurwa Nagar Panchayt Nighasan.","29-Jan-2025","12-Mar-2025","166033","Physical Inspection"
"333","Normal/Others","WS/MP18226/2024-2025/169856-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Devhara Baba Mandir intersection in Gram Panchayat Ludhauri village Jokhipurwa.","29-Jan-2025","12-Mar-2025","166033","Physical Inspection"
"334","Normal/Others","WS/MP18226/2024-2025/169880-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near the masjid intersection in village Bamhanpur.","29-Jan-2025","12-Mar-2025","166033","Physical Inspection"
"335","Normal/Others","WS/MP18226/2024-2025/169881-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near the masjid intersection in village Dharmapur.","29-Jan-2025","12-Mar-2025","166033","Physical Inspection"
"336","Normal/Others","WS/MP18226/2024-2025/169882-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near village Dwarikapurva Masjid intersection of Gram Panchayat Gangabehar.","29-Jan-2025","12-Mar-2025","166033","Physical Inspection"
"337","Normal/Others","WS/MP18226/2024-2025/169883-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Jama Masjid intersection in village Sahankheda.","29-Jan-2025","12-Mar-2025","166033","Physical Inspection"
"338","Normal/Others","WS/MP18226/2024-2025/169884-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Jama Masjid intersection in village Khamaria Koilar.","29-Jan-2025","12-Mar-2025","166033","Physical Inspection"
"339","Normal/Others","WS/MP18226/2024-2025/169885-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near the intersection at Gurudwara Kaudiyala Ghat in village Barsola Kalan","29-Jan-2025","12-Mar-2025","166033","Physical Inspection"
"340","Normal/Others","WS/MP18226/2024-2025/169886-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Gurudwara Charahe in village Ganganagar.","29-Jan-2025","12-Mar-2025","166033","Physical Inspection"
"341","Normal/Others","WS/MP18226/2024-2025/169887-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Jama Masjid intersection in village Binaura.","29-Jan-2025","12-Mar-2025","166033","Physical Inspection"
"342","Normal/Others","WS/MP18226/2024-2025/169888-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Sidhauna intersection in village Sindhauna.","29-Jan-2025","12-Mar-2025","166033","Physical Inspection"
"343","Normal/Others","WS/MP18226/2024-2025/169889-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Durga Mandir intersection in Gram Panchayat Barautha village Kurminpurwa.","29-Jan-2025","12-Mar-2025","166033","Physical Inspection"
"344","Normal/Others","WS/MP18226/2024-2025/169918-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Syed Farm intersection in village Boudhiya Kalan.","29-Jan-2025","12-Mar-2025","166033","Physical Inspection"
"345","Normal/Others","WS/MP18226/2024-2025/169919-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Kadiya intersection in Gram Panchayat Bhedauri village Belrayon.","29-Jan-2025","12-Mar-2025","166033","Physical Inspection"
"346","Normal/Others","WS/MP18226/2024-2025/169920-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near the intersection in village Belaparsua.","29-Jan-2025","12-Mar-2025","166033","Physical Inspection"
"347","Normal/Others","WS/MP18226/2024-2025/169921-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Gurudwara intersection in village Majha.","29-Jan-2025","12-Mar-2025","166033","Physical Inspection"
"348","Normal/Others","WS/MP18226/2024-2025/169922-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near the temple intersection near the house of Rajesh Chaturvedi in Atal Nagar of Nagar Panchayat Nighasan.","29-Jan-2025","12-Mar-2025","166033","Physical Inspection"
"349","Normal/Others","WS/MP18226/2024-2025/169923-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near the masjid intersection in village Lalpur of Gram Panchayat Lalpur.","29-Jan-2025","12-Mar-2025","166033","Physical Inspection"
"350","Normal/Others","WS/MP18226/2024-2025/169924-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Devi Mandir intersection in village Pachpedi of Gram Panchayat Mudabujurg.","29-Jan-2025","12-Mar-2025","166033","Physical Inspection"
"351","Normal/Others","WS/MP18226/2024-2025/169925-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near village Tara Nagar Mandir intersection of Gram Panchayat Mudabujurg.","29-Jan-2025","12-Mar-2025","166033","Physical Inspection"
"352","Normal/Others","WS/MP18226/2024-2025/169926-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near village Harisinghpur Masjid intersection of Gram Panchayat Harisinghpur.","29-Jan-2025","12-Mar-2025","166033","Physical Inspection"
"353","Normal/Others","WS/MP18226/2024-2025/169927-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Tikona Baba intersection in village Adalabad.","29-Jan-2025","12-Mar-2025","166033","Physical Inspection"
"Grand Total"," "," "," "," "," "," "," "," "," "," ","8,13,61,922"
