"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"11","Nagaland","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP233/2025-2026/202323","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","31-Oct-2025","H NYAMTO KONYAK","Payment Success","10500000"
"12","Nagaland","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP233/2023-2024/56829","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","23-Dec-2023","T N NAIWANG KONYAK","Payment Success","500000"
"13","Nagaland","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP233/2023-2024/56829","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","09-Mar-2024","T N NAIWANG KONYAK","Payment Success","500000"
"14","Nagaland","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP233/2023-2024/56788","KIPHIRE(Deputy Commissioner Kiphire_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","04-Mar-2024","TRIBAL ENTERPRISE","Payment Success","1250000"
"15","Nagaland","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP233/2023-2024/56788","KIPHIRE(Deputy Commissioner Kiphire_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","26-Jul-2024","TRIBAL ENTERPRISE","Payment Success","1250000"
"16","Nagaland","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP233/2023-2024/56800","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","22-Dec-2023","YAPHO KONYAK","Payment Success","750000"
"17","Nagaland","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP233/2023-2024/56800","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","10-Mar-2024","YAPHO KONYAK","Payment Success","750000"
"18","Nagaland","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP233/2024-2025/133826","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","09-Nov-2024","N AMSHA KONYAK","Payment Success","600000"
"19","Nagaland","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP233/2024-2025/133826","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","17-Dec-2025","N AMSHA KONYAK","Payment Success","600000"
"20","Nagaland","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP233/2025-2026/225208","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","10-Sep-2025","H L Tongwang","Payment Success","6000000"
"21","Nagaland","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP233/2025-2026/225208","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","01-Nov-2025","H L Tongwang","Payment Success","4000000"
"22","Nagaland","Construction of footpaths and pedestrian ways","WS/MP233/2024-2025/133814","MOKOKCHUNG(Deputy Commissioner Mokokchung_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","04-Oct-2024","Imnasenla Lemtur","Payment Success","1000000"
"23","Nagaland","Construction of footpaths and pedestrian ways","WS/MP233/2024-2025/133814","MOKOKCHUNG(Deputy Commissioner Mokokchung_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","04-Dec-2024","Imnasenla Lemtur","Payment Success","1000000"
"24","Nagaland","Construction of footpaths and pedestrian ways","WS/MP233/2025-2026/239079","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","27-Oct-2025","Peter N Konyak","Payment Success","1000000"
"25","Nagaland","Construction of footpaths and pedestrian ways","WS/MP233/2025-2026/266721","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","23-Feb-2026","Wanglam Konyak","Payment Success","1000000"
"26","Nagaland","Construction of footpaths and pedestrian ways","WS/MP233/2025-2026/249163","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","10-Dec-2025","Yanga Y Konyak","Payment Success","600000"
"27","Nagaland","Construction of footpaths and pedestrian ways","WS/MP233/2025-2026/249163","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","20-Jan-2026","Yanga Y Konyak","Payment Success","400000"
"28","Nagaland","Construction of footpaths and pedestrian ways","WS/MP233/2026-2027/280805","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","19-May-2026","Naiwang Konyak","Payment Success","1820000"
"29","Nagaland","Construction of footpaths and pedestrian ways","WS/MP233/2026-2027/280805","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","15-Jul-2026","Naiwang Konyak","Payment Success","780000"
"30","Nagaland","Construction of public staircase/ stair ghat for public convenience","WS/MP233/2025-2026/249159","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","10-Dec-2025","N Heihnei Konyak","Payment Success","360000"
"31","Nagaland","Construction of public staircase/ stair ghat for public convenience","WS/MP233/2025-2026/249159","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","02-Mar-2026","N Heihnei Konyak","Payment Success","240000"
"32","Nagaland","Construction of public staircase/ stair ghat for public convenience","WS/MP233/2025-2026/251286","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","10-Dec-2025","Litwang Konyak","Payment Success","600000"
"33","Nagaland","Construction of public staircase/ stair ghat for public convenience","WS/MP233/2025-2026/251286","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","20-Jan-2026","Litwang Konyak","Payment Success","400000"
"34","Nagaland","Construction of public staircase/ stair ghat for public convenience","WS/MP233/2025-2026/251322","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","10-Dec-2025","Wangkhum Konyak","Payment Success","971400"
"35","Nagaland","Construction of public staircase/ stair ghat for public convenience","WS/MP233/2025-2026/251322","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","20-Jan-2026","Wangkhum Konyak","Payment Success","647600"
"36","Nagaland","Tree plantation for community","WS/MP233/2026-2027/280806","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","22-Jun-2026","N Phamlih Friday","Payment Success","2220000"
"37","Nagaland","Tree plantation for community","WS/MP233/2026-2027/280806","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","04-Aug-2026","N Phamlih Friday","Payment Success","780000"
"38","Nagaland","Tree plantation for community","WS/MP233/2026-2027/286222","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","10-Aug-2026","Phowang","Payment Success","320000"
"39","Nagaland","Tree plantation for community","WS/MP233/2025-2026/248293","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","07-Feb-2026","TEMWANG","Payment Success","500000"
"40","Nagaland","Tree plantation for community","WS/MP233/2025-2026/248293","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","11-Mar-2026","TEMWANG","Payment Success","500000"
"41","Nagaland","Providing sports equipment, except consumable items","WS/MP233/2025-2026/227934","DIMAPUR(DEPUTY COMMISSIONER DIMAPUR_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","22-Oct-2025","MR KASHITO KIBA","Payment Success","500000"
"42","Nagaland","Providing sports equipment, except consumable items","WS/MP233/2025-2026/230254","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","24-Oct-2025","A RHENAM KONYAK","Payment Success","500000"
"43","Nagaland","Providing sports equipment, except consumable items","WS/MP233/2025-2026/239054","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","21-Oct-2025","L Shojila Yimchunger","Payment Success","5304000"
"44","Nagaland","Providing sports equipment, except consumable items","WS/MP233/2025-2026/250935","Chumoukedima(Deputy Commissioner Chumoukedima_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","17-Jan-2026","Medochuzo Medoze","Payment Success","400000"
"45","Nagaland","Providing sports equipment, except consumable items","WS/MP233/2025-2026/227169","KOHIMA(DEPUTY COMMISIONER_7)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","21-Oct-2025","Menovikho Viyie","Payment Success","300000"
"46","Nagaland","Providing sports equipment, except consumable items","WS/MP233/2025-2026/227311","MOKOKCHUNG(Deputy Commissioner Mokokchung_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","27-Oct-2025","I WATI JAMIR","Payment Success","300000"
"47","Nagaland","Construction of buildings for sports facilities","WS/MP233/2025-2026/246829","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","10-Dec-2025","N Khongwang Konyak","Payment Success","900000"
"48","Nagaland","Construction of buildings for sports facilities","WS/MP233/2025-2026/246829","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","02-Mar-2026","N Khongwang Konyak","Payment Success","600000"
"49","Nagaland","Development of public parks","WS/MP233/2024-2025/133820","Tseminyu(Deputy Commissioner Tseminyu_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","03-Dec-2024","THOMAS MAGH","Payment Success","250000"
"50","Nagaland","Development of public parks","WS/MP233/2024-2025/133820","Tseminyu(Deputy Commissioner Tseminyu_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","20-Dec-2024","THOMAS MAGH","Payment Success","250000"
"51","Nagaland","Development of playfields and sports grounds","WS/MP233/2024-2025/133824","WOKHA(Deputy Commissioner Wokha_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","18-Dec-2024","CHENIRAO","Payment Success","600000"
"52","Nagaland","Development of playfields and sports grounds","WS/MP233/2024-2025/133824","WOKHA(Deputy Commissioner Wokha_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","21-Feb-2025","CHENIRAO","Payment Success","400000"
"53","Nagaland","Development of playfields and sports grounds","WS/MP233/2025-2026/249157","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","10-Dec-2025","Tinge N Konyak","Payment Success","240000"
"54","Nagaland","Development of playfields and sports grounds","WS/MP233/2025-2026/249157","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","20-Jan-2026","Tinge N Konyak","Payment Success","160000"
"55","Nagaland","Setting up public non-conventional energy plants","WS/MP233/2025-2026/227941","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","14-Oct-2025","ALEM N KONYAK","Payment Success","1000000"
"56","Nagaland","Setting up public non-conventional energy plants","WS/MP233/2025-2026/227942","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","14-Oct-2025","ALEM N KONYAK","Payment Success","1000000"
"57","Nagaland","Setting up public non-conventional energy plants","WS/MP233/2025-2026/227312","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","10-Oct-2025","ALEM N KONYAK","Payment Success","1000000"
