"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"465","Normal/Others","WS/MP18304/2025-2026/191663-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of Pucca pathway from village karyal to cheyad","16-Apr-2025","23-Jun-2025","100000","Work partially Completed"
"466","Repair and Renovation","WS/MP18304/2025-2026/191691-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of Repaired Road from Barajubbar to Panchayat Ghar Koti","16-Apr-2025","23-Jun-2025","100000","Vendor Identification"
"467","Repair and Renovation","WS/MP18304/2025-2026/191692-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Repaired road from Ruhalti to Pati","16-Apr-2025","23-Jun-2025","100000","Vendor Identification"
"468","Normal/Others","WS/MP18304/2025-2026/191731-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of Pucca path from village Chanair to lower Kadharb","16-Apr-2025","23-Jun-2025","150000","Work partially Completed"
"469","Normal/Others","WS/MP18304/2025-2026/191732-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of ambulance road tapran to dunnga jubbad","16-Apr-2025","23-Jun-2025","200000","Work partially Completed"
"470","Normal/Others","WS/MP18304/2025-2026/191737-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","SIRMAUR(DEPUTY COMMISSIONER SIRMOUR_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of Links Road main road khorowala vill. To Sanjeen khurana basti Executive Agency BDO Paonta Sahib","16-Apr-2025","30-Oct-2025","200000","Work partially Completed"
"471","Normal/Others","WS/MP18304/2025-2026/191738-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","SIRMAUR(DEPUTY COMMISSIONER SIRMOUR_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of Links Road giri canal to phool kumar basti Executive Agency BDO Paonta Sahib","16-Apr-2025","30-Oct-2025","200000","Work partially Completed"
"472","Normal/Others","WS/MP18304/2025-2026/192502-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of Pucca path From Vill. Muklaili to Gov. Primary school","19-Apr-2025","02-May-2025","100000","Work Completed"
"473","Normal/Others","WS/MP18304/2025-2026/192518-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of Road to Shiv Temple from Jhandi bawdi","19-Apr-2025","23-Jun-2025","100000","Vendor Identification"
"474","Normal/Others","WS/MP18304/2025-2026/192523-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of Drain on Katli-Seri link Ambulance Road at Vill. seri","19-Apr-2025","23-Jun-2025","100000","Vendor Identification"
"475","Repair and Renovation","WS/MP18304/2025-2026/192525-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Repair of Different Road and Pathways of GP patgaihar","19-Apr-2025","24-Jul-2025","100000","Vendor Identification"
"476","Normal/Others","WS/MP18304/2025-2026/195740-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of Road and Pathway From gaglethi to chhoti","01-May-2025","19-Jun-2025","200000","Physical Inspection"
"477","Normal/Others","WS/MP18304/2025-2026/195808-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of Contact paved road main road Padar to kavanti","01-May-2025","24-Jul-2025","500000","Vendor Identification"
"478","Normal/Others","WS/MP18304/2025-2026/195814-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","MANDI(DEPUTY COMMISSIONER MANDI_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of Link Road and Pathway near Shri Balber SO Shri Madan Lal","01-May-2025","28-May-2025","200000","Vendor Identification"
"479","Normal/Others","WS/MP18304/2025-2026/195831-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of Pucca Path to Rajpura Phase-II","01-May-2025","07-Jul-2025","200000","Work Completed"
"480","Normal/Others","WS/MP18304/2025-2026/195832-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of Ambulance Road From Bhed to Thadi","01-May-2025","30-May-2025","200000","Work Completed"
"481","Normal/Others","WS/MP18304/2025-2026/195833-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of Pucca Path Ambulance Road from Barour-II to Chaminu Phase-I","01-May-2025","07-Jan-2026","250000","Vendor Identification"
"482","Normal/Others","WS/MP18304/2025-2026/195835-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of Ambulance Road at hipli to guwad phase-II","01-May-2025","04-Oct-2025","300000","Work partially Completed"
