"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"22","Jammu And Kashmir","Lighting of public spaces","WS/MP839/2023-2024/33831","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","02-Dec-2023","RMK ENTERPRISES","Payment Success","243000"
"23","Jammu And Kashmir","Lighting of public spaces","WS/MP839/2023-2024/33832","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","01-Dec-2023","RMK ENTERPRISES","Payment Success","243000"
"24","Jammu And Kashmir","Lighting of public spaces","WS/MP839/2023-2024/33833","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","01-Dec-2023","RMK ENTERPRISES","Payment Success","243000"
"25","Jammu And Kashmir","Lighting of public spaces","WS/MP839/2023-2024/33834","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","01-Dec-2023","RMK ENTERPRISES","Payment Success","243000"
"26","Jammu And Kashmir","Lighting of public spaces","WS/MP839/2023-2024/33835","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","01-Dec-2023","RMK ENTERPRISES","Payment Success","243000"
"27","Jammu And Kashmir","Lighting of public spaces","WS/MP839/2023-2024/33836","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","01-Dec-2023","RMK ENTERPRISES","Payment Success","243000"
"28","Jammu And Kashmir","Lighting of public spaces","WS/MP839/2023-2024/33837","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","03-Dec-2023","RMK ENTERPRISES","Payment Success","243000"
"29","Jammu And Kashmir","Lighting of public spaces","WS/MP839/2023-2024/33838","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","02-Dec-2023","RMK ENTERPRISES","Payment Success","243000"
"30","Jammu And Kashmir","Lighting of public spaces","WS/MP839/2023-2024/33839","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","02-Dec-2023","RMK ENTERPRISES","Payment Success","243000"
"31","Jammu And Kashmir","Lighting of public spaces","WS/MP839/2023-2024/33840","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","02-Dec-2023","RMK ENTERPRISES","Payment Success","243000"
"32","Jammu And Kashmir","Lighting of public spaces","WS/MP839/2023-2024/33841","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","02-Dec-2023","RMK ENTERPRISES","Payment Success","243000"
"33","Jammu And Kashmir","Lighting of public spaces","WS/MP839/2023-2024/33842","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","03-Dec-2023","RMK ENTERPRISES","Payment Success","243000"
