"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"17","Normal/Others","NA-Purchase of mobile sanitation equipment","Jammu And Kashmir","KISHTWAR(Deputy Commissioner Kishtwar_IDA)","Shri Sajjad Ahmad Kichloo (2025-31) (2025-2031)","Elected MP","Procurement of 01 Intra V-30 Hopper-Tipper 1.83 cubic meter for garbage collection including registration and Insurance, for District Hospital Kishtwar.","14-Jul-2026","1200000","NA"
"18","Normal/Others","NA-Providing supply pipelines for drinking water","Jammu And Kashmir","KISHTWAR(Deputy Commissioner Kishtwar_IDA)","Shri Sajjad Ahmad Kichloo (2025-31) (2025-2031)","Elected MP","Providing Drinking Water supply pipe lines to Chobdarigwari and nearby habitations.","13-Jul-2026","500000","NA"
"19","Normal/Others","NA-Providing supply pipelines for drinking water","Jammu And Kashmir","KISHTWAR(Deputy Commissioner Kishtwar_IDA)","Shri Sajjad Ahmad Kichloo (2025-31) (2025-2031)","Elected MP","Providing Supply pipe line for drinking water to zargar Mohallah, Ward No. 7, Kishtwar.","13-Jul-2026","500000","NA"
"20","Normal/Others","NA-Purchase of hospital equipment","Jammu And Kashmir","KISHTWAR(Deputy Commissioner Kishtwar_IDA)","Shri Sajjad Ahmad Kichloo (2025-31) (2025-2031)","Elected MP","Procurement of 06 Stretchers, 15 Commercial Dustbins, 06 Wheelchairs, 05 Examination tables and 10 Waiting benches for District Hospital Kishtwar.","14-Jul-2026","850000","NA"
"21","Normal/Others","NA-Purchase of ambulances (Four, three and two wheelers)","Jammu And Kashmir","KISHTWAR(Deputy Commissioner Kishtwar_IDA)","Shri Sajjad Ahmad Kichloo (2025-31) (2025-2031)","Elected MP","Procurement of 02 Basic Life Support Ambulances (Mahindra Trax) including registration and insurance, for District Hospital Kishtwar.","14-Jul-2026","2800000","NA"
"22","Normal/Others","NA-Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","Jammu And Kashmir","KISHTWAR(Deputy Commissioner Kishtwar_IDA)","Shri Sajjad Ahmad Kichloo (2025-31) (2025-2031)","Elected MP","Purchase of Artificial Limb above Knee prostheses for Shri Mohd Yousef Koka of Warwan Busmina, Kishtwar.","13-Jul-2026","192000","NA"
"23","Normal/Others","NA-Installing tube-wells and borewells","Jammu And Kashmir","KISHTWAR(Deputy Commissioner Kishtwar_IDA)","Shri Sajjad Ahmad Kichloo (2025-31) (2025-2031)","Elected MP","Construction of Borewells and Tube Wells.","27-Aug-2026","2000000","NA"
"24","Normal/Others","NA-Setting up of laboratories","Jammu And Kashmir","KISHTWAR(Deputy Commissioner Kishtwar_IDA)","Shri Sajjad Ahmad Kichloo (2025-31) (2025-2031)","Elected MP","Setting up of a Computer Laboratory in HSS Ligri, Padder, District Kishtwar.","13-Jul-2026","1000000","NA"
"25","Normal/Others","NA-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","Jammu And Kashmir","KISHTWAR(Deputy Commissioner Kishtwar_IDA)","Shri Sajjad Ahmad Kichloo (2025-31) (2025-2031)","Elected MP","Construction of Protection Wall at Old Grave yard Bunjwar, Panchayat Pochhal-B2, Ward No 6 & 7.","13-Jul-2026","500000","NA"
"26","Normal/Others","WS/MP18440/2026-2027/294462-Construction of boundary walls of existing public and community buildings","Jammu And Kashmir","UDHAMPUR(Deputy Commissioner Udhampur_IDA)","Shri Sat Paul Sharma (2025-31) (2025-2031)","Elected MP","Boundary wall of community hall at Mahatma Rasila Ram Vedic Vanaprastha Anand Dham","12-Jul-2026","1920000","06-Aug-2026"
"27","Normal/Others","NA-Setting up of farmers’ training and assistance centers","Jammu And Kashmir","UDHAMPUR(Deputy Commissioner Udhampur_IDA)","Shri Sat Paul Sharma (2025-31) (2025-2031)","Elected MP","farmer training centre","27-Aug-2026","4000000","NA"
"28","Normal/Others","NA-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Jammu And Kashmir","DODA(Deputy Commissioner Doda_IDA)","Shri Sajjad Ahmad Kichloo (2025-31) (2025-2031)","Elected MP","Construction of Retaining/Protection Wall to protect area near Madrassa Ziya Ul Aloom, Thatri, Doda.","13-Jul-2026","400000","NA"
