"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"676","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169888","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","13-Jul-2025","Shiv Kumar","Payment Success","108338"
"677","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169888","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","21-Sep-2025","Shiv Kumar","Payment Success","57695"
"678","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169889","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","13-Jul-2025","Shiv Kumar","Payment Success","108338"
"679","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169889","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","21-Sep-2025","Shiv Kumar","Payment Success","57695"
"680","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169918","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","13-Jul-2025","Shiv Kumar","Payment Success","108338"
"681","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169918","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","21-Sep-2025","Shiv Kumar","Payment Success","57695"
"682","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169919","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","13-Jul-2025","Shiv Kumar","Payment Success","108338"
"683","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169919","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","21-Sep-2025","Shiv Kumar","Payment Success","57695"
"684","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169920","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","13-Jul-2025","Shiv Kumar","Payment Success","108338"
"685","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169920","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","21-Sep-2025","Shiv Kumar","Payment Success","57695"
"686","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169921","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","13-Jul-2025","Shiv Kumar","Payment Success","108338"
"687","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169921","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","21-Sep-2025","Shiv Kumar","Payment Success","57695"
"688","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169922","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","13-Jul-2025","Shiv Kumar","Payment Success","108338"
"689","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169922","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","21-Sep-2025","Shiv Kumar","Payment Success","57695"
"690","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169923","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","13-Jul-2025","Shiv Kumar","Payment Success","108338"
"691","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169923","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","21-Sep-2025","Shiv Kumar","Payment Success","57695"
"692","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169924","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","13-Jul-2025","Shiv Kumar","Payment Success","108338"
"693","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169924","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","21-Sep-2025","Shiv Kumar","Payment Success","57695"
"694","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169925","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","13-Jul-2025","Shiv Kumar","Payment Success","108338"
"695","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169925","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","21-Sep-2025","Shiv Kumar","Payment Success","57695"
"696","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169926","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","13-Jul-2025","Shiv Kumar","Payment Success","108338"
"697","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169926","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","21-Sep-2025","Shiv Kumar","Payment Success","57695"
"698","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169927","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","13-Jul-2025","Shiv Kumar","Payment Success","108338"
"699","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169927","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","21-Sep-2025","Shiv Kumar","Payment Success","57695"
"Grand Total"," "," "," "," "," "," "," "," "," ","7,49,09,150"
