"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"587","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169345","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","21-Sep-2025","Shiv Kumar","Payment Success","57701"
"588","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169346","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","29-May-2025","Shiv Kumar","Payment Success","108349"
"589","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169346","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","21-Sep-2025","Shiv Kumar","Payment Success","57701"
"590","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169348","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","29-May-2025","Shiv Kumar","Payment Success","108349"
"591","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169348","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","21-Sep-2025","Shiv Kumar","Payment Success","57701"
"592","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169349","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","29-May-2025","Shiv Kumar","Payment Success","108349"
"593","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169349","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","21-Sep-2025","Shiv Kumar","Payment Success","57701"
"594","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169350","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","29-May-2025","Shiv Kumar","Payment Success","108349"
"595","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169350","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","21-Sep-2025","Shiv Kumar","Payment Success","57701"
"596","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169351","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","29-May-2025","Shiv Kumar","Payment Success","108349"
"597","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169351","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","21-Sep-2025","Shiv Kumar","Payment Success","57701"
"598","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169352","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","29-May-2025","Shiv Kumar","Payment Success","108349"
"599","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169352","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","21-Sep-2025","Shiv Kumar","Payment Success","57701"
"600","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169353","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","29-May-2025","Shiv Kumar","Payment Success","108349"
"601","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169353","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","21-Sep-2025","Shiv Kumar","Payment Success","57701"
"602","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169356","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","12-Jul-2025","Shiv Kumar","Payment Success","108349"
"603","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169356","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","21-Sep-2025","Shiv Kumar","Payment Success","57701"
"604","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169357","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","12-Jul-2025","Shiv Kumar","Payment Success","108349"
"605","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169357","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","21-Sep-2025","Shiv Kumar","Payment Success","57701"
"606","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169358","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","12-Jul-2025","Shiv Kumar","Payment Success","108349"
"607","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169358","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","22-Sep-2025","Shiv Kumar","Payment Success","57701"
"608","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169359","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","12-Jul-2025","Shiv Kumar","Payment Success","108349"
"609","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169359","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","22-Sep-2025","Shiv Kumar","Payment Success","57701"
"610","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169360","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","12-Jul-2025","Shiv Kumar","Payment Success","108349"
"611","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169360","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","22-Sep-2025","Shiv Kumar","Payment Success","57701"
