"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"18","Normal/Others","WS/MP218/2025-2026/155784-Construction of rooms and halls in school and colleges","West Bengal","KOLKATA(COMMISSIONER KOLKATA MUNICIPAL CORPORATION_IDA)","Ms. Dola Sen (2023-29) (2023-2029)","Elected MP","DEVELOPMENT OF THE BHAWANIPUR GUJRATI EDUCATION SOCIETY. 5 LALA LAJPAT SARANI, KOLKATA 700020","27-Dec-2024","03-Apr-2025","5000000","Sanction"
"19","Trust and Society","WS/MP18383/2025-2026/162628-Construction of rooms and halls in school and colleges","West Bengal","Paschim Medinipur(DISTRICT MAGISTRATE PASCHIM MEDINIPUR_IDA)","Shri Samik Bhattacharya (2024-30) (2024-2030)","Elected MP","Construction of Boys Hostel Building of Keshiary Saraswati Sishu Mandir Seva Samiti.","31-Dec-2024","07-May-2025","2000000","Vendor Identification"
"20","Normal/Others","WS/MP217/2024-2025/163560-Construction of rooms and halls in school and colleges","West Bengal","KOLKATA(COMMISSIONER KOLKATA MUNICIPAL CORPORATION_IDA)","Shri Mohammed Nadimul Haque (2024-30) (2024-2030)","Elected MP","CONSTRUCTION OF SCHOOL BUILDING OF ANJUMAN GIRLS PRIMARY SCHOOL OF  35 Mofidul Islam Lane KOLKATA 700014 WARD 54 BR VI","04-Jan-2025","07-Jan-2025","2500000","Time Estimation"
"21","Repair and Renovation","WS/MP18383/2025-2026/164706-Construction of rooms and halls in school and colleges","West Bengal","Malda(DISTRICT MAGISTRATE MALDA_IDA)","Shri Samik Bhattacharya (2024-30) (2024-2030)","Elected MP","Construction of ACRS, boundary wall and repairing of Garadhul High School (H.S),P.O-Dharmadanga under Development block Gazole , pin-732124","10-Jan-2025","04-Jul-2025","3000000","Work Completed"
"22","Normal/Others","WS/MP18383/2025-2026/164707-Construction of rooms and halls in school and colleges","West Bengal","NADIA(DISTRICT MAGISTRATE NADIA_IDA)","Shri Samik Bhattacharya (2024-30) (2024-2030)","Elected MP","Construction of Two Class room for Duttapulia Union Academy(H.S),Village-Duttapulia PS-Dhantala Under Development Ranaghat block ii Pin- 741504","10-Jan-2025","09-Oct-2025","987069","Sanction"
"23","Normal/Others","WS/MP18383/2024-2025/164708-Construction of rooms and halls in school and colleges","West Bengal","Purba Medinipur(DISTRICT MAGISTRATE PURBA MEDINIPUR_IDA)","Shri Samik Bhattacharya (2024-30) (2024-2030)","Elected MP","Construction of Three ACR s for Pankhai B.M Institution,Village-Khejuri,under Khejuri Development block","10-Jan-2025","11-Mar-2025","2000000","Vendor Identification"
"24","Normal/Others","WS/MP18383/2025-2026/177012-Construction of rooms and halls in school and colleges","West Bengal","HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA)","Shri Samik Bhattacharya (2024-30) (2024-2030)","Elected MP","Construction of Two Additional Class Room for RAMNAGAR ATUL VIDYALAYA (H.S.) at Hooghly,Block-Khanakul-I,PO-Khanakul,West Bengal-712406","22-Feb-2025","17-Dec-2025","2400000","Vendor Identification"
"25","Normal/Others","WS/MP18383/2025-2026/177013-Construction of rooms and halls in school and colleges","West Bengal","Purba Medinipur(DISTRICT MAGISTRATE PURBA MEDINIPUR_IDA)","Shri Samik Bhattacharya (2024-30) (2024-2030)","Elected MP","Construction of Gymnasium Hall for various indoor games and physical training in CONTAI TOWN R.C. VIDYAPITH at Purba Medinipur,Block-Contai-I,PO-Contai,West Bengal-721401","22-Feb-2025","23-May-2025","2412150","Physical Inspection"
"26","Normal/Others","WS/MP18383/2026-2027/177015-Construction of rooms and halls in school and colleges","West Bengal","North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA)","Shri Samik Bhattacharya (2024-30) (2024-2030)","Elected MP","Construction of Dining Hall and Open Stage at Jagadishpur Panchakari Vidyapith,PO- Jagadishpur under development Block Bagdah,North 24 Parganas District,West Bengal-743251","22-Feb-2025","01-Sep-2026","2500000","Sanction"
"27","Normal/Others","WS/MP18383/2025-2026/177017-Construction of rooms and halls in school and colleges","West Bengal","Jhargram(DISTRICT MAGISTRATE JHARGRAM_IDA)","Shri Samik Bhattacharya (2024-30) (2024-2030)","Elected MP","Construction of 4 Class room at Saria Tribal High School,PO-Saria under development block Gopiballavpur-I,Jhargram,West Bengal-721506","22-Feb-2025","05-May-2025","3000000","Physical Inspection"
"28","Normal/Others","WS/MP18383/2025-2026/192075-Construction of rooms and halls in school and colleges","West Bengal","NADIA(DISTRICT MAGISTRATE NADIA_IDA)","Shri Samik Bhattacharya (2024-30) (2024-2030)","Elected MP","Construction of Comunity Hall Including Stair for Kalyani Shikshayatan,PO-Kalyani Town under Kalyani Municipality Ward no-15,Nadia,West Bengal-741235","17-Apr-2025","04-Aug-2025","2427185","Vendor Identification"
"29","Normal/Others","WS/MP18383/2025-2026/192076-Construction of rooms and halls in school and colleges","West Bengal","BANKURA(DISTRICT MAGISTRATE BANKURA_IDA)","Shri Samik Bhattacharya (2024-30) (2024-2030)","Elected MP","Construction of Dinning hall, Kitchen and Class room at Dhaban Netaji Vidyapith, PO-Dhaban under development block- Chhatna , Bankura, West Bengal-722137","17-Apr-2025","19-Dec-2025","3000000","Time Estimation"
"30","Repair and Renovation","WS/MP18383/2025-2026/215931-Construction of rooms and halls in school and colleges","West Bengal","NADIA(DISTRICT MAGISTRATE NADIA_IDA)","Shri Samik Bhattacharya (2024-30) (2024-2030)","Elected MP","Construction of Two Storeyed   Building and Other Renovations at PALPARA VIDYAMANDIR (HIGH), P.O.- Chakdaha, Nadia, Pin- 741222,under Chakdaha Municipality,ward no-1","08-Jul-2025","01-Dec-2025","971154","Sanction"
"31","Normal/Others","WS/MP18383/2025-2026/215933-Construction of rooms and halls in school and colleges","West Bengal","BIRBHUM(DISTRICT MAGISTRATE BIRBHUM_IDA)","Shri Samik Bhattacharya (2024-30) (2024-2030)","Elected MP","Construction of  Hall rooms at Hetampur Raj Girls High School,PO- Hetampur Raj Bati, Dist-Birbhum, Pin-731124","08-Jul-2025","22-Aug-2025","1198242","Physical Inspection"
"32","Normal/Others","WS/MP18383/2025-2026/219853-Construction of rooms and halls in school and colleges","West Bengal","Purba Medinipur(DISTRICT MAGISTRATE PURBA MEDINIPUR_IDA)","Shri Samik Bhattacharya (2024-30) (2024-2030)","Elected MP","Construction of Class Room at Uttampur MSK , Vill-Uttampur, J.L. no-172, Plot no- 1401,1402,1404","18-Jul-2025","14-Jan-2026","400000","Sanction"
"33","Normal/Others","WS/MP18383/2025-2026/240990-Construction of rooms and halls in school and colleges","West Bengal","Purba Medinipur(DISTRICT MAGISTRATE PURBA MEDINIPUR_IDA)","Shri Samik Bhattacharya (2024-30) (2024-2030)","Elected MP","Construction of Class Rooms for Serkhanchak Amratala Madhyamik Sikhsha Kendra under Serkhanchak gram panchayat ,Khejuri-II, Purba Medinipur District.","09-Oct-2025","20-Jan-2026","1500000","Sanction"
