"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"21","Normal/Others","NA-Construction of community centers and community halls","West Bengal","BANKURA(DISTRICT MAGISTRATE BANKURA_IDA)","Shri Samirul Islam (2023-29) (2023-2029)","Elected MP","Construction of new community hall at kapista Bauri para Anchuri GP","03-Feb-2026","500000","NA"
"22","Normal/Others","NA-Construction of community centers and community halls","West Bengal","BANKURA(DISTRICT MAGISTRATE BANKURA_IDA)","Shri Samirul Islam (2023-29) (2023-2029)","Elected MP","Construction of new community hall at Bankata Bauri para Kenjakura GP","03-Feb-2026","350000","NA"
"23","Normal/Others","NA-Construction of community centers and community halls","West Bengal","BANKURA(DISTRICT MAGISTRATE BANKURA_IDA)","Shri Samirul Islam (2023-29) (2023-2029)","Elected MP","Construction of new community hall at purundihi malpara Andharthole GP","03-Feb-2026","350000","NA"
"24","Normal/Others","NA-Construction of community centers and community halls","West Bengal","BANKURA(DISTRICT MAGISTRATE BANKURA_IDA)","Shri Samirul Islam (2023-29) (2023-2029)","Elected MP","Construction of Community Hall for Public use at Kherosole Bauripara area, Purandarpur GP, Bankura II Block","03-Feb-2026","500000","NA"
"25","Normal/Others","WS/MP893/2026-2027/265147-Construction of community centers and community halls","West Bengal","BANKURA(DISTRICT MAGISTRATE BANKURA_IDA)","Shri Samirul Islam (2023-29) (2023-2029)","Elected MP","Construction of Community Hall at Kanchanpur Rastadhar Bauripara","03-Feb-2026","400000","04-Aug-2026"
"26","Normal/Others","WS/MP893/2026-2027/265149-Construction of community centers and community halls","West Bengal","BANKURA(DISTRICT MAGISTRATE BANKURA_IDA)","Shri Samirul Islam (2023-29) (2023-2029)","Elected MP","Construction of Community Hall at Junbedia Bagdipara","03-Feb-2026","500000","04-Aug-2026"
"27","Normal/Others","WS/MP893/2026-2027/265151-Construction of community centers and community halls","West Bengal","BANKURA(DISTRICT MAGISTRATE BANKURA_IDA)","Shri Samirul Islam (2023-29) (2023-2029)","Elected MP","Construction of Community Hall at Mankanali Upar Bauripara","03-Feb-2026","400000","04-Aug-2026"
"28","Normal/Others","WS/MP893/2026-2027/265153-Construction of community centers and community halls","West Bengal","BANKURA(DISTRICT MAGISTRATE BANKURA_IDA)","Shri Samirul Islam (2023-29) (2023-2029)","Elected MP","Construction of Community Hall at Magra Bauripara","03-Feb-2026","400000","04-Aug-2026"
"29","Normal/Others","WS/MP18383/2025-2026/219840-Construction of community centers and community halls","West Bengal","BANKURA(DISTRICT MAGISTRATE BANKURA_IDA)","Shri Samik Bhattacharya (2024-30) (2024-2030)","Elected MP","Construction of Hall Rooms at Ramsagar Kria Unnayan Sanstha under Ramsagar GP Onda Block Plot no-1566,JL no-246,Bankura,West Bengal","18-Jul-2025","1500000","06-Nov-2025"
"30","Normal/Others","NA-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","West Bengal","BANKURA(DISTRICT MAGISTRATE BANKURA_IDA)","Shri Samirul Islam (2023-29) (2023-2029)","Elected MP","Construction of Sasan jatri shed at Angaria village Jagadalla -2 GP","03-Feb-2026","150000","NA"
"31","Normal/Others","NA-Construction of common work sheds/ common covered sitting area","West Bengal","BANKURA(DISTRICT MAGISTRATE BANKURA_IDA)","Shri Samirul Islam (2023-29) (2023-2029)","Elected MP","Construction of New community shed near domnipara hari mela Andharthole GP","03-Feb-2026","300000","NA"
"32","Normal/Others","NA-Construction of common work sheds/ common covered sitting area","West Bengal","BANKURA(DISTRICT MAGISTRATE BANKURA_IDA)","Shri Samirul Islam (2023-29) (2023-2029)","Elected MP","construction of New shed with chathak at gosaidi near Durga Mandir Kenjakura GP","03-Feb-2026","500000","NA"
