"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"93","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP015/2023-2024/38311","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","12-Feb-2024","LUCKY ASSOCIATES","Payment Success","997704"
"94","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP015/2023-2024/38312","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","01-Feb-2024","LUCKY ASSOCIATES","Payment Success","996020"
"95","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP015/2023-2024/38313","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","01-Feb-2024","LUCKY ASSOCIATES","Payment Success","996776"
"96","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP015/2023-2024/38314","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","02-Feb-2024","LUCKY ASSOCIATES","Payment Success","996852"
"97","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP015/2023-2024/38333","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","10-Jan-2024","LUCKY ASSOCIATES","Payment Success","997639"
"98","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP015/2023-2024/38334","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","11-Jan-2024","LUCKY ASSOCIATES","Payment Success","996672"
"99","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP015/2023-2024/38335","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","11-Jan-2024","LUCKY ASSOCIATES","Payment Success","997398"
"100","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP015/2023-2024/38336","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","11-Jan-2024","LUCKY ASSOCIATES","Payment Success","997690"
"101","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP015/2023-2024/38337","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","11-Jan-2024","LUCKY ASSOCIATES","Payment Success","997143"
"102","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP015/2023-2024/38360","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","19-Jan-2024","JF JAVID HUSSAIN","Payment Success","996241"
"103","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP015/2023-2024/38361","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","19-Jan-2024","JF JAVID HUSSAIN","Payment Success","998022"
"104","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP015/2023-2024/38362","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","30-Jan-2025","JF JAVID HUSSAIN","Payment Success","997042"
"105","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP015/2023-2024/38363","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","30-Jan-2025","JF JAVID HUSSAIN","Payment Success","995827"
"106","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP015/2023-2024/38364","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","13-Jan-2024","JF JAVID HUSSAIN","Payment Success","996792"
"107","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP015/2023-2024/38373","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","02-Feb-2024","LUCKY ASSOCIATES","Payment Success","996561"
"108","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP015/2023-2024/38374","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","31-Jan-2024","LUCKY ASSOCIATES","Payment Success","997868"
"109","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP015/2023-2024/38375","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","30-Jan-2024","LUCKY ASSOCIATES","Payment Success","996778"
"110","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP015/2023-2024/38376","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","31-Jan-2024","LUCKY ASSOCIATES","Payment Success","996990"
"111","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP015/2023-2024/38377","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","30-Jan-2024","LUCKY ASSOCIATES","Payment Success","998240"
"112","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP015/2023-2024/38378","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","31-Jan-2024","LUCKY ASSOCIATES","Payment Success","998016"
"113","Tamil Nadu","Development of public parks","WS/MP015/2023-2024/116844","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","26-Jul-2024","KKK ENTERPRISES","Payment Success","2996314"
"114","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP015/2024-2025/134044","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","25-Feb-2025","LUCKY ASSOCIATES","Payment Success","995109"
"115","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP015/2024-2025/134045","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","25-Feb-2025","LUCKY ASSOCIATES","Payment Success","995737"
"116","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP015/2024-2025/134046","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","25-Feb-2025","LUCKY ASSOCIATES","Payment Success","995995"
"117","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP015/2024-2025/134047","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","25-Feb-2025","LUCKY ASSOCIATES","Payment Success","996186"
"118","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP015/2024-2025/134048","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","25-Feb-2025","LUCKY ASSOCIATES","Payment Success","996138"
"119","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP015/2024-2025/134049","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","25-Feb-2025","LUCKY ASSOCIATES","Payment Success","995057"
"120","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP015/2024-2025/134050","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","25-Feb-2025","LUCKY ASSOCIATES","Payment Success","995328"
"121","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP015/2024-2025/134051","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","25-Feb-2025","LUCKY ASSOCIATES","Payment Success","995811"
"122","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP015/2024-2025/134052","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","25-Feb-2025","LUCKY ASSOCIATES","Payment Success","995961"
"123","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP015/2024-2025/134053","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","25-Feb-2025","LUCKY ASSOCIATES","Payment Success","995602"
"124","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP015/2024-2025/134055","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","20-Feb-2025","LUCKY ASSOCIATES","Payment Success","995695"
"125","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP015/2024-2025/134056","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","20-Feb-2025","LUCKY ASSOCIATES","Payment Success","996209"
"126","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP015/2024-2025/134057","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","20-Feb-2025","LUCKY ASSOCIATES","Payment Success","995818"
