"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"17","Normal/Others","WS/MP18439/2026-2027/247387-Providing supply pipelines for drinking water","Tamil Nadu","SALEM(DISTRICT COLLECTOR SALEM_IDA)","Dr. M. Dhanapal (2025-31) (2025-2031)","Elected MP","Providing New pipeline and Sintex Tank near Kuppadasan valavu Govindan house at Avaniperur Keezhmugam village","10-Nov-2025","06-Aug-2026","75000","Sanction"
"18","Normal/Others","WS/MP18438/2026-2027/249828-Providing supply pipelines for drinking water","Tamil Nadu","SALEM(DISTRICT COLLECTOR SALEM_IDA)","Shri I.S. Inbadurai (2025-31) (2025-2031)","Elected MP","Removal of exisiting pipeline and provision of electric motor with Sintex tank near Gopal House, Chinnamanali East Street, Ward No.28 Edappadi Muncipality in Salem District","21-Nov-2025","14-May-2026","449009","Physical Inspection"
"19","Normal/Others","WS/MP18438/2026-2027/249833-Providing supply pipelines for drinking water","Tamil Nadu","SALEM(DISTRICT COLLECTOR SALEM_IDA)","Shri I.S. Inbadurai (2025-31) (2025-2031)","Elected MP","Providing of New Eelectric mostor and Sintex tank at the borewell in Maniyakara Valavu, ward No.26 in Edappadi Muncipality in Salem District.","21-Nov-2025","14-May-2026","431843","Physical Inspection"
"20","Normal/Others","WS/MP18438/2025-2026/258821-Providing supply pipelines for drinking water","Tamil Nadu","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","Shri I.S. Inbadurai (2025-31) (2025-2031)","Elected MP","Providing Deep Borewell and Construction of Mini OHT at Merkathiyan Pannai Village in Pathikaran Pannai in Rapoosal Panchayat in lluppur Taluk.","12-Jan-2026","16-Feb-2026","250000","Sanction"
"21","Normal/Others","WS/MP18438/2025-2026/258822-Providing supply pipelines for drinking water","Tamil Nadu","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","Shri I.S. Inbadurai (2025-31) (2025-2031)","Elected MP","Providing Deep Borewell and Construction of Mini OHT at Tamil Nadu Slum Replacement Board houses,U.Pudhunagar in Ennai Panchayat in lluppur Taluk.","12-Jan-2026","10-Feb-2026","250000","Work partially Completed"
"22","Normal/Others","WS/MP18438/2025-2026/258823-Providing supply pipelines for drinking water","Tamil Nadu","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","Shri I.S. Inbadurai (2025-31) (2025-2031)","Elected MP","Providing Deep Borewell and Construction of Mini OHT Near Sri Vanniya Seethan Kovil  in Vilathupatti Panchayat in lluppur Taluk.","12-Jan-2026","10-Feb-2026","250000","Sanction"
"23","Normal/Others","WS/MP18438/2025-2026/258824-Providing supply pipelines for drinking water","Tamil Nadu","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","Shri I.S. Inbadurai (2025-31) (2025-2031)","Elected MP","Providing Deep Borewell and Construction of Mini OHT at Vadakku street Sethupatti Village in Vilathupatti Panchayat in lluppur Taluk.","12-Jan-2026","10-Feb-2026","250000","Sanction"
"24","Normal/Others","WS/MP18438/2025-2026/258825-Providing supply pipelines for drinking water","Tamil Nadu","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","Shri I.S. Inbadurai (2025-31) (2025-2031)","Elected MP","Providing Deep Borewell and Construction of Mini OHT at Kunjayi Pannai in Vilathupatti Panchayat in lluppur Taluk.","12-Jan-2026","16-Feb-2026","250000","Work Completed"
"25","Normal/Others","WS/MP18438/2025-2026/258826-Providing supply pipelines for drinking water","Tamil Nadu","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","Shri I.S. Inbadurai (2025-31) (2025-2031)","Elected MP","Providing Deep Borewell and Construction of Mini OHT at Panchayat Union Primary School  in ward no.7 Annavasal Townpanchayat .","12-Jan-2026","16-Feb-2026","250000","Physical Inspection"
"26","Normal/Others","WS/MP162/2023-2024/68424-Providing drains and gutters for public drainage","Tamil Nadu","KALLAKURICHI(District Collector Kallakurichi_IDA)","Shri S. Kalyanasundaram (2022-28) (2022-2028)","Elected MP","Constructions of Drainage With Vertical Filter at Colony Main Road at Karuppan kuttai, Kovanur Panchayat (60m)","23-Dec-2023","26-Feb-2024","429923","Physical Inspection"
"27","Normal/Others","WS/MP165/2023-2024/96030-Providing drains and gutters for public drainage","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri P. Chidambaram (2022-28) (2022-2028)","Elected MP","Providing Drainage at Velar street ward no 11","03-Feb-2024","16-Mar-2024","1000000","Physical Inspection"
"28","Normal/Others","WS/MP165/2024-2025/96037-Providing drains and gutters for public drainage","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri P. Chidambaram (2022-28) (2022-2028)","Elected MP","Providing Public drainage at SS nagar in ward no 14","03-Feb-2024","28-Jun-2024","1000000","Physical Inspection"
"29","Normal/Others","WS/MP165/2024-2025/96071-Providing drains and gutters for public drainage","Tamil Nadu","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","Shri P. Chidambaram (2022-28) (2022-2028)","Elected MP","construction of rain water drainage and culvert in Bajar main road (north side Bhuvaneswari mandabam - Mambalathan oorani keelkarai) in ward no 6","03-Feb-2024","24-Jun-2024","1000000","Physical Inspection"
"30","Normal/Others","WS/MP166/2024-2025/126221-Providing drains and gutters for public drainage","Tamil Nadu","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","Shri K.R.N. Rajeshkumar (2022-28) (2022-2028)","Elected MP","Construction of Drain RCC Slab at near Keelanilakkottai PUE School, Pudunilavayal panchayat, Pudukottai","15-Mar-2024","11-Jun-2024","1021837","Physical Inspection"
"31","Normal/Others","WS/MP18438/2026-2027/249821-Providing drains and gutters for public drainage","Tamil Nadu","KRISHNAGIRI(DISTRICT COLLECTOR KRISHNAGIRI_IDA)","Shri I.S. Inbadurai (2025-31) (2025-2031)","Elected MP","Construction Of drain from Madesh shop to Nagesh House  near Srinivas Nagar Nallarapalli Ayarnapalli","21-Nov-2025","20-May-2026","665000","Physical Inspection"
"32","Normal/Others","WS/MP18438/2026-2027/249822-Providing drains and gutters for public drainage","Tamil Nadu","KRISHNAGIRI(DISTRICT COLLECTOR KRISHNAGIRI_IDA)","Shri I.S. Inbadurai (2025-31) (2025-2031)","Elected MP","Construction of drain from chinnamthu house to Anjaneya temple near srinivas nagar nallarapalli ayarnapalli","21-Nov-2025","20-May-2026","784000","Physical Inspection"
"33","Normal/Others","WS/MP18438/2026-2027/249823-Providing drains and gutters for public drainage","Tamil Nadu","KRISHNAGIRI(DISTRICT COLLECTOR KRISHNAGIRI_IDA)","Shri I.S. Inbadurai (2025-31) (2025-2031)","Elected MP","Providing drain from chandu house to pumproom balepuram ayarnapalli","21-Nov-2025","24-Jun-2026","450000","Physical Inspection"
"34","Normal/Others","WS/MP162/2025-2026/255741-Providing drains and gutters for public drainage","Tamil Nadu","THANJAVUR(DISTRICT COLLECTOR THANJAVUR_IDA)","Shri S. Kalyanasundaram (2022-28) (2022-2028)","Elected MP","Construction of Drainage with Cover Slab (box type) in Pamabapadaiyur Vaikkal at Ariyapadaiveedu Panchayat, Kumbakonam Block.","27-Dec-2025","10-Feb-2026","1207858","Physical Inspection"
"35","Normal/Others","WS/MP162/2026-2027/281905-Providing drains and gutters for public drainage","Tamil Nadu","THANJAVUR(DISTRICT COLLECTOR THANJAVUR_IDA)","Shri S. Kalyanasundaram (2022-28) (2022-2028)","Elected MP","Construction of Drainage (3rd Reach) in Pamabapadayur vaikkal at Ariyapadaiveedu Panchayat","19-May-2026","29-Jun-2026","1410000","Sanction"
"36","Normal/Others","WS/MP166/2025-2026/229957-Construction of public toilets and bathrooms","Tamil Nadu","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","Shri K.R.N. Rajeshkumar (2022-28) (2022-2028)","Elected MP","Construction of 24 urinals with 4 toilets for students at Udayarpalayam Government High School, Namagiripettai Panchayat Union","29-Aug-2025","12-Sep-2025","1800000","Sanction"
"37","Normal/Others","WS/MP18439/2026-2027/247388-Construction of public toilets and bathrooms","Tamil Nadu","SALEM(DISTRICT COLLECTOR SALEM_IDA)","Dr. M. Dhanapal (2025-31) (2025-2031)","Elected MP","Construction of Public Toilet near sellampatti school at Irupali Panchayat","10-Nov-2025","24-Aug-2026","800000","Work partially Completed"
"38","Normal/Others","WS/MP166/2024-2025/129056-Construction of public irrigation facilities","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","Shri K.R.N. Rajeshkumar (2022-28) (2022-2028)","Elected MP","Providing Earthern Bund and other facilities to Edapalayam Lake adjacent to Cuddalore-Chittoor Road in Tiruvannamalai","15-Mar-2024","27-Dec-2024","10000000","Physical Inspection"
"39","Normal/Others","WS/MP166/2024-2025/168184-Construction of public irrigation facilities","Tamil Nadu","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","Shri K.R.N. Rajeshkumar (2022-28) (2022-2028)","Elected MP","Namakkal Panchayat Union Marurpatti Panchayat Semparaipudur village construction of protection  wall","06-Feb-2025","07-Feb-2025","511381","Physical Inspection"
"40","Normal/Others","WS/MP162/2026-2027/270076-Construction of public irrigation facilities","Tamil Nadu","THANJAVUR(DISTRICT COLLECTOR THANJAVUR_IDA)","Shri S. Kalyanasundaram (2022-28) (2022-2028)","Elected MP","Construction of Boxtype Drainage (2nd Reach) in Pambapadayur Vaikkal at Ariyapadaiveedu panchayat in Kumbakonam Union Office","21-Feb-2026","23-May-2026","1522537","Physical Inspection"
"41","Normal/Others","WS/MP015/2023-2024/11903-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Tamil Nadu","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","Construction of Flood Retaining wall of  near by Pandarakulam Marukal in Madathoor Village at Alankulam Taluk. Tenkasi District. (2022-2023)","21-Aug-2023","03-Oct-2023","2496404","Physical Inspection"
"42","Normal/Others","WS/MP015/2023-2024/11904-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Tamil Nadu","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","Construction of Flood Retaining wall of  near by Pandarakulam Madai in Madathoor Village at Alankulam Taluk. Tenkasi District. (2022-2023)","21-Aug-2023","03-Oct-2023","2454483","Physical Inspection"
"43","Normal/Others","WS/MP015/2023-2024/11905-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Tamil Nadu","Thoothukkudi(DISTRICT COLLECTOR THOOTHUKUDI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","Construction of Flood Retaining wall of Avudayarkulam Marukal Channel at Thiruchendur Taluk. Thoothukudi District. LS.610 M to 665 M (2022-2023)","21-Aug-2023","23-Sep-2023","2495894","Physical Inspection"
