"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"450","Jharkhand","Installing tube-wells and borewells","WS/MP007/2025-2026/210827","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Smt. Mahua Maji (2022-28) (2022-2028)","Elected MP","09-Apr-2026","Junior Engineer Zila Parishad Prashant Kumar","Payment Success","127500"
"451","Jharkhand","Installing tube-wells and borewells","WS/MP007/2025-2026/210828","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Smt. Mahua Maji (2022-28) (2022-2028)","Elected MP","05-Jul-2025","Junior Engineer Zila Parishad Prashant Kumar","Payment Success","382500"
"452","Jharkhand","Installing tube-wells and borewells","WS/MP007/2025-2026/210828","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Smt. Mahua Maji (2022-28) (2022-2028)","Elected MP","09-Apr-2026","Junior Engineer Zila Parishad Prashant Kumar","Payment Success","127500"
"453","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP007/2025-2026/210829","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Smt. Mahua Maji (2022-28) (2022-2028)","Elected MP","05-Jul-2025","Junior Engineer Zila Parishad Prashant Kumar","Payment Success","243750"
"454","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP007/2025-2026/210829","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Smt. Mahua Maji (2022-28) (2022-2028)","Elected MP","09-Apr-2026","Junior Engineer Zila Parishad Prashant Kumar","Payment Success","81250"
"455","Jharkhand","Installing tube-wells and borewells","WS/MP007/2025-2026/210830","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Smt. Mahua Maji (2022-28) (2022-2028)","Elected MP","05-Jul-2025","Junior Engineer Zila Parishad Prashant Kumar","Payment Success","382500"
"456","Jharkhand","Installing tube-wells and borewells","WS/MP007/2025-2026/210830","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Smt. Mahua Maji (2022-28) (2022-2028)","Elected MP","09-Apr-2026","Junior Engineer Zila Parishad Prashant Kumar","Payment Success","127500"
"457","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP007/2025-2026/210834","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Smt. Mahua Maji (2022-28) (2022-2028)","Elected MP","18-Sep-2025","SAMEER TOPPO","Payment Success","112500"
"458","Jharkhand","Installing tube-wells and borewells","WS/MP007/2025-2026/210835","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Smt. Mahua Maji (2022-28) (2022-2028)","Elected MP","05-Jul-2025","Junior Engineer Zila Parishad Prashant Kumar","Payment Success","382500"
"459","Jharkhand","Installing tube-wells and borewells","WS/MP007/2025-2026/210835","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Smt. Mahua Maji (2022-28) (2022-2028)","Elected MP","09-Apr-2026","Junior Engineer Zila Parishad Prashant Kumar","Payment Success","127500"
"460","Jharkhand","Installing tube-wells and borewells","WS/MP007/2025-2026/210836","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Smt. Mahua Maji (2022-28) (2022-2028)","Elected MP","05-Jul-2025","Junior Engineer Zila Parishad Prashant Kumar","Payment Success","382500"
"461","Jharkhand","Installing tube-wells and borewells","WS/MP007/2025-2026/210836","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Smt. Mahua Maji (2022-28) (2022-2028)","Elected MP","09-Apr-2026","Junior Engineer Zila Parishad Prashant Kumar","Payment Success","127500"
"462","Jharkhand","Installing tube-wells and borewells","WS/MP007/2025-2026/210837","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Smt. Mahua Maji (2022-28) (2022-2028)","Elected MP","05-Jul-2025","Junior Engineer Zila Parishad Prashant Kumar","Payment Success","382500"
"463","Jharkhand","Installing tube-wells and borewells","WS/MP007/2025-2026/210837","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Smt. Mahua Maji (2022-28) (2022-2028)","Elected MP","09-Apr-2026","Junior Engineer Zila Parishad Prashant Kumar","Payment Success","127500"
"464","Jharkhand","Installing tube-wells and borewells","WS/MP007/2025-2026/210838","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Smt. Mahua Maji (2022-28) (2022-2028)","Elected MP","05-Jul-2025","Junior Engineer Zila Parishad Prashant Kumar","Payment Success","382500"
"465","Jharkhand","Installing tube-wells and borewells","WS/MP007/2025-2026/210838","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Smt. Mahua Maji (2022-28) (2022-2028)","Elected MP","09-Apr-2026","Junior Engineer Zila Parishad Prashant Kumar","Payment Success","127500"
"466","Jharkhand","Installing tube-wells and borewells","WS/MP007/2025-2026/210839","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Smt. Mahua Maji (2022-28) (2022-2028)","Elected MP","05-Jul-2025","Junior Engineer Zila Parishad Prashant Kumar","Payment Success","382500"
"467","Jharkhand","Installing tube-wells and borewells","WS/MP007/2025-2026/210839","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Smt. Mahua Maji (2022-28) (2022-2028)","Elected MP","09-Apr-2026","Junior Engineer Zila Parishad Prashant Kumar","Payment Success","127500"
"468","Jharkhand","Installing tube-wells and borewells","WS/MP007/2025-2026/210840","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Smt. Mahua Maji (2022-28) (2022-2028)","Elected MP","05-Jul-2025","Junior Engineer Zila Parishad Prashant Kumar","Payment Success","382500"
"469","Jharkhand","Installing tube-wells and borewells","WS/MP007/2025-2026/210840","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Smt. Mahua Maji (2022-28) (2022-2028)","Elected MP","09-Apr-2026","Junior Engineer Zila Parishad Prashant Kumar","Payment Success","127500"
"470","Jharkhand","Installing tube-wells and borewells","WS/MP007/2025-2026/210841","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Smt. Mahua Maji (2022-28) (2022-2028)","Elected MP","05-Jul-2025","Junior Engineer Zila Parishad Prashant Kumar","Payment Success","382500"
"471","Jharkhand","Installing tube-wells and borewells","WS/MP007/2025-2026/210841","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Smt. Mahua Maji (2022-28) (2022-2028)","Elected MP","09-Apr-2026","Junior Engineer Zila Parishad Prashant Kumar","Payment Success","127500"
"472","Jharkhand","Installing tube-wells and borewells","WS/MP007/2025-2026/210842","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Smt. Mahua Maji (2022-28) (2022-2028)","Elected MP","05-Jul-2025","Junior Engineer Zila Parishad Prashant Kumar","Payment Success","382500"
"473","Jharkhand","Installing tube-wells and borewells","WS/MP007/2025-2026/210842","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Smt. Mahua Maji (2022-28) (2022-2028)","Elected MP","09-Apr-2026","Junior Engineer Zila Parishad Prashant Kumar","Payment Success","127500"
"474","Jharkhand","Installing tube-wells and borewells","WS/MP007/2025-2026/210843","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Smt. Mahua Maji (2022-28) (2022-2028)","Elected MP","05-Jul-2025","Junior Engineer Zila Parishad Prashant Kumar","Payment Success","382500"
"475","Jharkhand","Installing tube-wells and borewells","WS/MP007/2025-2026/210843","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Smt. Mahua Maji (2022-28) (2022-2028)","Elected MP","09-Apr-2026","Junior Engineer Zila Parishad Prashant Kumar","Payment Success","127500"
"476","Jharkhand","Installing tube-wells and borewells","WS/MP007/2025-2026/210844","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Smt. Mahua Maji (2022-28) (2022-2028)","Elected MP","18-Sep-2025","SAMEER TOPPO","Payment Success","382500"
"477","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP007/2025-2026/219560","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Smt. Mahua Maji (2022-28) (2022-2028)","Elected MP","08-Aug-2025","Sahil Kumar Junior Engineer","Payment Success","125213"
"478","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP007/2025-2026/219560","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Smt. Mahua Maji (2022-28) (2022-2028)","Elected MP","09-Jul-2026","Sahil Kumar Junior Engineer","Payment Success","41737"
"479","Jharkhand","Installing tube-wells and borewells","WS/MP007/2025-2026/219567","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Smt. Mahua Maji (2022-28) (2022-2028)","Elected MP","08-Aug-2025","Sahil Kumar Junior Engineer","Payment Success","370500"
"480","Jharkhand","Installing tube-wells and borewells","WS/MP007/2025-2026/219567","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Smt. Mahua Maji (2022-28) (2022-2028)","Elected MP","21-Nov-2025","Sahil Kumar Junior Engineer","Payment Success","123500"
"481","Jharkhand","Installing tube-wells and borewells","WS/MP007/2025-2026/219568","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Smt. Mahua Maji (2022-28) (2022-2028)","Elected MP","08-Aug-2025","Sahil Kumar Junior Engineer","Payment Success","370500"
"482","Jharkhand","Installing tube-wells and borewells","WS/MP007/2025-2026/219568","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Smt. Mahua Maji (2022-28) (2022-2028)","Elected MP","21-Nov-2025","Sahil Kumar Junior Engineer","Payment Success","123500"
"483","Jharkhand","Installing tube-wells and borewells","WS/MP007/2025-2026/219569","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Smt. Mahua Maji (2022-28) (2022-2028)","Elected MP","08-Aug-2025","Sahil Kumar Junior Engineer","Payment Success","370500"
"484","Jharkhand","Installing tube-wells and borewells","WS/MP007/2025-2026/219569","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Smt. Mahua Maji (2022-28) (2022-2028)","Elected MP","21-Nov-2025","Sahil Kumar Junior Engineer","Payment Success","123500"
"485","Jharkhand","Installing tube-wells and borewells","WS/MP007/2025-2026/219570","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Smt. Mahua Maji (2022-28) (2022-2028)","Elected MP","08-Aug-2025","Sahil Kumar Junior Engineer","Payment Success","370500"
