"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Elected/Nominated","Image","Completion Date","Amount Disbursed ( ₹ )"
"1","Normal/Others","WS/MP18365/2025-2026/182591-Construction of rooms and halls in school and colleges","Chandigarh","MOGA(Deputy Commissioner Moga)","Boundary Wall and Interlocking Tile Work in Govt. High School Badduwala","Shri Satnam Singh Sandhu (2024-30) (NaN-NaN)","Elected MP","Images","02-Jan-2026","1200000"
"2","Trust and Society","WS/MP18365/2025-2026/134609-Construction of rooms and halls in school and colleges","Chandigarh","LEH LADAKH(DEPUTY COMMISSIONER LEH_IDA)","Residential School: Building of additional classrooms, labs, sports facilities, upkeeping of auditorium & recruitment of staff for a Higher Senior Secondary School within MIMC’s campus. Health: Improvement in infrastructure & recruitment of medical & para-medical staff for a hospital operated by MIMC. Old Age Home: Addition to infrastructure, building of toilets & heating arrangements at MIMC’s old age home. Other Activities: Funding for cultural, spiritual and environmental projects carried out","Shri Satnam Singh Sandhu (2024-30) (NaN-NaN)","Elected MP","N/A","15-Sep-2025","700000"
"3","Trust and Society","WS/MP18365/2025-2026/198191-Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","Chandigarh","CHANDIGARH(DEPUTY COMMISSIONER ZILLA PARISHAD CHANDIGARH_IDA)","Renovation of Rotary Sarai, PGI Sector 12 Chandigarh on 30 years lease","Shri Satnam Singh Sandhu (2024-30) (NaN-NaN)","Elected MP","Images","31-Dec-2025","499918"
"4","Trust and Society","WS/MP18365/2025-2026/215019-Construction of rooms and halls in school and colleges","Chandigarh","RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA)","Construction of Auditorium Part 2 at Maharaj Brahmanand Bhuriwale Grib Dassi College Tibba Nangal, Tehsil Anandpur Sahib, Distt. Rupnagar PB, District Rupnagar","Shri Satnam Singh Sandhu (2024-30) (NaN-NaN)","Elected MP","Images","29-Apr-2026","979133"
"Grand Total"," "," "," "," "," "," "," "," "," ","33,79,051"
