"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"610","Normal/Others","WS/MP138/2025-2026/203355-Street lights","Odisha","Jajpur(DISTRICT COLLECTOR JAJPUR_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Supply Installation and maintenance of Solar High Mast Light at SahapadaPala Mandap Ward 10 Bandhadiha Rasulpur","24-May-2025","17-Jun-2025","250000","Vendor Identification"
"611","Normal/Others","WS/MP138/2025-2026/203356-Street lights","Odisha","Jajpur(DISTRICT COLLECTOR JAJPUR_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Supply Installation and maintenance of Solar High Mast Light at bhagabatipur Bada Dasa Bhuja Ward 2 Bandhadiha Rasulpur","24-May-2025","17-Jun-2025","250000","Vendor Identification"
"612","Normal/Others","WS/MP138/2025-2026/203357-Street lights","Odisha","Jajpur(DISTRICT COLLECTOR JAJPUR_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Supply Installation and maintenance of Solar High Mast Light at Bandha Diha Hata Ward No 6 Bandhadiha Rasulpur","24-May-2025","17-Jun-2025","250000","Vendor Identification"
"613","Normal/Others","WS/MP138/2025-2026/203358-Street lights","Odisha","Jajpur(DISTRICT COLLECTOR JAJPUR_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Supply Installation and maintenance of Solar High Mast Light at Jayasanagada Mahadev Mandir Ward 12 Bandhadiha Rasulpur","24-May-2025","17-Jun-2025","250000","Vendor Identification"
"614","Normal/Others","WS/MP138/2025-2026/203490-Street lights","Odisha","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Installation of Mini High Max Solar LED Light at Ghosada GP Office GP Block Ghosada Karanjia       Executive Agency Karanjia Panch Pir Sub Division","26-May-2025","12-Jun-2025","200000","Physical Inspection"
"615","Normal/Others","WS/MP138/2025-2026/203491-Street lights","Odisha","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Installation of Mini High Max Solar LED Light at Dhipasahi near Majhi Sahi Club GP Block Ghosada Karanjia Panch Pir Sub Division Executive Agency Karanjia","26-May-2025","12-Jun-2025","200000","Physical Inspection"
"616","Normal/Others","WS/MP138/2025-2026/203492-Street lights","Odisha","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Installation of Mini High Max Solar LED Light at Asanbani Village near Kirtan Mandap GP Block Ghosada Karanjia Panch Pir Sub Division Executive Agency Karanjia","26-May-2025","12-Jun-2025","200000","Physical Inspection"
"617","Normal/Others","WS/MP138/2025-2026/203493-Street lights","Odisha","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Installation of Mini High Max Solar LED Light at Chitraposi near Dukhu house GP Chitraposi Block Ghosada Karanjia Panch Pir Sub Division Executive Agency Karanjia","26-May-2025","12-Jun-2025","200000","Physical Inspection"
"618","Normal/Others","WS/MP138/2025-2026/203494-Street lights","Odisha","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Installation of Mini High Max Solar LED Light at Chadheibhol Big Masjid GP Block Ghosada Karanjia Panch Pir Sub Division Executive Agency Karanjia","26-May-2025","12-Jun-2025","200000","Physical Inspection"
"619","Normal/Others","WS/MP138/2025-2026/203495-Street lights","Odisha","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Installation of Mini High Max Solar LED Light at Ghosada Dhipasahi near Durga Puja Kuthi GP Block Ghosada Karanjia Panch Pir Sub Division Executive Agency Karanjia","26-May-2025","12-Jun-2025","200000","Physical Inspection"
