"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"319","Odisha","Construction of additional rooms and halls in the existing public and community building","WS/MP138/2024-2025/170344","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","13-Mar-2025","MANAS RANJAN BARIK","Payment Success","500000"
"320","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP138/2024-2025/170345","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","22-Mar-2025","Hemanta Kumar Behera","Payment Success","500000"
"321","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP138/2024-2025/170346","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","28-May-2025","Hemanta Kumar Behera","Payment Success","500000"
"322","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP138/2024-2025/170347","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","22-Apr-2025","Hemanta Kumar Behera","Payment Success","500000"
"323","Odisha","Construction of road under bridge","WS/MP138/2024-2025/170462","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","22-Apr-2025","Hemanta Kumar Behera","Payment Success","500000"
"324","Odisha","Street lights","WS/MP138/2024-2025/172501","Kendrapada(DISTRICT COLLECTOR KENDRAPARA_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","30-May-2025","SUBHADARSINI SAHOO","Payment Success","1000000"
"325","Odisha","Street lights","WS/MP138/2024-2025/172502","Kendrapada(DISTRICT COLLECTOR KENDRAPARA_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","29-May-2025","PRAGNYA PARAMITA  SAHOO","Payment Success","500000"
"326","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP138/2024-2025/172503","Kendrapada(DISTRICT COLLECTOR KENDRAPARA_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","21-Apr-2025","PRAGNYA PARAMITA  SAHOO","Payment Success","1000000"
"327","Odisha","Lighting of public spaces","WS/MP138/2024-2025/172504","Kendrapada(DISTRICT COLLECTOR KENDRAPARA_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","10-Jun-2025","PRAGNYA PARAMITA  SAHOO","Payment Success","1000000"
"328","Odisha","Purchase of hospital equipment","WS/MP138/2025-2026/172968","Jajpur(DISTRICT COLLECTOR JAJPUR_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","02-Apr-2026","M S ABD TRADERS","Payment Success","489510"
"329","Odisha","Purchase of hospital equipment","WS/MP138/2025-2026/172969","Jajpur(DISTRICT COLLECTOR JAJPUR_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","02-Apr-2026","M S ABD TRADERS","Payment Success","489510"
"330","Odisha","Purchase of hospital equipment","WS/MP138/2025-2026/172970","Jajpur(DISTRICT COLLECTOR JAJPUR_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","02-Apr-2026","M S ABD TRADERS","Payment Success","489510"
"331","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP138/2024-2025/179954","Kendrapada(DISTRICT COLLECTOR KENDRAPARA_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","22-Jul-2025","ambar kumar rout ac je","Payment Success","500000"
"332","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP138/2025-2026/185250","KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","16-Sep-2025","Nrusinha Charan Sahoo","Payment Success","500000"
"333","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP138/2025-2026/185251","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","25-Jun-2025","MANAS RANJAN BARIK","Payment Success","1000000"
"334","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP138/2025-2026/185252","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","06-Sep-2025","Sibaya Sambit Nayak","Payment Success","500000"
"335","Odisha","Construction of boundary walls of existing public and community buildings","WS/MP138/2025-2026/185711","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","02-Jun-2025","Hemanta Kumar Behera","Payment Success","500000"
"336","Odisha","Construction of boundary walls of existing public and community buildings","WS/MP138/2025-2026/185712","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","02-Jun-2025","Hemanta Kumar Behera","Payment Success","500000"
"337","Odisha","Construction of cycle tracks, cycle stand and segregated non-motorized vehicle (NMV) lanes","WS/MP138/2025-2026/185713","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","02-Jun-2025","Hemanta Kumar Behera","Payment Success","500000"
"338","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP138/2025-2026/185714","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","05-Jun-2025","Hemanta Kumar Behera","Payment Success","500000"
