"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"46","Telangana","Lighting of public spaces","WS/MP171/2024-2025/147169","ADILABAD(DISTRICT COLLECTOR ADILABAD_IDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","18-Feb-2025","Pandurang Munde","Payment Success","148633"
"47","Telangana","Lighting of public spaces","WS/MP171/2024-2025/147170","ADILABAD(DISTRICT COLLECTOR ADILABAD_IDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","18-Feb-2025","Pandurang Munde","Payment Success","148633"
"48","Telangana","Lighting of public spaces","WS/MP171/2024-2025/147171","ADILABAD(DISTRICT COLLECTOR ADILABAD_IDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","18-Feb-2025","Pandurang Munde","Payment Success","149061"
"49","Telangana","Lighting of public spaces","WS/MP171/2024-2025/147172","ADILABAD(DISTRICT COLLECTOR ADILABAD_IDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","18-Feb-2025","Pandurang Munde","Payment Success","149061"
"50","Telangana","Lighting of public spaces","WS/MP171/2024-2025/147173","ADILABAD(DISTRICT COLLECTOR ADILABAD_IDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","18-Feb-2025","Pandurang Munde","Payment Success","148815"
"51","Telangana","Lighting of public spaces","WS/MP171/2024-2025/147174","ADILABAD(DISTRICT COLLECTOR ADILABAD_IDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","18-Feb-2025","Pandurang Munde","Payment Success","149061"
"52","Telangana","Lighting of public spaces","WS/MP171/2024-2025/147175","ADILABAD(DISTRICT COLLECTOR ADILABAD_IDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","18-Feb-2025","Pandurang Munde","Payment Success","149152"
"53","Telangana","Lighting of public spaces","WS/MP171/2024-2025/147176","ADILABAD(DISTRICT COLLECTOR ADILABAD_IDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","18-Feb-2025","Pandurang Munde","Payment Success","149488"
"54","Telangana","Lighting of public spaces","WS/MP171/2024-2025/147177","ADILABAD(DISTRICT COLLECTOR ADILABAD_IDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","18-Feb-2025","Pandurang Munde","Payment Success","149488"
"55","Telangana","Lighting of public spaces","WS/MP171/2024-2025/147178","ADILABAD(DISTRICT COLLECTOR ADILABAD_IDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","18-Feb-2025","Pandurang Munde","Payment Success","148815"
"56","Telangana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP171/2025-2026/148160","WARANGAL(District Collector Warangal_IDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","15-Nov-2025","JINUGU ANIM REDDY","Payment Success","431659"
