"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"19","Normal/Others","WS/MP18281/2025-2026/230594-Construction of community centers and community halls","Uttar Pradesh","ETAH(DISTRICT MAGISTRATE ETAH_IDA)","Shri Ramji Lal Suman (2024-30) (2024-2030)","Elected MP","construction of boundary wall at ambedkar park vill bhunagariya panchayat babarpur block awgarh distt etah","31-Aug-2025","29-Oct-2025","2233800","Work partially Completed"
"20","Normal/Others","WS/MP18281/2025-2026/230600-Construction of community centers and community halls","Uttar Pradesh","ETAH(DISTRICT MAGISTRATE ETAH_IDA)","Shri Ramji Lal Suman (2024-30) (2024-2030)","Elected MP","construction of hall at ambedakar park vill narora block awagarh distt etah","31-Aug-2025","29-Oct-2025","1583000","Work partially Completed"
"21","Normal/Others","WS/MP18281/2025-2026/230602-Construction of community centers and community halls","Uttar Pradesh","ETAH(DISTRICT MAGISTRATE ETAH_IDA)","Shri Ramji Lal Suman (2024-30) (2024-2030)","Elected MP","construction of cc road at ambedkar park to ravindra deelar vill narau block awagargh distt etah","31-Aug-2025","29-Oct-2025","1387200","Work partially Completed"
"22","Normal/Others","WS/MP18281/2025-2026/230617-Construction of community centers and community halls","Uttar Pradesh","ETAH(DISTRICT MAGISTRATE ETAH_IDA)","Shri Ramji Lal Suman (2024-30) (2024-2030)","Elected MP","construction of hall at ambedkar park 2 vill sikandar marthi block jalesar distt etah","31-Aug-2025","29-Oct-2025","1763600","Work partially Completed"
"23","Trust and Society","WS/MP18302/2026-2027/251265-Construction of community centers and community halls","Uttar Pradesh","CHITRAKOOT(DISTRICT MAGISTRATE CHITRAKOOT_IDA)","Shri Sanjay Seth (2024-30) (2024-2030)","Elected MP","Construction of class romms in Saheb singh inter college Purab Patai chitrakoot","01-Dec-2025","09-Jul-2026","700000","Sanction"
"24","Normal/Others","WS/MP18347/2025-2026/254179-Construction of community centers and community halls","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","Construction of Community Hall in Village Kua Khera Block Barauli Ahir","16-Dec-2025","26-Feb-2026","2890000","Work partially Completed"
"25","Normal/Others","WS/MP201/2025-2026/254889-Construction of community centers and community halls","Uttar Pradesh","Siddharthnagar(DISTRICT MAGISTRATE SIDDHARTH NAGAR_IDA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","Construction of hall in the said school attached in the letter","20-Dec-2025","08-Jan-2026","1000000","Vendor Identification"
"26","Normal/Others","WS/MP201/2025-2026/254891-Construction of community centers and community halls","Uttar Pradesh","Siddharthnagar(DISTRICT MAGISTRATE SIDDHARTH NAGAR_IDA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","Construction of said halls in the attach letter","20-Dec-2025","08-Jan-2026","1000000","Vendor Identification"
"27","Normal/Others","WS/MP201/2025-2026/255799-Construction of community centers and community halls","Uttar Pradesh","Siddharthnagar(DISTRICT MAGISTRATE SIDDHARTH NAGAR_IDA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","construction of 2 halls in the said attached letter","28-Dec-2025","16-Jan-2026","1000000","Vendor Identification"
"28","Normal/Others","WS/MP201/2025-2026/255800-Construction of community centers and community halls","Uttar Pradesh","Siddharthnagar(DISTRICT MAGISTRATE SIDDHARTH NAGAR_IDA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","construction of 2 halls in the said attached letter","28-Dec-2025","16-Jan-2026","1000000","Vendor Identification"
