"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"93","Nagaland","Construction of footpaths and pedestrian ways","WS/MP233/2025-2026/249163","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","10-Dec-2025","Yanga Y Konyak","Payment Success","600000"
"94","Nagaland","Construction of footpaths and pedestrian ways","WS/MP233/2025-2026/249163","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","20-Jan-2026","Yanga Y Konyak","Payment Success","400000"
"95","Nagaland","Providing sports equipment, except consumable items","WS/MP233/2025-2026/250935","Chumoukedima(Deputy Commissioner Chumoukedima_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","17-Jan-2026","Medochuzo Medoze","Payment Success","400000"
"96","Nagaland","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP233/2025-2026/251266","TUENSANG(Deputy Commissioner Tuensang_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","02-Mar-2026","Yemshangmongba","Payment Success","1500000"
"97","Nagaland","Providing drains and gutters for public drainage","WS/MP233/2025-2026/251284","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","10-Dec-2025","Nyelei Konyak","Payment Success","2100000"
"98","Nagaland","Providing drains and gutters for public drainage","WS/MP233/2025-2026/251284","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","20-Jan-2026","Nyelei Konyak","Payment Success","1400000"
"99","Nagaland","Construction of public staircase/ stair ghat for public convenience","WS/MP233/2025-2026/251286","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","10-Dec-2025","Litwang Konyak","Payment Success","600000"
"100","Nagaland","Construction of public staircase/ stair ghat for public convenience","WS/MP233/2025-2026/251286","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","20-Jan-2026","Litwang Konyak","Payment Success","400000"
"101","Nagaland","Construction of public staircase/ stair ghat for public convenience","WS/MP233/2025-2026/251322","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","10-Dec-2025","Wangkhum Konyak","Payment Success","971400"
"102","Nagaland","Construction of public staircase/ stair ghat for public convenience","WS/MP233/2025-2026/251322","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","20-Jan-2026","Wangkhum Konyak","Payment Success","647600"
