work_type,work_id,state,district,mp_name,constituency,work_description,recommendation_date,recommended_amount,sanction_date,sanctioned_amount,work_status,payment_count,total_disbursed,average_payment,maximum_payment,first_payment_date,last_payment_date,vendor_name,image_available,actual_completion_date,final_completed_amount,expenditure_ratio,amount_deviation,sanction_delay_days,payment_duration_days,completion_duration_days,vendor_count_per_work
Normal/Others,WS/MP053/2025-2026/272327,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,Construction of PCC road from the house of Pappu Singh to the house of Binod singh,2026-03-05,1494800.0,2026-03-20,1494800.0,Physical Inspection,1.0,1494800.0,1494800.0,1494800.0,2026-04-10,2026-04-10,ASSISTANT ENGINEER FATUHA,True,2026-04-10,1494800.0,1.0,0.0,15.0,0.0,21.0,1
Normal/Others,WS/MP053/2025-2026/272328,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,Construction of PCC road from the house of Basudeo Rai to the house of rohit rai in ward no. 15,2026-03-05,1495600.0,2026-03-20,1495600.0,Physical Inspection,1.0,1495600.0,1495600.0,1495600.0,2026-04-10,2026-04-10,ASSISTANT ENGINEER FATUHA,True,2026-04-10,1495600.0,1.0,0.0,15.0,0.0,21.0,1
Normal/Others,WS/MP053/2025-2026/272329,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,Construction of PCC road from the house of upendra Ram towards the house of Shankar Singh in ward no. 15,2026-03-05,1495800.0,2026-03-20,1495800.0,Physical Inspection,1.0,1495800.0,1495800.0,1495800.0,2026-04-10,2026-04-10,ASSISTANT ENGINEER FATUHA,True,2026-04-10,1495800.0,1.0,0.0,15.0,0.0,21.0,1
Normal/Others,WS/MP053/2025-2026/272330,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,Construction of PCC road from visar plant towards the house of Sudhir Kumar in ward no. 05,2026-03-05,997578.0,2026-03-20,997578.0,Physical Inspection,1.0,997578.0,997578.0,997578.0,2026-04-10,2026-04-10,ASSISTANT ENGINEER FATUHA,True,2026-04-10,997578.0,1.0,0.0,15.0,0.0,21.0,1
Normal/Others,WS/MP053/2025-2026/272331,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,Construction of PCC road from the house of Sudhir kumar towards the house of Mukesh Kumar,2026-03-05,1495322.0,2026-03-20,1495322.0,Physical Inspection,1.0,1495322.0,1495322.0,1495322.0,2026-04-10,2026-04-10,ASSISTANT ENGINEER FATUHA,True,2026-04-10,1495322.0,1.0,0.0,15.0,0.0,21.0,1
Normal/Others,WS/MP053/2025-2026/272332,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,Construction of PCC road from the house of Mukesh jee towards the boundary of Dhirendra Kumar,2026-03-05,999238.0,2026-03-20,999238.0,Physical Inspection,1.0,999238.0,999238.0,999238.0,2026-04-10,2026-04-10,ASSISTANT ENGINEER FATUHA,True,2026-04-10,999238.0,1.0,0.0,15.0,0.0,21.0,1
Normal/Others,WS/MP053/2026-2027/275275,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,Construction of PCC road from Buddhadev Chak main road to the house of Ranjeet Kumar,2026-03-21,1496000.0,2026-04-10,1496000.0,Work Completed,1.0,1495348.0,1495348.0,1495348.0,2026-05-12,2026-05-12,ASSISTANT ENGINEER FATUHA,True,2026-05-12,1495348.0,0.9995641711229947,0.0,20.0,0.0,32.0,1
Normal/Others,WS/MP053/2026-2027/275276,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,Construction of Pcc road from the house of Dhirendra Kumar to the Buddhadev Chak in ward no. 05,2026-03-21,1000000.0,2026-04-10,1000000.0,Work Completed,1.0,999266.0,999266.0,999266.0,2026-05-12,2026-05-12,ASSISTANT ENGINEER FATUHA,True,2026-05-12,999266.0,0.999266,0.0,20.0,0.0,32.0,1
Normal/Others,WS/MP053/2026-2027/275277,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,Construction of PCC Road from the patna university Boys hostel towards patna College Gate,2026-03-21,1495000.0,2026-04-10,1495000.0,Work Completed,1.0,1494083.0,1494083.0,1494083.0,2026-05-11,2026-05-11,ASSISTANT ENGINEER BANKIPUR,True,2026-05-11,1494083.0,0.9993866220735786,0.0,20.0,0.0,31.0,1
Normal/Others,WS/MP053/2026-2027/275279,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,Construction of PCC road from patna science college gate towards patna university police post block,2026-03-21,1496000.0,2026-04-10,1496000.0,Work Completed,1.0,1495171.0,1495171.0,1495171.0,2026-05-11,2026-05-11,ASSISTANT ENGINEER BANKIPUR,True,2026-05-09,1495171.0,0.9994458556149732,0.0,20.0,0.0,29.0,1
