work_type,work_id,state,district,mp_name,constituency,work_description,recommendation_date,recommended_amount,sanction_date,sanctioned_amount,work_status,payment_count,total_disbursed,average_payment,maximum_payment,first_payment_date,last_payment_date,vendor_name,image_available,actual_completion_date,final_completed_amount,expenditure_ratio,amount_deviation,sanction_delay_days,payment_duration_days,completion_duration_days,vendor_count_per_work
Normal/Others,WS/MP084/2024-2025/37999,Karnataka,BENGALURU URBAN,Shri Jaggesh (2022-28) (2022-2028),Elected MP,"CC Road works from Gouramma house to Sonnappa house in Ward.No.6,Hesaraghatta Grama Panchayat, Yelahanka Taluk, Bangalore Urban.",2023-10-17,499095.0,2024-08-30,499095.0,Physical Inspection,1.0,499095.0,499095.0,499095.0,2024-09-05,2024-09-05,LAKSHMIKANTH B T,False,2024-09-05,499095.0,1.0,0.0,318.0,0.0,6.0,1
Normal/Others,WS/MP084/2024-2025/38000,Karnataka,BENGALURU URBAN,Shri Jaggesh (2022-28) (2022-2028),Elected MP,"CC road works near Mangala House in Rajanukunte Village, Rajanukunte Grama Panchayat, Yelahanka Taluk, Bangalore Urban.",2023-10-17,499096.0,2024-08-30,499096.0,Physical Inspection,1.0,499096.0,499096.0,499096.0,2024-09-05,2024-09-05,ABHISHEK CONSTRUCTIONS,False,2024-09-05,499096.0,1.0,0.0,318.0,0.0,6.0,1
Normal/Others,WS/MP084/2024-2025/38074,Karnataka,BENGALURU URBAN,Shri Jaggesh (2022-28) (2022-2028),Elected MP,Road Development work.,2023-10-18,499096.0,2024-09-18,499096.0,Physical Inspection,1.0,499096.0,499096.0,499096.0,2024-09-18,2024-09-18,SKS CONSTRUCTION,False,2024-09-18,499096.0,1.0,0.0,336.0,0.0,0.0,1
Normal/Others,WS/MP084/2024-2025/38075,Karnataka,BENGALURU URBAN,Shri Jaggesh (2022-28) (2022-2028),Elected MP,"Road Development work from Hesarghatta-Gollahalli Road to Srinivas Murthy House in Gopalpura Village, Bangalore North Taluk.",2023-10-18,499095.0,2024-09-18,499095.0,Physical Inspection,1.0,499095.0,499095.0,499095.0,2024-09-18,2024-09-18,LAKSHMIKANTH B T,False,2024-09-18,499095.0,1.0,0.0,336.0,0.0,0.0,1
Normal/Others,WS/MP084/2024-2025/38076,Karnataka,BENGALURU URBAN,Shri Jaggesh (2022-28) (2022-2028),Elected MP,"CC Road works, Hesaraghatta, Yelahanka Taluk, Bangalore Urban",2023-10-18,499095.0,2024-09-18,499095.0,Physical Inspection,1.0,499095.0,499095.0,499095.0,2024-09-18,2024-09-18,LAKSHMIKANTH B T,False,2024-09-18,499095.0,1.0,0.0,336.0,0.0,0.0,1
Normal/Others,WS/MP084/2024-2025/38082,Karnataka,BENGALURU URBAN,Shri Jaggesh (2022-28) (2022-2028),Elected MP,"CC Road works, Rajanukunte Village, Yelahanka Taluk, Banglore Urban",2023-10-18,499096.0,2024-06-29,499096.0,Physical Inspection,1.0,499096.0,499096.0,499096.0,2024-09-05,2024-09-05,LAKSHMIKANTH B T,False,2024-09-05,499096.0,1.0,0.0,255.0,0.0,68.0,1
Normal/Others,WS/MP084/2024-2025/38083,Karnataka,BENGALURU URBAN,Shri Jaggesh (2022-28) (2022-2028),Elected MP,"CC Road Works, Ward No.6, Hesaraghatta Grama Panchayat, Yelahanka Taluk, Banglaore Urban",2023-10-18,499000.0,2024-06-29,499000.0,Physical Inspection,1.0,499000.0,499000.0,499000.0,2024-07-04,2024-07-04,ABHISHEK CONSTRUCTIONS,False,2024-07-04,499000.0,1.0,0.0,255.0,0.0,5.0,1
Normal/Others,WS/MP084/2024-2025/38084,Karnataka,BENGALURU URBAN,Shri Jaggesh (2022-28) (2022-2028),Elected MP,"CC Road Works, Ward No.6, Hesaraghatta Grama Panchayat, Yelhanka Taluk, Bangalore Urban",2023-10-18,498452.0,2024-06-27,498452.0,Physical Inspection,1.0,498452.0,498452.0,498452.0,2024-07-04,2024-07-04,SKS CONSTRUCTION,False,2024-07-04,498452.0,1.0,0.0,253.0,0.0,7.0,1
Normal/Others,WS/MP084/2024-2025/38085,Karnataka,BENGALURU URBAN,Shri Jaggesh (2022-28) (2022-2028),Elected MP,"CC Road works, Ward No.6, Hesaraghatta Grama Panchayat, Yelahanka Taluk, Banglore Urban",2023-10-18,499095.0,2024-06-27,499095.0,Physical Inspection,1.0,499095.0,499095.0,499095.0,2024-07-04,2024-07-04,SKS CONSTRUCTION,False,2024-07-04,499095.0,1.0,0.0,253.0,0.0,7.0,1
Normal/Others,WS/MP084/2024-2025/38086,Karnataka,BENGALURU URBAN,Shri Jaggesh (2022-28) (2022-2028),Elected MP,"CC Road works, Kodagi Thirumalapura Village, Hurulichikkanahalli Grama Panchayat, Yelahanka Taluk, Bangalore Urban.",2023-10-18,499000.0,2024-06-27,499000.0,Physical Inspection,1.0,499000.0,499000.0,499000.0,2024-07-04,2024-07-04,LAKSHMIKANTH B T,False,2024-07-04,499000.0,1.0,0.0,253.0,0.0,7.0,1
Normal/Others,WS/MP084/2024-2025/38103,Karnataka,BENGALURU URBAN,Shri Jaggesh (2022-28) (2022-2028),Elected MP,"CC Road works, Hesaraghatta Grama Panchayat, Yelahanka Taluk, Bangalore Urban",2023-10-18,499223.0,2024-06-29,499223.0,Physical Inspection,1.0,499223.0,499223.0,499223.0,2024-07-04,2024-07-04,LAKSHMIKANTH B T,False,2024-07-04,499223.0,1.0,0.0,255.0,0.0,5.0,1
Normal/Others,WS/MP084/2024-2025/38104,Karnataka,BENGALURU URBAN,Shri Jaggesh (2022-28) (2022-2028),Elected MP,"CC Road Works, Hesaraghatta Grama Panchayat, Yelahanka Taluk, Bangalore Urban",2023-10-18,499200.0,2024-06-29,499200.0,Physical Inspection,1.0,499200.0,499200.0,499200.0,2024-07-04,2024-07-04,LAKSHMIKANTH B T,False,2024-07-04,499200.0,1.0,0.0,255.0,0.0,5.0,1
