work_type,work_id,state,district,mp_name,constituency,work_description,recommendation_date,recommended_amount,sanction_date,sanctioned_amount,work_status,payment_count,total_disbursed,average_payment,maximum_payment,first_payment_date,last_payment_date,vendor_name,image_available,actual_completion_date,final_completed_amount
Normal/Others,WS/MP053/2025-2026/272332,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,Construction of PCC road from the house of Mukesh jee towards the boundary of Dhirendra Kumar,2026-03-05,999238.0,2026-03-20,999238.0,Physical Inspection,1.0,999238.0,999238.0,999238.0,2026-04-10,2026-04-10,ASSISTANT ENGINEER FATUHA,True,2026-04-10,999238.0
Normal/Others,WS/MP053/2026-2027/275275,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,Construction of PCC road from Buddhadev Chak main road to the house of Ranjeet Kumar,2026-03-21,1496000.0,2026-04-10,1496000.0,Work Completed,1.0,1495348.0,1495348.0,1495348.0,2026-05-12,2026-05-12,ASSISTANT ENGINEER FATUHA,True,2026-05-12,1495348.0
Normal/Others,WS/MP053/2026-2027/275276,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,Construction of Pcc road from the house of Dhirendra Kumar to the Buddhadev Chak in ward no. 05,2026-03-21,1000000.0,2026-04-10,1000000.0,Work Completed,1.0,999266.0,999266.0,999266.0,2026-05-12,2026-05-12,ASSISTANT ENGINEER FATUHA,True,2026-05-12,999266.0
Normal/Others,WS/MP053/2026-2027/275277,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,Construction of PCC Road from the patna university Boys hostel towards patna College Gate,2026-03-21,1495000.0,2026-04-10,1495000.0,Work Completed,1.0,1494083.0,1494083.0,1494083.0,2026-05-11,2026-05-11,ASSISTANT ENGINEER BANKIPUR,True,2026-05-11,1494083.0
Normal/Others,WS/MP053/2026-2027/275279,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,Construction of PCC road from patna science college gate towards patna university police post block,2026-03-21,1496000.0,2026-04-10,1496000.0,Work Completed,1.0,1495171.0,1495171.0,1495171.0,2026-05-11,2026-05-11,ASSISTANT ENGINEER BANKIPUR,True,2026-05-09,1495171.0
Normal/Others,WS/MP053/2026-2027/275281,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,Construction of PCC road from police post Patna university gate towards SESQUICENTENNIAL gate,2026-03-21,1495000.0,2026-04-10,1495000.0,Work Completed,1.0,1494426.0,1494426.0,1494426.0,2026-05-11,2026-05-11,ASSISTANT ENGINEER BANKIPUR,True,2026-05-11,1494426.0
Normal/Others,WS/MP053/2026-2027/275362,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,Construction of PCC Road from Patna College SESQUICENTENNIAL gate towards backside of Faraday Hostel,2026-03-23,1498000.0,2026-04-10,1498000.0,Work Completed,1.0,1497237.0,1497237.0,1497237.0,2026-05-11,2026-05-11,ASSISTANT ENGINEER BANKIPUR,True,2026-05-09,1497237.0
Normal/Others,WS/MP053/2026-2027/275363,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,Construction of PCC Road from Patna University Gate to the backside of Faraday Hostel,2026-03-23,1496000.0,2026-04-10,1496000.0,Work Completed,1.0,1495467.0,1495467.0,1495467.0,2026-05-11,2026-05-11,ASSISTANT ENGINEER BANKIPUR,True,2026-05-09,1495467.0
Normal/Others,WS/MP053/2025-2026/191075,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,Construction of PCC road with drainage system from the house of Birju jee to  Triveni Nivas in Buddhjivi colony.,2025-04-13,1482800.0,2025-05-16,1482800.0,Physical Inspection,1.0,1482800.0,1482800.0,1482800.0,2025-06-25,2025-06-25,ASSISTANT ENGINEER BANKIPUR,True,2025-06-25,1482800.0
Normal/Others,WS/MP053/2025-2026/191076,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,Construction of PCC road from the house of Vimla Kumari to the house of Arun Ojha jee in Laxminagar East.,2025-04-13,1480034.0,2025-05-16,1480034.0,Physical Inspection,1.0,1480034.0,1480034.0,1480034.0,2025-07-11,2025-07-11,ASSISTANT ENGINEER FATUHA,True,2025-07-10,1480034.0
Normal/Others,WS/MP053/2025-2026/191077,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,Construction of PCC road from the house of Kamlesh Kumar to the house of Shailesh Mistri  in Laxminagar East.,2025-04-13,494823.0,2025-05-16,494823.0,Physical Inspection,1.0,494823.0,494823.0,494823.0,2025-07-11,2025-07-11,ASSISTANT ENGINEER FATUHA,True,2025-07-10,494823.0
Normal/Others,WS/MP053/2025-2026/196422,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,Construction of PCC road from the house of Ram jee towards gas godownin Lakshminagar,2025-05-03,1283915.0,2025-05-19,1283915.0,Physical Inspection,1.0,1283915.0,1283915.0,1283915.0,2025-08-01,2025-08-01,ASSISTANT ENGINEER FATUHA,True,2025-08-01,1283915.0
Normal/Others,WS/MP053/2025-2026/196423,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,Construction of PCC road from the house of PN singh towards SDM Road in lakshminagar,2025-05-03,1285029.0,2025-05-19,1285029.0,Physical Inspection,1.0,1285029.0,1285029.0,1285029.0,2025-08-01,2025-08-01,ASSISTANT ENGINEER FATUHA,True,2025-08-01,1285029.0
Normal/Others,WS/MP053/2025-2026/196424,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,Construction of PCC road from the house of Rajnish kumar to the house of Manoj Kumar,2025-05-03,1480179.0,2025-05-19,1480179.0,Physical Inspection,1.0,1480179.0,1480179.0,1480179.0,2025-06-29,2025-06-29,ASSISTANT ENGINEER FATUHA,True,2025-06-29,1480179.0
Normal/Others,WS/MP053/2025-2026/196425,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,Construction of PCC road from the boundary of Awadh singh to the house of Ravishankar Kumar in ward no.1 village -Chainpur,2025-05-03,1480440.0,2025-05-19,1480440.0,Physical Inspection,1.0,1480440.0,1480440.0,1480440.0,2025-06-29,2025-06-29,ASSISTANT ENGINEER FATUHA,True,2025-06-29,1480440.0
Normal/Others,WS/MP053/2025-2026/196426,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,Construction of PCC road from the cement factory to towards the house of Nirmala Devi.,2025-05-03,1385841.0,2025-05-19,1385841.0,Physical Inspection,1.0,1385841.0,1385841.0,1385841.0,2025-08-01,2025-08-01,ASSISTANT ENGINEER FATUHA,True,2025-08-01,1385841.0
Normal/Others,WS/MP053/2025-2026/196445,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,Construction of PCC road from the farm house of Vijay Sarpanch jee to the boundary of Bishop School,2025-05-03,1480080.0,2025-05-19,1480080.0,Physical Inspection,1.0,1480080.0,1480080.0,1480080.0,2025-06-29,2025-06-29,ASSISTANT ENGINEER FATUHA,True,2025-06-29,1480080.0
Normal/Others,WS/MP053/2025-2026/196446,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,Construction of PCC road from the plot of Brajesh kumar to the house of biren singh in ward no. 01,2025-05-03,1336700.0,2025-05-19,1336700.0,Physical Inspection,1.0,1336700.0,1336700.0,1336700.0,2025-06-29,2025-06-29,ASSISTANT ENGINEER FATUHA,True,2025-06-29,1336700.0
Normal/Others,WS/MP053/2025-2026/196447,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,Construction of PCC road from primary school to the boundary wall of sudama singh in ward no.14 Rampur,2025-05-03,1277400.0,2025-05-19,1277400.0,Physical Inspection,1.0,1277400.0,1277400.0,1277400.0,2025-07-16,2025-07-16,ASSISTANT ENGINEER FATUHA,True,2025-07-16,1277400.0
Normal/Others,WS/MP053/2025-2026/196448,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,Construction of PCC road from the house of munna jee to the house of Dinkar jee in ward no.14 Rampur,2025-05-03,1475100.0,2025-05-19,1475100.0,Physical Inspection,1.0,1475100.0,1475100.0,1475100.0,2025-07-16,2025-07-16,ASSISTANT ENGINEER FATUHA,True,2025-07-16,1475100.0
Normal/Others,WS/MP053/2025-2026/196449,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,Construction of PCC road from the plot of Ram Babu Singh to the boundary wall of Isranandan Singh in ward no.14 Rampur,2025-05-03,1479600.0,2025-05-19,1479600.0,Physical Inspection,1.0,1479600.0,1479600.0,1479600.0,2025-07-16,2025-07-16,ASSISTANT ENGINEER FATUHA,True,2025-07-16,1479600.0
Normal/Others,WS/MP053/2025-2026/196452,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,Construction of PCC Road from the  Shahpur Main Road towards the house of Sunder Paswan in jaganpura,2025-05-03,997200.0,2025-06-10,997200.0,Physical Inspection,1.0,997200.0,997200.0,997200.0,2025-10-18,2025-10-18,ASSISTANT ENGINEER FATUHA,True,2025-10-17,997200.0
Normal/Others,WS/MP053/2025-2026/196453,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,Construction of PCC road from the house of Shambhu Singh towards Sita Nawal Path,2025-05-03,1492700.0,2025-06-10,1492700.0,Physical Inspection,1.0,1492700.0,1492700.0,1492700.0,2025-10-18,2025-10-18,ASSISTANT ENGINEER FATUHA,True,2025-10-17,1492700.0
Normal/Others,WS/MP053/2025-2026/196454,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,Construction of PCC road from the house of Sanjeev jee to the plot of Bulkan Shah,2025-05-03,1491500.0,2025-06-10,1491500.0,Physical Inspection,1.0,1491500.0,1491500.0,1491500.0,2025-10-18,2025-10-18,ASSISTANT ENGINEER FATUHA,True,2025-10-17,1491500.0
Normal/Others,WS/MP053/2025-2026/196455,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,Construction of PCC road from the plot of Ramprakash singh to the house of Prabhat Kumar,2025-05-03,1492700.0,2025-06-10,1492700.0,Physical Inspection,1.0,1492700.0,1492700.0,1492700.0,2025-10-18,2025-10-18,ASSISTANT ENGINEER FATUHA,True,2025-10-17,1492700.0
Normal/Others,WS/MP053/2025-2026/196456,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,Construction of PCC road from the plot of lalan prasad towards the plot of Kush singh,2025-05-03,1492600.0,2025-06-10,1492600.0,Physical Inspection,1.0,1492600.0,1492600.0,1492600.0,2025-10-18,2025-10-18,ASSISTANT ENGINEER FATUHA,True,2025-10-16,1492600.0
Normal/Others,WS/MP053/2025-2026/196459,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,Construction of PCC road from the house of rajesh kumar to the house of Kishor Sharma in Aashirvaad colony,2025-05-03,1492400.0,2025-06-10,1492400.0,Physical Inspection,1.0,1492400.0,1492400.0,1492400.0,2025-10-18,2025-10-18,ASSISTANT ENGINEER FATUHA,True,2025-10-17,1492400.0
Normal/Others,WS/MP053/2025-2026/196460,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,Construction of PCC road from the house of Shivkumar jee to the boundary of Anuj Thakur,2025-05-03,1492200.0,2025-06-10,1492200.0,Physical Inspection,1.0,1492200.0,1492200.0,1492200.0,2025-10-18,2025-10-18,ASSISTANT ENGINEER FATUHA,True,2025-10-17,1492200.0
Normal/Others,WS/MP053/2025-2026/200098,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,Construction of PCC Road from the plot of Manoj Singh to the Chhath Ghat in Chainpur Village,2025-05-16,1366904.0,2025-06-10,1366904.0,Physical Inspection,1.0,1366904.0,1366904.0,1366904.0,2025-07-16,2025-07-16,ASSISTANT ENGINEER FATUHA,True,2025-07-16,1366904.0
Normal/Others,WS/MP053/2025-2026/220152,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,Construction of PCC road from the house of Dhananjay Singh towards the house of Kundan jee,2025-07-19,1489200.0,2025-08-25,1489200.0,Physical Inspection,1.0,1489200.0,1489200.0,1489200.0,2025-11-20,2025-11-20,ASSISTANT ENGINEER PATNA SAHIB,True,2025-11-19,1489200.0
Normal/Others,WS/MP053/2025-2026/220153,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,construction of PCC Road from Kalindi residence towards the house of shashi jee,2025-07-19,1497200.0,2025-08-25,1497200.0,Physical Inspection,1.0,1497200.0,1497200.0,1497200.0,2025-11-28,2025-11-28,ASSISTANT ENGINEER PATNA SAHIB,True,2025-11-28,1497200.0
Normal/Others,WS/MP053/2025-2026/220154,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,Construction of PCC road from the house of keshri Bhavan towards the house of Naveen Kumar,2025-07-19,1495900.0,2025-08-25,1495900.0,Physical Inspection,1.0,1495900.0,1495900.0,1495900.0,2025-11-28,2025-11-28,ASSISTANT ENGINEER PATNA SAHIB,True,2025-11-28,1495900.0
Normal/Others,WS/MP053/2025-2026/220155,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,Construction of PCC road from the house of Ashok Mahto towards the house of shyam singh,2025-07-19,1494900.0,2025-08-25,1494900.0,Physical Inspection,1.0,1494900.0,1494900.0,1494900.0,2025-11-28,2025-11-28,ASSISTANT ENGINEER PATNA SAHIB,True,2025-11-28,1494900.0
Normal/Others,WS/MP053/2025-2026/220156,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,construction of pcc road from the house of yash jee towards  the house of mukh sadak,2025-07-19,1493100.0,2025-08-25,1493100.0,Physical Inspection,1.0,1493100.0,1493100.0,1493100.0,2025-11-17,2025-11-17,ASSISTANT ENGINEER PATNA SAHIB,True,2025-11-15,1493100.0
Normal/Others,WS/MP053/2025-2026/220169,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,Construction of PCC road from the house of Akhilesh jee to the house of Prakash jee,2025-07-19,1490900.0,2025-08-25,1490900.0,Physical Inspection,1.0,1490900.0,1490900.0,1490900.0,2025-11-28,2025-11-28,ASSISTANT ENGINEER PATNA SAHIB,True,2025-11-28,1490900.0
Normal/Others,WS/MP053/2025-2026/220170,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,construction of PCC road from the house of Raju Kumar to the house of Dinesh Mahto,2025-07-19,1484200.0,2025-08-25,1484200.0,Physical Inspection,1.0,1484200.0,1484200.0,1484200.0,2025-11-17,2025-11-17,ASSISTANT ENGINEER PATNA SAHIB,True,2025-11-15,1484200.0
Normal/Others,WS/MP053/2025-2026/220171,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,Construction of PCC road from the house of tuntun kumar towards the house of ram khelawal mahto,2025-07-19,1478900.0,2025-08-25,1478900.0,Physical Inspection,1.0,1478900.0,1478900.0,1478900.0,2025-11-28,2025-11-28,ASSISTANT ENGINEER PATNA SAHIB,True,2025-11-28,1478900.0
Normal/Others,WS/MP053/2025-2026/220172,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,Construction of PCC road from the house of manoj Mahto to the house of Ram Jee,2025-07-19,1484200.0,2025-08-25,1484200.0,Physical Inspection,1.0,1484200.0,1484200.0,1484200.0,2025-11-28,2025-11-28,ASSISTANT ENGINEER PATNA SAHIB,True,2025-11-28,1484200.0
Normal/Others,WS/MP053/2025-2026/220173,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,Construction of pcc road from the house of dina jee to the house of Rajeev Yadav,2025-07-19,1489100.0,2025-08-25,1489100.0,Physical Inspection,1.0,1489100.0,1489100.0,1489100.0,2025-11-17,2025-11-17,ASSISTANT ENGINEER PATNA SAHIB,True,2025-11-15,1489100.0
Normal/Others,WS/MP053/2025-2026/220194,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,construction of PCC road from the house of Mukesh Kumar towards the house of Rajendra Mahto,2025-07-19,1492400.0,2025-08-25,1492400.0,Physical Inspection,1.0,1492400.0,1492400.0,1492400.0,2025-11-17,2025-11-17,ASSISTANT ENGINEER PATNA SAHIB,True,2025-11-15,1492400.0
Normal/Others,WS/MP053/2025-2026/220195,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,Construction of PCC from the house of Mithlesh jee to the house of Balram Yadav,2025-07-19,1486900.0,2025-08-25,1486900.0,Physical Inspection,1.0,1486900.0,1486900.0,1486900.0,2026-03-07,2026-03-07,ASSISTANT ENGINEER PATNA SAHIB,True,2026-03-07,1486900.0
Normal/Others,WS/MP053/2025-2026/220196,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,Construction of PCC road from the house of Ritesh Yadav to the house of Karn Sharma,2025-07-19,1489700.0,2025-08-25,1489700.0,Physical Inspection,1.0,1489700.0,1489700.0,1489700.0,2025-11-15,2025-11-15,ASSISTANT ENGINEER PATNA SAHIB,True,2025-11-15,1489700.0
Normal/Others,WS/MP053/2025-2026/220197,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,construction of PCC road from the house of Sinha jee to the house of Dharmendra Kumar,2025-07-19,616800.0,2025-08-25,616800.0,Physical Inspection,1.0,616800.0,616800.0,616800.0,2026-03-07,2026-03-07,ASSISTANT ENGINEER PATNA SAHIB,True,2026-03-07,616800.0
Normal/Others,WS/MP053/2025-2026/229738,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,Construction of PCC Road from Nehru Path near kotwali Thana  to Shiv Mandir,2025-08-28,1298000.0,2025-09-12,1298000.0,Physical Inspection,1.0,1298000.0,1298000.0,1298000.0,2025-10-18,2025-10-18,ASSISTANT ENGINEER BANKIPUR,True,2025-10-17,1298000.0
Normal/Others,WS/MP053/2025-2026/229739,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,construction of PCC road from the back gate of kotwali thana to the main building,2025-08-28,1298100.0,2025-09-12,1298100.0,Physical Inspection,1.0,1298100.0,1298100.0,1298100.0,2025-10-18,2025-10-18,ASSISTANT ENGINEER BANKIPUR,True,2025-10-17,1298100.0
Normal/Others,WS/MP053/2025-2026/229740,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,Construction of PCC road from the Garage of kotwali thana to quarters in kotwali thana,2025-08-28,1247500.0,2025-09-12,1247500.0,Physical Inspection,1.0,1247500.0,1247500.0,1247500.0,2025-10-18,2025-10-18,ASSISTANT ENGINEER BANKIPUR,True,2025-10-17,1247500.0
Normal/Others,WS/MP053/2025-2026/229741,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,Construction of PCC road from the Shiv Mandir to the Staff quarters.,2025-08-28,1147900.0,2025-09-12,1147900.0,Physical Inspection,1.0,1147900.0,1147900.0,1147900.0,2025-10-18,2025-10-18,ASSISTANT ENGINEER BANKIPUR,True,2025-10-17,1147900.0
Normal/Others,WS/MP053/2025-2026/229754,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,construction of PCC road from the sampatchak main road to the house of ramesh singh,2025-08-28,1498043.0,2025-09-12,1498043.0,Physical Inspection,1.0,1498043.0,1498043.0,1498043.0,2025-11-11,2025-11-11,ASSISTANT ENGINEER FATUHA,True,2025-11-11,1498043.0
Normal/Others,WS/MP053/2025-2026/229755,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,construction of pcc road in ward 4 lakshmichak tola from the house of prakash jee to the house of Dharmendra jee,2025-08-28,1497044.0,2025-09-12,1497044.0,Physical Inspection,1.0,1497044.0,1497044.0,1497044.0,2025-11-11,2025-11-11,ASSISTANT ENGINEER FATUHA,True,2025-11-11,1497044.0
Normal/Others,WS/MP053/2025-2026/229756,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,construction of PCC road in  in ward no.11 varuna village from the house of Sunil jee to the the house of Ramaikbal jee,2025-08-28,1496012.0,2025-09-12,1496012.0,Physical Inspection,1.0,1496012.0,1496012.0,1496012.0,2025-11-15,2025-11-15,ASSISTANT ENGINEER FATUHA,True,2025-11-11,1496012.0
