"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"16","Normal/Others","WS/MP086/2025-2026/188724-Installing tube-wells and borewells","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","Installation of pump motor near Hombamma barangay of Tataguni village under Agar Gram Panchayat, Bangalore Dakshina Taluk","02-Apr-2025","21-Jun-2025","500000","Work partially Completed"
"17","Normal/Others","WS/MP086/2025-2026/188734-Installing tube-wells and borewells","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","Installation of pump motor near Chikkakodigehalli Village Ratna Barangay under Kodigehalli Gram Panchayat, Bengaluru Uttar Taluk","02-Apr-2025","21-Jun-2025","500000","Work partially Completed"
"18","Normal/Others","WS/MP086/2025-2026/188737-Installing tube-wells and borewells","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","New Bore Drilling Work Near Seegehalli Village Under Kodigehalli Gram Panchayat, Bangalore Uttar Taluk","02-Apr-2025","21-Jun-2025","400000","Work partially Completed"
"19","Normal/Others","WS/MP086/2025-2026/188739-Installing tube-wells and borewells","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","New Bore Drilling Work in Dhananayakanahalli Village under Sulikere Gram Panchayat, Bangalore Dakshina Taluk","02-Apr-2025","21-Jun-2025","400000","Work partially Completed"
"20","Normal/Others","WS/MP086/2025-2026/188741-Installing tube-wells and borewells","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","New borehole drilling work near Channenahalli Milk Producers Cooperative Society under Channenahalli Gram Panchayat, Bangalore South Taluk","02-Apr-2025","21-Jun-2025","400000","Work partially Completed"
"21","Normal/Others","WS/MP086/2025-2026/194196-Installing tube-wells and borewells","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","Construction of borewell and pump motor at Bangalore urban, Yelahanka Talluk, Hesaraghatta Hobali, Shivakote Grama Panchayat, Muttugadahalli Village","24-Apr-2025","12-Nov-2025","500000","Work Completed"
"22","Normal/Others","WS/MP086/2026-2027/256881-Installing tube-wells and borewells","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","Installation of Borewell at Dattatreya ward no.61, Bangalore District, Gandhinagar Assembly constituency","03-Jan-2026","01-Aug-2026","300000","Physical Inspection"
"23","Normal/Others","WS/MP086/2026-2027/245832-Installing tube-wells and borewells","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","installation of new borewell at Bangalore north talluk, Kadabagere grama panchayath, Arkavathi layout","04-Nov-2025","13-May-2026","400000","Work partially Completed"
"24","Normal/Others","WS/MP086/2026-2027/245846-Installing tube-wells and borewells","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","Installation of Borewell at Bangalore South talluk, H gollagalli grama panchayath, Near apartment of Doddabele village","04-Nov-2025","13-May-2026","400000","Work partially Completed"
"25","Normal/Others","WS/MP086/2026-2027/245852-Installing tube-wells and borewells","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","Installation of borewell at Bangalore south talluk, kumbalagudu grama panchayath, near government school of Anchepalya","04-Nov-2025","13-May-2026","400000","Work partially Completed"
