"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"17","Normal/Others","WS/MP850/2025-2026/203887-Construction of community centers and community halls","Uttarakhand","DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","panache valley mein samudayik bahvan ke avshesh karya.ia (karyadai sanstatha)-jila panchayat dehradun","27-May-2025","04-Feb-2026","1000000","Vendor Identification"
"18","Normal/Others","WS/MP204/2025-2026/221902-Construction of community centers and community halls","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","Construction of a bathroom and a hand pump for women near the Johad in Scheduled Caste village Manak Majra, Block Bhagwanpur, District Haridwar","28-Jul-2025","17-Oct-2025","200000","Sanction"
"19","Normal/Others","WS/MP204/2025-2026/222815-Construction of community centers and community halls","Uttarakhand","ALMORA(DISTRICT MAGISTRATE ALMORA_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","Repair or renovation (roof construction) of community building near Saim Dham in the scheduled majority village Katiyari of Gram Panchayat Anariakot, block Lamgara","28-Jul-2025","29-Oct-2025","1300000","Sanction"
"20","Normal/Others","WS/MP18333/2025-2026/227699-Construction of community centers and community halls","Uttarakhand","PITHORAGARH(NRLM , pithoragarh)","Shri Mahendra Bhatt (2024-30) (2024-2030)","Elected MP","Mahila Aashram Muwani Pithoragarh me kaksha Nirman hetu , Karyadayee sanstha- RWD, Mahila Aashram Muwani","19-Aug-2025","17-Oct-2025","2000000","Work partially Completed"
"21","Normal/Others","WS/MP204/2025-2026/240513-Construction of community centers and community halls","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","Construction of Cremation Ground in Gram Panchayat Seedhadu, Block laksar, District Haridwar","17-Oct-2025","28-Jan-2026","1000000","Sanction"
"22","Normal/Others","WS/MP204/2025-2026/242778-Construction of community centers and community halls","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","Construction of parking at Solani Nadi Cremation Ground Roorkee","27-Oct-2025","28-Jan-2026","2000000","Sanction"
"23","Normal/Others","WS/MP204/2025-2026/242858-Construction of community centers and community halls","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","construction of floor for Cow shelters at shri Krishnayan Gaurakshashala, Gaindikhata, Haridwar","27-Oct-2025","12-Dec-2025","500000","Physical Inspection"
"24","Normal/Others","WS/MP204/2025-2026/245318-Construction of community centers and community halls","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","Construction of Roof (Chhatri) at the Crematorium in Ward No 23, Salempur Rajputena, Nagar Nigam Roorkee","31-Oct-2025","28-Jan-2026","1000000","Sanction"
"25","Normal/Others","WS/MP850/2025-2026/254141-Construction of community centers and community halls","Uttarakhand","ALMORA(DISTRICT MAGISTRATE ALMORA_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","gram supakote mein devi than mandir ke pass baratghar mein bramde ke farsh ka nirman.","15-Dec-2025","03-Feb-2026","200000","Sanction"
"26","Normal/Others","WS/MP18333/2025-2026/254382-Construction of community centers and community halls","Uttarakhand","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Shri Mahendra Bhatt (2024-30) (2024-2030)","Elected MP","Dist Uttarkashi ke vikash khand bhatwari me gram Barsu me narayan milan kendra me saundrikaran kary, K.S.- Vikash khnad adhikari Bhatwari","16-Dec-2025","31-Mar-2026","700000","Sanction"
