"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"509","Normal/Others","WS/MP18285/2024-2025/146110-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","DUNGARPUR(DISTRICT COLLECTOR DUNGARPUR_IDA)","Shri Chunnilal Garasiya (2024-30) (2024-2030)","Elected MP","CC road (  CC road construction work from main road to Balbhadra Singh's house)","08-Oct-2024","17-Dec-2024","1000000","Work partially Completed"
"510","Normal/Others","WS/MP18285/2024-2025/146115-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","DUNGARPUR(DISTRICT COLLECTOR DUNGARPUR_IDA)","Shri Chunnilal Garasiya (2024-30) (2024-2030)","Elected MP","CC Road Patidar Basti","08-Oct-2024","14-Dec-2024","1000000","Work partially Completed"
"511","Normal/Others","WS/MP147/2024-2025/146555-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","ALWAR(DISTRICT COLLECTOR ALWAR_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","2- For construction of CC/interlocking tiles From PWD road in village Kuttin Sahabdas towards Ramgopal/Ghammiram Meena.","09-Oct-2024","06-Dec-2024","599042","Physical Inspection"
"512","Normal/Others","WS/MP147/2024-2025/146557-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","ALWAR(DISTRICT COLLECTOR ALWAR_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","3-For construction of CC/interlocking tiles road from Indraj Meena's house towards Shriphal Meena's house in village Kuttin Sahavdas.","09-Oct-2024","06-Dec-2024","400000","Time Estimation"
"513","Normal/Others","WS/MP146/2024-2025/146660-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","ALWAR(DISTRICT COLLECTOR ALWAR_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","Interlocking Road construction works (Sadak nirman) from 33 KV GSS towards house of Ramdayal in Gram Panchayat Kherli Rel, P.S. Kathumar, Dist. Alwar","11-Oct-2024","02-Dec-2024","984800","Physical Inspection"
"514","Normal/Others","WS/MP146/2024-2025/146661-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","Gangapurcity(DISTRICT COLLECTOR Gangapur City_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","Construction of of C.C. Road (Sadak Nirman) from house of Arjan Jatav to Roopsingh Jatav in Village Bhainsa, Gram Panchayat Jhadisa, P.S. Todabhim, Gangapur City","11-Oct-2024","17-Dec-2024","999861","Physical Inspection"
"515","Normal/Others","WS/MP146/2024-2025/146662-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","KARAULI(DISTRICT COLLECTOR KARAULI_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","Interlocking Road cum Drain/Sewer works from the house of Maharalli towards Talai  in Gram Panchayat Rewai, P.S. Hindaun, Dist. Karauli","11-Oct-2024","16-Dec-2024","999527","Physical Inspection"
"516","Normal/Others","WS/MP146/2024-2025/146663-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","ALWAR(DISTRICT COLLECTOR ALWAR_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","Interlocking Bricks Kharanja Road from the tringle circle towards Pokhara in Gram Bhanwar, Gram Panchayat Dantia, P.S. Kathumar, Dist. Alwar","11-Oct-2024","02-Dec-2024","495809","Physical Inspection"
"517","Normal/Others","WS/MP146/2024-2025/146664-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","Interlocking Bricks Kharanja Road cum Drain/Sewer works from Power House to Advocate Vijay in Gram Panchayat Chhokarwara Kalan, P.S. Bhusawar, Dist. Bharatpur","11-Oct-2024","07-Jan-2025","500000","Work partially Completed"
"518","Normal/Others","WS/MP146/2024-2025/146677-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","JAISALMER(DISTRICT COLLECTOR JAISLAMER_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","Construction of Greval Road/Sadak  works Mandau Pulia from Pappudev/Kanwarlal ke Murabbe towards Mohanram/Hardas's Murabbe in Gram Panchayat Bankalsar, P.S. Mohangarh/Jaisalmer, Dist. Jaisalmer","11-Oct-2024","25-Nov-2024","1000000","Physical Inspection"
"519","Normal/Others","WS/MP148/2024-2025/147409-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","Interlock road from Bhagirath Saharan's house near Harpal's house towards the main road in village Azadi Khurd.","15-Oct-2024","16-Dec-2024","400000","Work partially Completed"
"520","Normal/Others","WS/MP148/2024-2025/147421-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","Asphaltization of the gravel road from village Nizampura towards Purohit ki Dhani (in the border of Nizampura).","15-Oct-2024","15-Jan-2025","900000","Sanction"
"521","Normal/Others","WS/MP147/2024-2025/148159-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","For the construction work of interlock with basketball ball court in R.U.M.V.  Khudi Badi.","18-Oct-2024","19-Dec-2024","1500000","Work partially Completed"
"522","Normal/Others","WS/MP18295/2024-2025/148612-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","JAISALMER(DISTRICT COLLECTOR JAISLAMER_IDA)","Smt. Sonia Gandhi (2024-30) (2024-2030)","Elected MP","Construction of an Interlocking Road at the Cremation Ground, Village Ratariya, Gram Panchayat Rathdiya, Panchayat Samiti Bhaniyana, Jaisalmer, Rajasthan","19-Oct-2024","12-Jan-2025","1499926","Physical Inspection"
"523","Normal/Others","WS/MP18295/2024-2025/148616-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA)","Smt. Sonia Gandhi (2024-30) (2024-2030)","Elected MP","Construction of an Interlocking Road at Main Road, Baas Kaliyasar, via the residence of Shishpal Jhajhadia, Gram Panchayat Kaliyasar, to the public well","19-Oct-2024","20-Dec-2024","1498102","Physical Inspection"
