"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"82","Normal/Others","WS/MP235/2026-2027/299132-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","Const. of Shamshanghat at Village Kammagar","27-Jul-2026","04-Aug-2026","500000","Work partially Completed"
"83","Normal/Others","WS/MP235/2026-2027/301952-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","Const. of Shamshanghat at Village Railway Basti","07-Aug-2026","19-Aug-2026","400000","Work partially Completed"
"84","Normal/Others","WS/MP141/2024-2025/172982-Construction of night shelters for homeless","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","construction of rooms at anand dham kusht ashram ward no 22 , ferozepur city","05-Feb-2025","07-Feb-2025","2500000","Work partially Completed"
"85","Normal/Others","WS/MP140/2024-2025/142019-Construction of common work sheds/ common covered sitting area","Punjab","MOGA(Deputy Commissioner Moga)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","To put a shed in Ravidas Bhagat Dharamshala","20-Sep-2024","03-Dec-2024","300000","Physical Inspection"
"86","Normal/Others","WS/MP140/2025-2026/248499-Construction of common work sheds/ common covered sitting area","Punjab","RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","For the construction of a shed in the village sports stadium","18-Nov-2025","19-Jan-2026","500000","Physical Inspection"
"87","Normal/Others","WS/MP843/2026-2027/298118-Construction of additional rooms and halls in the existing public and community building","Punjab","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Dr. Ashok Kumar Mittal (2022-28) (2022-2028)","Elected MP","Construction of Classrooms (halls) in Cantt.Board Boys Sr. Sec. School","22-Jul-2026","14-Aug-2026","1500000","Sanction"
"88","Normal/Others","WS/MP235/2025-2026/244120-Construction of boundary walls of existing public and community buildings","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","Const. of Boundary Wall at  Govt. Primary School Bhakhra","27-Oct-2025","04-Nov-2025","300000","Physical Inspection"
"89","Normal/Others","WS/MP235/2025-2026/267405-Construction of boundary walls of existing public and community buildings","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","Const. of Boundary Wall of Play Ground  at MLM Sen. Sec. School Ferozepur Cantt.","10-Feb-2026","13-Feb-2026","2400000","Work partially Completed"
"90","Normal/Others","WS/MP235/2026-2027/277162-Construction of boundary walls of existing public and community buildings","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","Const. of Boundary Wall of Community Hall at Village Kutbe Wala","01-Apr-2026","09-Apr-2026","499772","Physical Inspection"
"91","Normal/Others","WS/MP844/2023-2024/19897-Retrofitting, preservation or conservation of heritage and archaeological monuments and buildings","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Vikramjit Singh Sahney (2022-28) (2022-2028)","Elected MP","Amonut of rupees 50 lakhs to be given by Hon'ble MP Sh. Vikramjit Singh Sahney for Retrofitting, preservation and conservation of heritage memorial of historic Battle of Sarahgarhi in Firozpur","14-Sep-2023","11-Oct-2023","5000000","Physical Inspection"
"92","Normal/Others","WS/MP844/2024-2025/127389-Retrofitting, preservation or conservation of heritage and archaeological monuments and buildings","Punjab","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Dr. Vikramjit Singh Sahney (2022-28) (2022-2028)","Elected MP","Various Development work to be carried out on the heritage street of Sri Darbar Sahib, Amritsar. MPLAD grant of rupees One crore Fifty lakh Sixty thousand, Eight Hundred Six only","13-Mar-2024","07-Aug-2024","15060806","Physical Inspection"
"93","Normal/Others","WS/MP844/2024-2025/152844-Retrofitting, preservation or conservation of heritage and archaeological monuments and buildings","Punjab","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Dr. Vikramjit Singh Sahney (2022-28) (2022-2028)","Elected MP","Various Development work to be carried out on the heritage street of Sri Darbar Sahib, Amritsar. MPLAD grant of rupees One crore thirty four lakh two thousand six hundred fifty six","16-Nov-2024","28-Nov-2024","13402656","Work partially Completed"
"94","Normal/Others","WS/MP141/2025-2026/241140-Retrofitting, preservation or conservation of heritage and archaeological monuments and buildings","Punjab","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","construction of Vishwakarma chowk at batala","09-Oct-2025","29-Dec-2025","2000000","Sanction"
"95","Normal/Others","WS/MP140/2023-2024/7453-Purchase of motor boats for flood and cyclone prone areas","Punjab","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","Purchase of  1 motor boats for flood and cyclone prone areas.  fixing 50mm thick salwood planks for floring","02-Aug-2023","21-Sep-2023","772663","Physical Inspection"
"96","Normal/Others","WS/MP235/2024-2025/133732-Purchase of motor boats for flood and cyclone prone areas","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","Water boat for Village (Gram Panchayat) - Darveshe Ka (Palha Megha)","19-Jul-2024","22-Jul-2024","1000000","Physical Inspection"
"97","Normal/Others","WS/MP235/2024-2025/133903-Purchase of motor boats for flood and cyclone prone areas","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","For Water Boat for the flood affected village Panchayat Pharuwala","22-Jul-2024","22-Jul-2024","1000000","Physical Inspection"
"98","Normal/Others","WS/MP140/2025-2026/230390-Purchase of motor boats for flood and cyclone prone areas","Punjab","KAPURTHALA(DEPUTY COMMISSIONER KAPURTHALA_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","For Rescue Motor Boat, In emergency.","30-Aug-2025","03-Sep-2025","449000","Physical Inspection"
"99","Normal/Others","WS/MP141/2025-2026/230733-Purchase of motor boats for flood and cyclone prone areas","Punjab","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","for rescue motor boat in emergency at mukaura pattan block dinanagar","01-Sep-2025","04-Sep-2025","577500","Physical Inspection"
"100","Normal/Others","WS/MP141/2025-2026/230734-Purchase of motor boats for flood and cyclone prone areas","Punjab","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","for rescue motor boat in emergency Gania Ke Bet  Block Dera Baba Nanak","01-Sep-2025","04-Sep-2025","577500","Physical Inspection"
"101","Normal/Others","WS/MP141/2025-2026/230735-Purchase of motor boats for flood and cyclone prone areas","Punjab","KAPURTHALA(DEPUTY COMMISSIONER KAPURTHALA_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","for rescue motor boat in emergency at Hussainpur Bulle block sultanpur","01-Sep-2025","04-Sep-2025","577500","Work Completed"
"102","Normal/Others","WS/MP141/2025-2026/230736-Purchase of motor boats for flood and cyclone prone areas","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","for rescue motor boat in emergency at Bandala (328)Firozpur","01-Sep-2025","03-Sep-2025","577500","Physical Inspection"
"103","Normal/Others","WS/MP141/2025-2026/230737-Purchase of motor boats for flood and cyclone prone areas","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","for rescue motor boat in emergency at Kale Ke Hithar distt firozpur","01-Sep-2025","03-Sep-2025","577500","Physical Inspection"
"104","Normal/Others","WS/MP141/2025-2026/230738-Purchase of motor boats for flood and cyclone prone areas","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","for rescue motor boat in emergency at habib ke block firozpur","01-Sep-2025","03-Sep-2025","577500","Physical Inspection"
"105","Normal/Others","WS/MP141/2025-2026/230756-Purchase of motor boats for flood and cyclone prone areas","Punjab","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","for rescue motor boat for emergency for village chak yusafpur allewal block lohian khas","01-Sep-2025","15-Sep-2025","577500","Vendor Identification"
"106","Normal/Others","WS/MP140/2025-2026/230923-Purchase of motor boats for flood and cyclone prone areas","Punjab","KAPURTHALA(DEPUTY COMMISSIONER KAPURTHALA_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","Regarding motor boat for water rescue and safety in emergency situation in flood affected village.","02-Sep-2025","19-Sep-2025","600000","Work Completed"
"107","Normal/Others","WS/MP140/2025-2026/230924-Purchase of motor boats for flood and cyclone prone areas","Punjab","KAPURTHALA(DEPUTY COMMISSIONER KAPURTHALA_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","Regarding motor boat for water rescue and safety in emergency situation in flood affected village.","02-Sep-2025","03-Sep-2025","600000","Physical Inspection"
"108","Normal/Others","WS/MP141/2025-2026/231828-Purchase of motor boats for flood and cyclone prone areas","Punjab","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","for rescue motor boats in emegency","06-Sep-2025","29-Sep-2025","577500","Vendor Identification"
"109","Normal/Others","WS/MP141/2025-2026/231829-Purchase of motor boats for flood and cyclone prone areas","Punjab","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","for rescue motor boats in emegency","06-Sep-2025","16-Sep-2025","577500","Vendor Identification"
"110","Normal/Others","WS/MP140/2025-2026/231943-Purchase of motor boats for flood and cyclone prone areas","Punjab","KAPURTHALA(DEPUTY COMMISSIONER KAPURTHALA_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","Regarding motor boat for water rescue and safety in emergency situation in flood affected village.","07-Sep-2025","04-Nov-2025","550000","Physical Inspection"
"111","Normal/Others","WS/MP844/2025-2026/233586-Purchase of motor boats for flood and cyclone prone areas","Punjab","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Dr. Vikramjit Singh Sahney (2022-28) (2022-2028)","Elected MP","Grant of rupees 1 crore for the procurement of 3 JCB machines for desilting sand deposited on agricultural lands and other affected areas in flood hit villages and for the purchase of 1 commercial anti mosquito fogging machine to prevent the spread of mosquito borne and other vector borne diseases.","13-Sep-2025","20-Sep-2025","9908000","Physical Inspection"
"112","Normal/Others","WS/MP844/2025-2026/237919-Purchase of motor boats for flood and cyclone prone areas","Punjab","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","Dr. Vikramjit Singh Sahney (2022-28) (2022-2028)","Elected MP","MPLAD Grant of rupees 78,78,000 for Procurement of 2 JCBs for Desilting of the sand accumulated due to Floods","25-Sep-2025","16-Oct-2025","6884000","Physical Inspection"
"113","Normal/Others","WS/MP140/2023-2024/124381-Construction of bus-sheds or bus-stops","Punjab","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","Regarding repairing the broken floor (flooring) of the bus stand. village Jandiala. Block Rurkan Kalan.","10-Mar-2024","15-Mar-2024","300000","Work partially Completed"
"114","Normal/Others","WS/MP235/2025-2026/268745-Construction of bus-sheds or bus-stops","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","Const. of Bus Stand at Village Malhe Wala","16-Feb-2026","02-Mar-2026","300000","Physical Inspection"
"115","Normal/Others","WS/MP235/2025-2026/268748-Construction of bus-sheds or bus-stops","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","Const. of Bus Stand at Village Markhai","16-Feb-2026","02-Mar-2026","300000","Physical Inspection"
"116","Normal/Others","WS/MP235/2026-2027/277163-Construction of bus-sheds or bus-stops","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","Const. of Bus Stand at Village Jhok Nodh Singh","01-Apr-2026","09-Apr-2026","500000","Work partially Completed"
"117","Normal/Others","WS/MP235/2026-2027/277164-Construction of bus-sheds or bus-stops","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","Const. of Bus Stand at Village Hamad","01-Apr-2026","09-Apr-2026","500000","Work partially Completed"
