"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"1576","Punjab","Setting up of kitchen and pantries","WS/MP235/2025-2026/263623","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","11-Feb-2026","GPS Karma","Payment Success","270000"
"1577","Punjab","Setting up of kitchen and pantries","WS/MP235/2025-2026/263624","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","13-Feb-2026","SMC GPS Mohan Ke Hithar","Payment Success","270000"
"1578","Punjab","Setting up of kitchen and pantries","WS/MP235/2025-2026/263625","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","11-Feb-2026","GPS Betu Kadim","Payment Success","270000"
"1579","Punjab","Installing tube-wells and borewells","WS/MP235/2025-2026/263626","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","11-Feb-2026","GPS Dhandia","Payment Success","182600"
"1580","Punjab","Construction of rooms and halls in school and colleges","WS/MP235/2025-2026/263627","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","11-Feb-2026","GPS Dhandia","Payment Success","48000"
"1581","Punjab","Installing community drinking water plants","WS/MP235/2025-2026/263628","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","11-Feb-2026","GSSS Mallawala","Payment Success","152000"
"1582","Punjab","Setting up of kitchen and pantries","WS/MP235/2025-2026/263629","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","11-Feb-2026","GPS Morh Kussu Wala","Payment Success","270000"
"1583","Punjab","Purchase of furniture and fixtures for educational purposes","WS/MP235/2025-2026/267402","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","24-Feb-2026","Shaheed Bhagat Singh Vikas ED Society","Payment Success","400000"
"1584","Punjab","Installing community drinking water plants","WS/MP235/2025-2026/267403","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","24-Feb-2026","Shaheed Bhagat Singh Vikas ED Society","Payment Success","250000"
"1585","Punjab","Construction of toilet blocks","WS/MP235/2025-2026/267404","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","18-Mar-2026","Billa Contractor","Payment Success","51900"
