"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"17","Normal/Others","WS/MP053/2025-2026/272329-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Khiru Mahto (2022-28) (2022-2028)","Elected MP","Construction of PCC road from the house of upendra Ram towards the house of Shankar Singh in ward no. 15","05-Mar-2026","1495800","20-Mar-2026"
"18","Normal/Others","WS/MP053/2025-2026/272330-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Khiru Mahto (2022-28) (2022-2028)","Elected MP","Construction of PCC road from visar plant towards the house of Sudhir Kumar in ward no. 05","05-Mar-2026","997578","20-Mar-2026"
"19","Normal/Others","WS/MP053/2025-2026/272331-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Khiru Mahto (2022-28) (2022-2028)","Elected MP","Construction of PCC road from the house of Sudhir kumar towards the house of Mukesh Kumar","05-Mar-2026","1495322","20-Mar-2026"
"20","Normal/Others","WS/MP053/2025-2026/272332-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Khiru Mahto (2022-28) (2022-2028)","Elected MP","Construction of PCC road from the house of Mukesh jee towards the boundary of Dhirendra Kumar","05-Mar-2026","999238","20-Mar-2026"
"21","Normal/Others","WS/MP053/2026-2027/275275-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Khiru Mahto (2022-28) (2022-2028)","Elected MP","Construction of PCC road from Buddhadev Chak main road to the house of Ranjeet Kumar","21-Mar-2026","1496000","10-Apr-2026"
"22","Normal/Others","WS/MP053/2026-2027/275276-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Khiru Mahto (2022-28) (2022-2028)","Elected MP","Construction of Pcc road from the house of Dhirendra Kumar to the Buddhadev Chak in ward no. 05","21-Mar-2026","1000000","10-Apr-2026"
"23","Normal/Others","WS/MP053/2026-2027/275277-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Khiru Mahto (2022-28) (2022-2028)","Elected MP","Construction of PCC Road from the patna university Boys hostel towards patna College Gate","21-Mar-2026","1495000","10-Apr-2026"
"24","Normal/Others","WS/MP053/2026-2027/275279-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Khiru Mahto (2022-28) (2022-2028)","Elected MP","Construction of PCC road from patna science college gate towards patna university police post block","21-Mar-2026","1496000","10-Apr-2026"
"25","Normal/Others","WS/MP053/2026-2027/275281-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Khiru Mahto (2022-28) (2022-2028)","Elected MP","Construction of PCC road from police post Patna university gate towards SESQUICENTENNIAL gate","21-Mar-2026","1495000","10-Apr-2026"
"26","Normal/Others","WS/MP053/2026-2027/275362-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Khiru Mahto (2022-28) (2022-2028)","Elected MP","Construction of PCC Road from Patna College SESQUICENTENNIAL gate towards backside of Faraday Hostel","23-Mar-2026","1498000","10-Apr-2026"
"27","Normal/Others","WS/MP053/2026-2027/275363-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Khiru Mahto (2022-28) (2022-2028)","Elected MP","Construction of PCC Road from Patna University Gate to the backside of Faraday Hostel","23-Mar-2026","1496000","10-Apr-2026"
"28","Normal/Others","WS/MP053/2025-2026/191075-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Khiru Mahto (2022-28) (2022-2028)","Elected MP","Construction of PCC road with drainage system from the house of Birju jee to  Triveni Nivas in Buddhjivi colony.","13-Apr-2025","1482800","16-May-2025"
