"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"22","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP053/2023-2024/118863","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Khiru Mahto (2022-28) (2022-2028)","Elected MP","11-May-2024","ASSISTANT ENGINEER PATNA SAHIB","Payment Success","1433500"
"23","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP053/2023-2024/120073","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Khiru Mahto (2022-28) (2022-2028)","Elected MP","20-Apr-2024","VEDIKA SINGH","Payment Success","1493591"
"24","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP053/2023-2024/120074","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Khiru Mahto (2022-28) (2022-2028)","Elected MP","20-Apr-2024","VEDIKA SINGH","Payment Success","1494463"
"25","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP053/2023-2024/120075","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Khiru Mahto (2022-28) (2022-2028)","Elected MP","09-May-2024","VEDIKA SINGH","Payment Success","1491901"
"26","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP053/2023-2024/120076","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Khiru Mahto (2022-28) (2022-2028)","Elected MP","03-Jul-2024","VAIBHAV VATSHALYA","Payment Success","1479000"
"27","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP053/2023-2024/120096","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Khiru Mahto (2022-28) (2022-2028)","Elected MP","06-May-2024","ASSISTANT ENGINEER BANKIPUR","Payment Success","1286742"
"28","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP053/2023-2024/120097","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Khiru Mahto (2022-28) (2022-2028)","Elected MP","06-May-2024","ASSISTANT ENGINEER BANKIPUR","Payment Success","1287500"
"29","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP053/2023-2024/120098","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Khiru Mahto (2022-28) (2022-2028)","Elected MP","06-May-2024","ASSISTANT ENGINEER BANKIPUR","Payment Success","1288341"
"30","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP053/2023-2024/120099","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Khiru Mahto (2022-28) (2022-2028)","Elected MP","06-May-2024","ASSISTANT ENGINEER BANKIPUR","Payment Success","1287273"
"31","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP053/2024-2025/146925","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Khiru Mahto (2022-28) (2022-2028)","Elected MP","28-Jan-2025","ASSISTANT ENGINEER PATNA SAHIB","Payment Success","1387358"
"32","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP053/2024-2025/146926","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Khiru Mahto (2022-28) (2022-2028)","Elected MP","28-Jan-2025","ASSISTANT ENGINEER PATNA SAHIB","Payment Success","1455867"
"33","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP053/2024-2025/146927","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Khiru Mahto (2022-28) (2022-2028)","Elected MP","28-Jan-2025","ASSISTANT ENGINEER PATNA SAHIB","Payment Success","1453347"
"34","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP053/2024-2025/146928","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Khiru Mahto (2022-28) (2022-2028)","Elected MP","28-Jan-2025","ASSISTANT ENGINEER PATNA SAHIB","Payment Success","1454459"
"35","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP053/2024-2025/146929","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Khiru Mahto (2022-28) (2022-2028)","Elected MP","28-Jan-2025","ASSISTANT ENGINEER PATNA SAHIB","Payment Success","1464352"
"36","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP053/2024-2025/146930","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Khiru Mahto (2022-28) (2022-2028)","Elected MP","28-Jan-2025","ASSISTANT ENGINEER PATNA SAHIB","Payment Success","969582"
