"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"214","Uttarakhand","Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","WS/MP850/2023-2024/100865","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","09-May-2025","Manju Choudhary","Payment Success","605500"
"215","Uttarakhand","Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","WS/MP850/2023-2024/100866","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","16-Aug-2024","Manju Choudhary","Payment Success","278921"
"216","Uttarakhand","Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","WS/MP850/2023-2024/100866","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","09-May-2025","Manju Choudhary","Payment Success","712031"
"217","Uttarakhand","Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","WS/MP850/2023-2024/100867","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","17-Aug-2024","Arsad","Payment Success","297384"
"218","Uttarakhand","Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","WS/MP850/2023-2024/100867","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","27-Apr-2026","Arsad","Payment Success","695409"
"219","Uttarakhand","Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","WS/MP850/2023-2024/100868","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","17-Aug-2024","Manju Choudhary","Payment Success","385305"
"220","Uttarakhand","Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","WS/MP850/2023-2024/100868","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","09-May-2025","Manju Choudhary","Payment Success","560109"
"221","Uttarakhand","Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","WS/MP850/2023-2024/100869","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","17-Aug-2024","Gourav Kumar","Payment Success","359627"
"222","Uttarakhand","Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","WS/MP850/2023-2024/100869","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","09-May-2025","Gourav Kumar","Payment Success","625601"
"223","Uttarakhand","Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","WS/MP850/2024-2025/103004","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","14-Jan-2025","SS ENTERPRISES","Payment Success","750000"
"224","Uttarakhand","Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","WS/MP850/2024-2025/103004","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","16-Mar-2026","SS ENTERPRISES","Payment Success","244144"
"225","Uttarakhand","Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","WS/MP850/2024-2025/103005","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","06-Jul-2025","VASIM CONTRACTOR","Payment Success","750000"
"226","Uttarakhand","Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","WS/MP850/2024-2025/103005","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","20-Jun-2026","Vaseem contractor","Payment Success","240663"
"227","Uttarakhand","Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","WS/MP850/2024-2025/103006","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","14-Jan-2025","SS ENTERPRISES","Payment Success","750000"
"228","Uttarakhand","Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","WS/MP850/2024-2025/103006","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","23-May-2026","SS ENTERPRISES","Payment Success","243238"
"229","Uttarakhand","Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","WS/MP850/2024-2025/103007","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","14-Jan-2025","MM CONTRACTORE","Payment Success","750000"
"230","Uttarakhand","Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","WS/MP850/2024-2025/103009","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","14-Jan-2025","MM CONTRACTORE","Payment Success","750000"
"231","Uttarakhand","Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","WS/MP850/2024-2025/103010","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","14-Jan-2025","RAJEEV KUMAR","Payment Success","708061"
"232","Uttarakhand","Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","WS/MP850/2024-2025/103010","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","16-Mar-2026","RAJEEV KUMAR","Payment Success","269210"
"233","Uttarakhand","Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","WS/MP850/2024-2025/103011","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","14-Jan-2025","RAJEEV KUMAR","Payment Success","750000"
"234","Uttarakhand","Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","WS/MP850/2024-2025/103011","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","16-Mar-2026","RAJEEV KUMAR","Payment Success","243514"
"235","Uttarakhand","Construction of boundary walls of existing public and community buildings","WS/MP850/2024-2025/105493","DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","16-Dec-2024","SANDEEP SINGH","Payment Success","998060"
"236","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP850/2023-2024/105494","DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","25-Nov-2024","AJAY KUMAR","Payment Success","298941"
"237","Uttarakhand","Construction of toilet blocks","WS/MP850/2024-2025/105500","DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","18-Oct-2025","CHANDRA MOHAN KOTHIYAL","Payment Success","299816"
"238","Uttarakhand","Purchase of furniture and fixtures for educational purposes","WS/MP850/2024-2025/106441","DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","02-May-2025","MUHMMAD NOMAAN","Payment Success","720000"
"239","Uttarakhand","Purchase of furniture and fixtures for educational purposes","WS/MP850/2024-2025/106442","DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","07-Jul-2025","MOHAMMAD ISRAR","Payment Success","720000"
"240","Uttarakhand","Construction of buildings for community cultural activities","WS/MP850/2023-2024/107468","CHAMPAWAT(DISTRICT MAGISTRATE CHAMPAWAT_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","14-Aug-2024","KHAND VIKASH ADHIKARI","Payment Success","14215"
"241","Uttarakhand","Construction of buildings for community cultural activities","WS/MP850/2023-2024/107468","CHAMPAWAT(DISTRICT MAGISTRATE CHAMPAWAT_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","14-Aug-2024","prashant kumar bisht","Payment Success","235716"
