"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"16","Normal/Others","WS/MP204/2026-2027/296993-Fitting of Sitting RCC Benches in Public Places","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","Arrangement of seven benches for seating at the Maharaja Shoorsen Ghat (canal bank) in Roorkee.","19-Jul-2026","70000","04-Aug-2026"
"17","Normal/Others","WS/MP204/2025-2026/176568-Setting up public non-conventional energy plants","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","Setting up a Solar Power Plant in Press Club Haridwar","27-Feb-2025","1000000","08-Apr-2025"
"18","Normal/Others","WS/MP850/2025-2026/252631-Construction of buildings for multi-gym","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","police line ward no13 nagar palika shiwalik nagar mein  gym ka nirman.ia(karyadai sanstatha )-nagar panchayat imlikhera","07-Dec-2025","2495000","17-Mar-2026"
"19","Normal/Others","WS/MP204/2023-2024/84764-Lighting of public spaces","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","16 Meter High Mast with 8 Led Light in Village Dallawala","19-Jan-2024","2441090","05-Mar-2024"
"20","Normal/Others","WS/MP204/2025-2026/204151-Lighting of public spaces","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","One high mast light (16 Meter High Mast with 8 LED Light) at Ramlila Ground in Village Toda Kalyanpur, Block Roorkee","27-May-2025","670000","19-Aug-2025"
"21","Normal/Others","WS/MP204/2026-2027/254639-Lighting of public spaces","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","Installation of a High Mast Light (16 Meter High Mast with 8 LED Light) at the main intersection in Gram Panchayat Binarasi Urf Bulet, Post chudiyala, Block Bhagwanpur, District Haridwar","19-Dec-2025","670000","27-Aug-2026"
"22","Normal/Others","WS/MP850/2024-2025/121330-Improvement of electricity distribution infrastructure","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","GRAM SIKRAUDHA MEIN 11 KV LINE KO STHANTARAN KA KARYA.. IA( KARYADAI SANSTATHA ) - UTTARAKHAND POWER CORPORATION LTD,ELECTRICITY DISTRIBUTION DIVISION ,BHAGWANPUR","05-Mar-2024","261841","26-Jul-2024"
"23","Normal/Others","WS/MP204/2025-2026/186818-Improvement of electricity distribution infrastructure","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","For installing Solar Plant in Prachin Avdhoot Ashram, Post Gurukul Kangri, Jwalapur, Haridwar","26-Mar-2025","2500000","08-May-2025"
"24","Normal/Others","NA-Improvement of electricity distribution infrastructure","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","gali number 4,safipur, subashnagar mein gharo ke uper se high voltage line ko sthannatrit karne ke ka karya.ia karyadia sanstatha -electricity distribution division ramnagar","21-May-2025","67472","NA"
"25","Normal/Others","WS/MP850/2025-2026/252630-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","shri krishnayan deshi gaushala evam golok dham seva samiti ki shakha peeli padav ke park mein cc karya evam kund nirman karya. ia (karyadai sanstatha _-nagar panchayat imli khera","07-Dec-2025","1020000","17-Mar-2026"
"26","Normal/Others","NA- Providing sports equipment, except consumable items","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","Purchase Wrestling Mats for  practice of players in Village Libbarhedi, block Narsan, District Haridwar","03-Jan-2026","500000","NA"
"27","Normal/Others","WS/MP850/2023-2024/98224-Development of public parks","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","GRAM - SIKANDERPUR                              BHAINSWAL MEIN DR. BHEEMRAO AMEDKAR PARK MEIN INTERLOCKING TILES  NIRMAN .. IA(KARYADAI SANSTATHA)- NAGAR PANCHAYAT PADALI GUJJAR","06-Feb-2024","401716","08-Mar-2024"
"28","Normal/Others","WS/MP850/2023-2024/100850-Development of public parks","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","AZADNAGAR WARD NO-9 KE GANGA VIHAR COLONY MEIN IP INTER COLLEGE KE SAMNE PARK KA SONDARYEKARAN ... IA(KARYADAI SANSTATHA )- NAGAR PANCHAYAT SULTANPUR","08-Feb-2024","594000","27-Feb-2024"
"29","Normal/Others","WS/MP850/2026-2027/296391-Development of public parks","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","gram akbarpur jhojha ke majre bharatpur ke anusuchit basti mein ambedkar park ka vikas/saundryakaran.ia(karyadai sastatha)-block bhagwanpur","19-Jul-2026","674000","14-Aug-2026"
"30","Normal/Others","WS/MP850/2026-2027/296376-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","ward 23 salempur rajputana mein mein road se shivansh garden tak interlocking tiles sadak nirman karya.ia(karyadai sanstatha)-block bhagwanpur","19-Jul-2026","853000","14-Aug-2026"
"31","Normal/Others","WS/MP850/2026-2027/296377-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","gram jhabiran mein ankur ke makan se arvind ke makan ki aur interlocking tiles sadak nirman karya.ia(karyadai sanstatha)-block bhagwanpur","19-Jul-2026","920000","14-Aug-2026"
"32","Normal/Others","WS/MP850/2026-2027/296381-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","gram behedeki saidabad mein shri kanihya ji mandir ke samne main road se rinku tyagi ki aur hote hue meher chand ke makan ki aur interlocking tiles sadak niramn karya.ia(karyadai sanstatha)-block bhagwanpur","19-Jul-2026","1420000","14-Aug-2026"
"33","Normal/Others","WS/MP850/2026-2027/296385-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","sansad adarsh gram ibrahimpur masih ke anusuchit basti mein main road se sumit ke ghar ki aur interlocking tiles sadak nirman karya.ia(karyadai sanstatha)-block bhagwanpur","19-Jul-2026","224000","14-Aug-2026"
"34","Normal/Others","WS/MP850/2026-2027/296387-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","sansad adarsh gram ibrahimpur masih mein main road se satpal ke makan ki aur interlocking tiles sadak nirman karya.ia(karyadai sanstatha)-block bhagwanpur","19-Jul-2026","793000","14-Aug-2026"
"35","Normal/Others","WS/MP850/2026-2027/296388-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","sansad adarsh gram ibrahimpur masih ke anusuchit basti mein main road se rajkumar ke ghar ki aur interlocking tiles sadak nirman karya.ia(karyadai sanstatha)-block bhagwanpur","19-Jul-2026","383000","14-Aug-2026"
"36","Normal/Others","WS/MP850/2026-2027/296390-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","gram majahidpur satiwala khalsa main road se chotelal ke ghar ki aur interlocking tiles sadak nirman karya.ia(karyadai sanstatha)-block bhagwanpur","19-Jul-2026","1240000","14-Aug-2026"
"37","Normal/Others","WS/MP850/2026-2027/298625-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","shivpuram ward 19 ke gali no.-03 mein mian road se vinod ke makan ke tak interlocking tiles sadak nirman karya.ia(karyadai sanstatha)-block bhagwanpur","25-Jul-2026","195000","14-Aug-2026"
