"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Elected/Nominated","Image","Completion Date","Amount Disbursed ( ₹ )"
"1729","Normal/Others","WS/MP198/2023-2024/12657-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","GRAM AARAJI CHART URF TANDOLA BLOCK MARORI ME SHRI OMKAR S/O RAMU KE GHAR KE PASS SEMI HIGH MAST LIGHT (06 LIGHTO WALI) KARYDAYI SANSTHA PCCD BAREILLY","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","28-Feb-2024","283000"
"1730","Normal/Others","WS/MP198/2023-2024/7885-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","GRAM GHUGHORA BLOCK BISALPUR ME MUNNA LAL KASHYAP S/O SHRI RAM BHAROSE DWARA SEMI HIGH MAST LIGHT","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","27-Feb-2024","283000"
"1731","Normal/Others","WS/MP198/2023-2024/7901-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","GRAM NOGAWA PAKADIYA BLOCK LALAURIKHERA ME SHIR CHANDRESHWAR PRATAP SINGH DWARA SEMI HIGH MAST LIGHT????? ?????","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","27-Feb-2024","283000"
"1732","Normal/Others","WS/MP198/2023-2024/3553-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","???????? ????? ?? ???","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","28-Feb-2024","283000"
"1733","Normal/Others","WS/MP198/2023-2024/3552-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","???????? ????? ?? ???","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","28-Feb-2024","283000"
"1734","Normal/Others","WS/MP198/2023-2024/3555-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","????????? ????? ?? ??????","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","28-Feb-2024","283000"
"1735","Normal/Others","WS/MP198/2023-2024/3554-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","???? ??? ???? ?? ??????","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","28-Feb-2024","283000"
"1736","Normal/Others","WS/MP198/2023-2024/3557-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","???????? ?? ?????? ???????? ????? ?? ???","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","28-Feb-2024","283000"
"1737","Normal/Others","WS/MP198/2023-2024/3556-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","??????? ?? ?????? ???????? ????? ?? ???","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","28-Feb-2024","283000"
"1738","Normal/Others","WS/MP198/2023-2024/3560-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","?????? ???? ?? ?????? ???????? ????? ?? ???","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","28-Feb-2024","283000"
