"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"755","Normal/Others","WS/MP18304/2025-2026/196134-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of Pucca Path Bhamrota in GP Chilbangla","02-May-2025","150000","30-May-2025"
"756","Normal/Others","WS/MP18304/2025-2026/196135-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of Pucca Path Village Khaniyaru","02-May-2025","150000","30-May-2025"
"757","Normal/Others","WS/MP18304/2025-2026/196152-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of Pucca Path at Dera to Dalei","02-May-2025","150000","19-Jul-2025"
"758","Normal/Others","WS/MP18304/2025-2026/196154-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of Pucca path at Village Ghasiti","02-May-2025","150000","04-Oct-2025"
"759","Normal/Others","WS/MP18304/2025-2026/196156-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of Pucca Path at GPS Bhalka to Upper Bhalka","02-May-2025","100000","20-Sep-2025"
"760","Repair and Renovation","WS/MP18304/2025-2026/196168-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of Repair Path from main road to kasse mata mandir","02-May-2025","150000","27-Oct-2025"
"761","Normal/Others","WS/MP18304/2025-2026/196248-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of Pucca path at Notod Gp kiri","03-May-2025","200000","18-Jul-2025"
"762","Normal/Others","WS/MP18304/2025-2026/196439-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of Pucca Path at Pravin Kumar to home Dummnu Ram","03-May-2025","200000","14-Jul-2025"
"763","Normal/Others","WS/MP18304/2025-2026/202962-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Paver path with concrete Galu and village Parel","24-May-2025","200000","14-Jul-2025"
"764","Normal/Others","WS/MP18304/2025-2026/202963-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Ambulance road Rinda nala to Hoda upper Rinda GP Rinda","24-May-2025","200000","16-Sep-2025"
"765","Normal/Others","WS/MP18304/2025-2026/202967-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Interlocking tile Ambulance Road Guradi to Khei","24-May-2025","200000","07-Jul-2025"
"766","Normal/Others","NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Paver Path Dharam Chand House to Bus Stop GP Udaipur","24-May-2025","200000","NA"
"767","Normal/Others","WS/MP18304/2025-2026/202970-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Ambulance road Ukhal Mohalla GP Mangla","24-May-2025","200000","04-Oct-2025"
"768","Normal/Others","WS/MP18304/2025-2026/202972-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of pucca jeep road chilbangla to Kota","24-May-2025","200000","13-Jun-2025"
"769","Normal/Others","WS/MP18304/2025-2026/202974-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of pucca jeep road Sukrei to dhar thopla","24-May-2025","200000","13-Jun-2025"
"770","Normal/Others","WS/MP18304/2025-2026/202975-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of Ambulance Road from Lilli to Muriyara","24-May-2025","300000","19-Jun-2025"
"771","Normal/Others","WS/MP18304/2025-2026/202997-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of link road pukhari to bhaloli","24-May-2025","300000","18-Jul-2025"
