"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"130","Himachal Pradesh","Installing hand pumps","WS/MP078/2025-2026/133090","SOLAN(DEPUTY COMMISSIONER SOLAN_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","25-Nov-2025","Block Development Officer Nalagarh MP LADS Rajya Sabha","Payment Success","300000"
"131","Himachal Pradesh","Construction of additional rooms and halls in the existing public and community building","WS/MP078/2024-2025/140504","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","06-Jan-2025","GP Kharat Khass","Payment Success","500000"
"132","Himachal Pradesh","Construction of additional rooms and halls in the existing public and community building","WS/MP078/2024-2025/140504","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","03-Feb-2025","GP Kharat Khass","Payment Success","300000"
"133","Himachal Pradesh","Construction of additional rooms and halls in the existing public and community building","WS/MP078/2024-2025/140504","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","07-Mar-2025","GP Kharat Khass","Payment Success","100000"
"134","Himachal Pradesh","Construction of additional rooms and halls in the existing public and community building","WS/MP078/2024-2025/140504","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","24-Oct-2025","GP Kharat Khass","Payment Success","98870"
"135","Himachal Pradesh","Construction of shelters for animals","WS/MP078/2024-2025/140508","MANDI(DEPUTY COMMISSIONER MANDI_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","10-Mar-2025","GAO SADAN SEWA SAMITI","Payment Success","200000"
"136","Himachal Pradesh","Construction of shelters for animals","WS/MP078/2024-2025/140508","MANDI(DEPUTY COMMISSIONER MANDI_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","23-Jun-2025","GAO SADAN SEWA SAMITI","Payment Success","300000"
"137","Himachal Pradesh","Purchase of books for public libraries/ digitization of library books","WS/MP078/2024-2025/140520","SIRMAUR(DEPUTY COMMISSIONER SIRMOUR_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","13-Nov-2024","RIYA ENTERPRISES","Payment Success","899934.21"
"138","Himachal Pradesh","Purchase of books for public libraries/ digitization of library books","WS/MP078/2024-2025/140575","SOLAN(DEPUTY COMMISSIONER SOLAN_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","03-Mar-2025","STRAIGHT FORWARD PUBLISHERS PRIVATE LIMITED","Payment Success","899934.21"
"139","Himachal Pradesh","Purchase of books for public libraries/ digitization of library books","WS/MP078/2024-2025/140576","SOLAN(DEPUTY COMMISSIONER SOLAN_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","01-Apr-2025","Dy Director elementary education","Payment Success","2000000"
"140","Himachal Pradesh","Purchase of books for public libraries/ digitization of library books","WS/MP078/2024-2025/140577","SIRMAUR(DEPUTY COMMISSIONER SIRMOUR_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","31-Jan-2025","JAHNAVI PRAKASHAN","Payment Success","2000000"
"141","Himachal Pradesh","Purchase of books for public libraries/ digitization of library books","WS/MP078/2024-2025/140581","KINNAUR(DEPUTY COMMISSIONER KINNAUR_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","30-May-2025","STRAIGHT FORWARD PUBLISHERS PRIVATE LIMITED","Payment Success","1999853"
"142","Himachal Pradesh","Purchase of books for public libraries/ digitization of library books","WS/MP078/2024-2025/140656","Lahaul And Spiti(DEPUTY COMMISSIONER L and S_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","29-Oct-2024","STRAIGHT FORWARD PUBLISHERS PRIVATE LIMITED","Payment Success","1799868.42"
"143","Himachal Pradesh","Construction of public toilets and bathrooms","WS/MP078/2025-2026/140664","SOLAN(DEPUTY COMMISSIONER SOLAN_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","02-Dec-2025","Block Development Officer Solan","Payment Success","100000"
"144","Himachal Pradesh","Installing hand pumps","WS/MP078/2024-2025/142549","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","18-Sep-2025","MS Shiv Driller and Allied Traders","Payment Success","167750"
"145","Himachal Pradesh","Installing hand pumps","WS/MP078/2024-2025/142549","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","03-Oct-2025","Executive Engineer JS Div Hamirpur","Payment Success","3700"
"146","Himachal Pradesh","Installing hand pumps","WS/MP078/2024-2025/142549","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","13-Mar-2026","SUMIT KUMAR","Payment Success","89750"
"147","Himachal Pradesh","Purchase of furniture and fixtures for educational purposes","WS/MP078/2024-2025/143803","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","22-Jan-2025","BDO MASHOBRA RAJYA SABHA","Payment Success","300000"
"148","Himachal Pradesh","Purchase of IT systems, including hardware and software for educational purposes","WS/MP078/2024-2025/143804","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","22-Jan-2025","BDO MASHOBRA RAJYA SABHA","Payment Success","200000"
"149","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP078/2025-2026/145564","SOLAN(DEPUTY COMMISSIONER SOLAN_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","15-Nov-2025","BDO KANDAGHAT","Payment Success","100000"
"150","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP078/2025-2026/145565","SOLAN(DEPUTY COMMISSIONER SOLAN_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","31-Dec-2025","BDO KANDAGHAT","Payment Success","100000"
"151","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP078/2025-2026/145830","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","02-Apr-2026","BDO MASHOBRA RAJYA SABHA","Payment Success","300000"
"152","Himachal Pradesh","Installing hand pumps","WS/MP078/2024-2025/145831","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","14-Feb-2025","GP Cheog","Payment Success","300000"
"153","Himachal Pradesh","Street lights","WS/MP078/2024-2025/146804","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","05-Dec-2024","PO HIMURJA Hamirpur","Payment Success","82875"
"154","Himachal Pradesh","Installing hand pumps","WS/MP078/2024-2025/146820","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","01-Dec-2025","Parveen Kumar Pajiala","Payment Success","173524"
"155","Himachal Pradesh","Installing hand pumps","WS/MP078/2024-2025/146820","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","23-Feb-2026","Smt Ritu Kumari MS Sandeep Engg Works","Payment Success","93435"
"156","Himachal Pradesh","Street lights","WS/MP078/2024-2025/146822","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","05-Dec-2024","PO HIMURJA Hamirpur","Payment Success","33150"
"157","Himachal Pradesh","Purchase of furniture and fixtures for educational purposes","WS/MP078/2025-2026/147101","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","23-Jul-2025","Sports and Style Emporium","Payment Success","200000"
"158","Himachal Pradesh","Street lights","WS/MP078/2024-2025/147107","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","14-Feb-2025","PROJECT OFFICER HIMURJA KANGRA AT DHARAMSHALA","Payment Success","33150"
"159","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP078/2024-2025/147108","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","05-Feb-2025","BDO DHARAMSHALA MPLADS","Payment Success","250000"
