"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Elected/Nominated","Image","Completion Date","Amount Disbursed ( ₹ )"
"16","Normal/Others","WS/MP18382/2025-2026/200747-Development of public parks","West Bengal","Purba Medinipur(DISTRICT MAGISTRATE PURBA MEDINIPUR_IDA)","Installation of integrated solar street lights 16 nos","Smt. Mamata Thakur (2024-30) (NaN-NaN)","Elected MP","Images","23-Jul-2025","544197"
"17","Normal/Others","WS/MP18382/2025-2026/200746-Development of public parks","West Bengal","Purba Medinipur(DISTRICT MAGISTRATE PURBA MEDINIPUR_IDA)","Installation of integrated solar street lights 16 nos.","Smt. Mamata Thakur (2024-30) (NaN-NaN)","Elected MP","Images","01-Aug-2025","544197"
"18","Normal/Others","WS/MP18382/2025-2026/200745-Development of public parks","West Bengal","Purba Medinipur(DISTRICT MAGISTRATE PURBA MEDINIPUR_IDA)","Installation of integrated solar street lights 16 nos.","Smt. Mamata Thakur (2024-30) (NaN-NaN)","Elected MP","Images","01-Aug-2025","544197"
"19","Normal/Others","WS/MP18382/2025-2026/200582-Development of public parks","West Bengal","North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA)","Installation of solar high mast light 01 nos.","Smt. Mamata Thakur (2024-30) (NaN-NaN)","Elected MP","Images","24-Mar-2026","377649"
"20","Normal/Others","WS/MP18382/2025-2026/200583-Development of public parks","West Bengal","North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA)","Installation of solar high mast light 01 nos","Smt. Mamata Thakur (2024-30) (NaN-NaN)","Elected MP","Images","24-Mar-2026","377649"
"21","Normal/Others","WS/MP18382/2025-2026/200584-Development of public parks","West Bengal","North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA)","Installation of solar High mast light 01 nos","Smt. Mamata Thakur (2024-30) (NaN-NaN)","Elected MP","Images","24-Mar-2026","377649"
"22","Normal/Others","WS/MP18382/2025-2026/229486-Development of public parks","West Bengal","Purba Medinipur(DISTRICT MAGISTRATE PURBA MEDINIPUR_IDA)","Installation of integrated solar street lights 16 nos","Smt. Mamata Thakur (2024-30) (NaN-NaN)","Elected MP","Images","14-Nov-2025","544197"
"23","Normal/Others","WS/MP18382/2025-2026/229488-Development of public parks","West Bengal","Purba Medinipur(DISTRICT MAGISTRATE PURBA MEDINIPUR_IDA)","Installation of integrated solar street lights 16 nos","Smt. Mamata Thakur (2024-30) (NaN-NaN)","Elected MP","Images","14-Nov-2025","544197"
"24","Normal/Others","WS/MP18382/2025-2026/229487-Development of public parks","West Bengal","Purba Medinipur(DISTRICT MAGISTRATE PURBA MEDINIPUR_IDA)","Installation of integrated solar street lights 16 nos","Smt. Mamata Thakur (2024-30) (NaN-NaN)","Elected MP","Images","14-Nov-2025","544197"
"25","Normal/Others","WS/MP18382/2025-2026/229477-Development of public parks","West Bengal","HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA)","Installation of integrated solar street lights 16 nos","Smt. Mamata Thakur (2024-30) (NaN-NaN)","Elected MP","Images","18-Dec-2025","543815"
"26","Normal/Others","WS/MP18382/2025-2026/229476-Development of public parks","West Bengal","HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA)","Installation of integrated solar street lights 16 nos","Smt. Mamata Thakur (2024-30) (NaN-NaN)","Elected MP","Images","18-Dec-2025","543815"
