"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"727","Normal/Others","WS/MP840/2025-2026/244837-Construction of community centers and community halls","Andhra Pradesh","Narayanpet(DISTRICT COLLECTOR NARAYANPET_IDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","Providing flooring from room no 215 to 221 to 2nd floor of Community hall near Datta temple in panchadevupad","30-Oct-2025","17-Jan-2026","500000","Physical Inspection"
"728","Normal/Others","WS/MP840/2025-2026/244839-Construction of community centers and community halls","Andhra Pradesh","Narayanpet(DISTRICT COLLECTOR NARAYANPET_IDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","Providing windows and Ventilators including granite frames to 1st floor of community hall at Datta temple in Panchadevpad","30-Oct-2025","17-Jan-2026","500000","Physical Inspection"
"729","Normal/Others","WS/MP840/2025-2026/244844-Construction of community centers and community halls","Andhra Pradesh","Narayanpet(DISTRICT COLLECTOR NARAYANPET_IDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","Providing Doors shutters and granites frames to 1st floor of community hall near datta temple in Panchadevupad","30-Oct-2025","17-Jan-2026","500000","Physical Inspection"
"730","Normal/Others","WS/MP840/2025-2026/206212-Construction of community centers and community halls","Andhra Pradesh","Narayanpet(DISTRICT COLLECTOR NARAYANPET_IDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","Providing painting to Datta temple community hall in panchadevpad","03-Jun-2025","06-Nov-2025","1000000","Work Completed"
"731","Normal/Others","WS/MP840/2025-2026/206216-Construction of community centers and community halls","Andhra Pradesh","Narayanpet(DISTRICT COLLECTOR NARAYANPET_IDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","Providing Flooring to Datta temple community hall in panchadevpad","03-Jun-2025","06-Nov-2025","1000000","Work Completed"
"732","Normal/Others","WS/MP840/2025-2026/189897-Construction of community centers and community halls","Andhra Pradesh","EAST GODAVARI(DISTRICT COLLECTOR, EAST GODAVARI)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","Construction of Multipurpose activity centre in SC area of Gopalapuram","07-Apr-2025","21-Jul-2025","2500000","Work partially Completed"
"733","Normal/Others","WS/MP840/2025-2026/189903-Construction of community centers and community halls","Andhra Pradesh","EAST GODAVARI(DISTRICT COLLECTOR, EAST GODAVARI)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","Construction of Multipurpose Activity centre in the SC area of Prakasharaopalem","07-Apr-2025","21-Jul-2025","2500000","Sanction"
"734","Normal/Others","WS/MP840/2025-2026/164132-Construction of community centers and community halls","Andhra Pradesh","EAST GODAVARI(DISTRICT COLLECTOR, EAST GODAVARI)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","Construction Of Multi purpose Hall at Kaldhari Village,Undrajavaram Mandal East Godavari District","08-Jan-2025","19-Jul-2025","5000000","Sanction"
"735","Normal/Others","WS/MP840/2024-2025/155328-Construction of community centers and community halls","Andhra Pradesh","Narayanpet(DISTRICT COLLECTOR NARAYANPET_IDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","Construction of Community Hall 1st Floor balance work near Datta Temple at Panchadevupad(V) of Makthal(M) of Narayanpet District","27-Nov-2024","26-Dec-2024","3000000","Work Completed"
"736","Normal/Others","WS/MP840/2023-2024/87025-Construction of community centers and community halls","Andhra Pradesh","Narayanpet(DISTRICT COLLECTOR NARAYANPET_IDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","Construction of 2nd floor of Community Hall at Datta Temple in Panchadevepad village, Makthal Mandal, Narayanpet District","23-Jan-2024","15-Mar-2024","5000000","Work Completed"
