"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"310","Normal/Others","WS/MP096/2024-2025/146754-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","KOZHIKODE(DISTRICT COLLECTOR KOZHIKODE_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","Construction of Purathoottayil – Velinjiratt road /pathway, Ward No. 08, Ayancheri Panchayat","11-Oct-2024","07-Dec-2024","890000","Sanction"
"311","Normal/Others","WS/MP101/2024-2025/153062-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Shri Sandosh Kumar P (2022-28) (2022-2028)","Elected MP","kalarithode vayalil road concreting","18-Nov-2024","02-Dec-2024","767270","Physical Inspection"
"312","Normal/Others","WS/MP096/2025-2026/156139-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","Construction of Choonoor Mundathadam - Maravattom road or pathway, Ward No.11, Ponmala Panchayat","30-Nov-2024","16-Jan-2026","368228","Physical Inspection"
"313","Repair and Renovation","WS/MP102/2025-2026/156751-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","WAYANAD(DISTRICT COLLECTOR WAYANAD_IDA)","Smt. Jebi Mather Hisham (2022-28) (2022-2028)","Elected MP","Retarring of road - Vaduvanchal Valavu - Kallikeni Road","03-Dec-2024","14-Jan-2026","800000","Sanction"
"314","Repair and Renovation","WS/MP102/2024-2025/156752-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","WAYANAD(DISTRICT COLLECTOR WAYANAD_IDA)","Smt. Jebi Mather Hisham (2022-28) (2022-2028)","Elected MP","Retarring of Road - Kavummandam - Parathod Road","03-Dec-2024","20-Dec-2024","800000","Vendor Identification"
"315","Normal/Others","WS/MP18405/2026-2027/156771-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","KOZHIKODE(DISTRICT COLLECTOR KOZHIKODE_IDA)","Shri P. P. Suneer (2024-30) (2024-2030)","Elected MP","KOZHUKKALLUR PULIYATHINKAL UNNATHI  ROAD TO BHAVANA ROAD (CANAL ROAD) -SOLING AND TARING","05-Jan-2025","11-Aug-2026","4000000","Sanction"
"316","Normal/Others","WS/MP18329/2025-2026/156800-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Haris Beeran (2024-30) (2024-2030)","Elected MP","Construction of new road: Nedungad - Koonampara road","03-Dec-2024","16-Jan-2026","3654632","Physical Inspection"
"317","Normal/Others","WS/MP096/2025-2026/157060-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","Construction of Korangad payyankanam SC Colony road/pathway, Ward no. 14, Peringome Vayakkara Panchayat(SC/ST)","05-Dec-2024","16-Oct-2025","988238","Physical Inspection"
"318","Normal/Others","WS/MP096/2025-2026/157377-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","Construction of Eriam school - Kupperi - Kannakai road/pathway, Ward no.07 Kadannappally-Panappuzha Panchayat","07-Dec-2024","29-Sep-2025","887708","Physical Inspection"
"319","Normal/Others","WS/MP100/2025-2026/158019-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA)","Shri Jose K. Mani (2024-30) (2024-2030)","Elected MP","Construction of Chennakunnu – Koottunkal Kadavu Road","11-Dec-2024","10-Nov-2025","400000","Sanction"
"320","Repair and Renovation","WS/MP100/2025-2026/158023-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA)","Shri Jose K. Mani (2024-30) (2024-2030)","Elected MP","Construction of Koovalloorkunnu – Puthiyidathuparambu Road","11-Dec-2024","04-Apr-2025","400000","Physical Inspection"
"321","Repair and Renovation","WS/MP100/2025-2026/158024-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA)","Shri Jose K. Mani (2024-30) (2024-2030)","Elected MP","Construction of Kombanamukalel – Pannimattm Road","11-Dec-2024","04-Apr-2025","500000","Physical Inspection"
