"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"809","Normal/Others","WS/MP102/2026-2027/274161-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Smt. Jebi Mather Hisham (2022-28) (2022-2028)","Elected MP","Construction of Thekkumpadam - Kolar Road","13-Mar-2026","500000","07-Jul-2026"
"810","Normal/Others","NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Smt. Jebi Mather Hisham (2022-28) (2022-2028)","Elected MP","Construction of Neeruttikkal - Panachal Road","13-Mar-2026","600000","NA"
"811","Normal/Others","NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Smt. Jebi Mather Hisham (2022-28) (2022-2028)","Elected MP","Construction of Nadukkandam - Mannarakunnu Road","13-Mar-2026","600000","NA"
"812","Normal/Others","WS/MP102/2025-2026/223130-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Smt. Jebi Mather Hisham (2022-28) (2022-2028)","Elected MP","Construction of Mambrakunn SC Colony Road, Ward 6, Oothalakunnu, Thuvvur Grama Panchayath","29-Jul-2025","600000","16-Jan-2026"
"813","Normal/Others","NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Smt. Jebi Mather Hisham (2022-28) (2022-2028)","Elected MP","Construction of Kanjirappadam - Krishnankuttypadi - Herdoch Road, Wandoor Grama Panchayath","29-Jul-2025","500000","NA"
"814","Normal/Others","NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Smt. Jebi Mather Hisham (2022-28) (2022-2028)","Elected MP","Construction of Maruthankod - Smashanam Idavazhi Road, Chokkad Grama Panchayath","29-Jul-2025","500000","NA"
"815","Normal/Others","NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Smt. Jebi Mather Hisham (2022-28) (2022-2028)","Elected MP","Construction of Panikunnu - SC Nagar Nadadppatha, Karuvarakkundu Grama Panchayath","29-Jul-2025","500000","NA"
"816","Normal/Others","NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Smt. Jebi Mather Hisham (2022-28) (2022-2028)","Elected MP","Construction of Madassery - Ayyappankunnu - Pathappiriyam Road, Thiruvali Grama Panchayath","29-Jul-2025","500000","NA"
"817","Normal/Others","WS/MP102/2025-2026/223136-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Smt. Jebi Mather Hisham (2022-28) (2022-2028)","Elected MP","Construction of Thanipadam SC Nagar - Arimanal Road, Kalikavu Grama Panchayath","29-Jul-2025","500000","16-Jan-2026"
"818","Normal/Others","WS/MP096/2025-2026/220993-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","Construction of Puliyattukulam Smart road or pathway, Ward No.13, Kodur Panchayat","22-Jul-2025","333280","15-Jan-2026"
