"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Elected/Nominated","Image","Completion Date","Amount Disbursed ( ₹ )"
"11","Normal/Others","WS/MP094/2025-2026/173364-Purchase of IT systems, including hardware and software for educational purposes","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Laptop purchase for GHSS Velloor","Dr. V. Sivadasan (2021-27) (NaN-NaN)","Elected MP","Images","13-May-2026","282256"
"12","Normal/Others","WS/MP094/2025-2026/173368-Purchase of IT systems, including hardware and software for educational purposes","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Laptop Purchase for MVM KunhiVishnu Nambeesan Memorial Government Higher Secondary School Mathil","Dr. V. Sivadasan (2021-27) (NaN-NaN)","Elected MP","Images","13-May-2026","282256"
"13","Normal/Others","WS/MP094/2025-2026/173519-Purchase of IT systems, including hardware and software for educational purposes","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Laptop Purchase for GHSS Kadannappalli","Dr. V. Sivadasan (2021-27) (NaN-NaN)","Elected MP","Images","15-May-2026","282256"
"14","Normal/Others","WS/MP094/2025-2026/173520-Purchase of IT systems, including hardware and software for educational purposes","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Laptop Purchase for GHS Pacheni","Dr. V. Sivadasan (2021-27) (NaN-NaN)","Elected MP","Images","15-May-2026","282256"
"15","Normal/Others","WS/MP095/2024-2025/133331-Development of playfields and sports grounds","Kerala","THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA)","Construction of Turf in Manvila Stadium","Shri A. A. Rahim (2022-28) (NaN-NaN)","Elected MP","Images","30-Dec-2025","4865261"
"16","Normal/Others","WS/MP095/2024-2025/134587-Purchase of vans and buses for educational institutions","Kerala","THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA)","Ashadeepam Buds School,Malayinkeezhu","Shri A. A. Rahim (2022-28) (NaN-NaN)","Elected MP","Images","19-Nov-2024","1817600"
"17","Normal/Others","WS/MP095/2024-2025/134582-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA)","Road at Valumpara to Chava,Pullampara","Shri A. A. Rahim (2022-28) (NaN-NaN)","Elected MP","N/A","09-Jun-2025","1624809"
"18","Normal/Others","WS/MP095/2025-2026/180176-Purchase of vans and buses for educational institutions","Kerala","THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA)","School Bus, Buds school , Peringamala GP","Shri A. A. Rahim (2022-28) (NaN-NaN)","Elected MP","Images","14-Jul-2025","1744320"
"19","Normal/Others","WS/MP095/2025-2026/222702-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA)","parakkada- vattakaitha road, chempakaseeri ward -3,pazhayakunnumel gp","Shri A. A. Rahim (2022-28) (NaN-NaN)","Elected MP","Images","01-Aug-2025","1335850"
"20","Normal/Others","WS/MP095/2025-2026/180097-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA)","Kaithayil- Kuzhivaram Jumamajid Road, Konchira W, Vembayam G","Shri A. A. Rahim (2022-28) (NaN-NaN)","Elected MP","Images","04-Aug-2025","119037"
"21","Normal/Others","WS/MP095/2025-2026/180096-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA)","kaithayil - kokkottukonam road ,konchira w, Vembayam GP","Shri A. A. Rahim (2022-28) (NaN-NaN)","Elected MP","N/A","05-Aug-2025","418225"
"22","Normal/Others","WS/MP095/2025-2026/180095-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA)","kamukarakonam- kokkuttukonam road,kochira W, Vembayam GP","Shri A. A. Rahim (2022-28) (NaN-NaN)","Elected MP","Images","05-Aug-2025","236496"
"23","Normal/Others","WS/MP095/2025-2026/180094-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA)","rKaithayil-Kuzhivaram Road Konchira W, Vembayam GP","Shri A. A. Rahim (2022-28) (NaN-NaN)","Elected MP","N/A","05-Aug-2025","212242"
"24","Normal/Others","WS/MP095/2025-2026/180174-Construction of rooms and halls in school and colleges","Kerala","THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA)","open Auditorium, GGhss, Mithirmala, kallara gp","Shri A. A. Rahim (2022-28) (NaN-NaN)","Elected MP","Images","30-Sep-2025","2159565"
"25","Normal/Others","WS/MP095/2025-2026/243540-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","ERNAKULAM(DISTRICT COLLECTOR ERNAKULAM_IDA)","Construction of New Road   Kuttampuzha-Pinavoorkudi Anandhankudi Road ,Kuttampuzha Grama Panchayath ,Ernakulam Dist.","Shri A. A. Rahim (2022-28) (NaN-NaN)","Elected MP","N/A","29-Oct-2025","3525075"
"26","Normal/Others","WS/MP095/2024-2025/134586-Construction of buildings for crèches and anganwadies","Kerala","THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA)","Smart Anganwadi in Tottinkara ,Melemakam","Shri A. A. Rahim (2022-28) (NaN-NaN)","Elected MP","Images","14-Nov-2025","1269633"
"27","Trust and Society","WS/MP095/2025-2026/257967-Construction of public libraries and reading rooms","Kerala","THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA)","Construction of building Aksharam Library,Pattamkallu,Nedumangadu Municipality ,TVPM","Shri A. A. Rahim (2022-28) (NaN-NaN)","Elected MP","Images","13-Jan-2026","1821116"
"28","Normal/Others","WS/MP095/2025-2026/222701-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA)","Mahadeveshvaram - aayiravalli road, pappala ward -16, pazhayakunnummel GP","Shri A. A. Rahim (2022-28) (NaN-NaN)","Elected MP","Images","16-Feb-2026","1279328"
"29","Normal/Others","WS/MP095/2025-2026/180173-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA)","Road in puthenkonam Colony  Thalayil W Manikkal GP","Shri A. A. Rahim (2022-28) (NaN-NaN)","Elected MP","Images","04-Mar-2026","2339512"
"30","Normal/Others","WS/MP095/2025-2026/180177-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA)","road njaraneeli- Meeaconam Peringamal GP","Shri A. A. Rahim (2022-28) (NaN-NaN)","Elected MP","Images","14-May-2026","1626438"
"31","Normal/Others","WS/MP095/2025-2026/261145-Lighting of public spaces","Kerala","THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA)","To provide minimast light in front of Attukal Temple,Attukal Ward,Thiruvananthapuram Corporation,TVPM District","Shri A. A. Rahim (2022-28) (NaN-NaN)","Elected MP","Images","20-Aug-2026","235332"
"32","Normal/Others","WS/MP096/2024-2025/132535-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Construction of Panakkad Palli canteen road /pathway, Ward No.37, Malappuram Municipality","Shri Abdul Wahab (2021-27) (NaN-NaN)","Elected MP","Images","19-Jun-2024","971608"
"33","Normal/Others","WS/MP096/2024-2025/117361-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","IDUKKI(DISTRICT COLLECTOR IDUKKI_IDA)","Marthoma M S Colony - Parekkandam Link road/Pathway, Ward No.11, Edavetty Panchayat","Shri Abdul Wahab (2021-27) (NaN-NaN)","Elected MP","Images","06-Dec-2024","464853"
"34","Normal/Others","WS/MP096/2024-2025/132555-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Construction of Poozhipatta town - Karinilam /pathway, Ward No. 11, Moorkkanad Panchayat","Shri Abdul Wahab (2021-27) (NaN-NaN)","Elected MP","N/A","06-Jul-2024","396289"
"35","Normal/Others","WS/MP096/2024-2025/132372-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Construction of Chirakkal - Kootayi Alavipadi road/pathway, ward no.03, Ponmundam Panchayat","Shri Abdul Wahab (2021-27) (NaN-NaN)","Elected MP","Images","12-Jul-2024","367434"
"36","Normal/Others","WS/MP096/2024-2025/132534-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Construction of Paarangadi SC Colony road /pathway, ward No. 07, Othukkungal Panchayat (SC)","Shri Abdul Wahab (2021-27) (NaN-NaN)","Elected MP","Images","15-Jul-2024","127296"
"37","Normal/Others","WS/MP096/2024-2025/132533-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Construction of Chekkath - Kaipatta Naduvil road /pathway, Ward No. 01, Othukkungal Panchayat","Shri Abdul Wahab (2021-27) (NaN-NaN)","Elected MP","Images","15-Jul-2024","356297"
"38","Normal/Others","WS/MP096/2024-2025/132560-Lighting of public spaces","Kerala","KOZHIKODE(DISTRICT COLLECTOR KOZHIKODE_IDA)","Setting up of low mast light at Kopprakkalli, Ward Mp.17, Kadalundi Panchayath","Shri Abdul Wahab (2021-27) (NaN-NaN)","Elected MP","Images","24-Jul-2024","136886"
"39","Normal/Others","WS/MP096/2024-2025/132561-Lighting of public spaces","Kerala","KOZHIKODE(DISTRICT COLLECTOR KOZHIKODE_IDA)","Setting up of low mast light at Marakkattil - Srambya road Junction, Ward No.17, Kadalundi Panchayath.","Shri Abdul Wahab (2021-27) (NaN-NaN)","Elected MP","Images","22-Aug-2024","136886"
"40","Normal/Others","WS/MP096/2024-2025/132958-Construction of rooms and halls in school and colleges","Kerala","THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA)","Setting up of High-tech theatre classroom at PTMVHSS, Maruthoorkonam, Ward no.14, Kottukal Panchayat","Shri Abdul Wahab (2021-27) (NaN-NaN)","Elected MP","Images","04-Sep-2024","1499700"
"41","Normal/Others","WS/MP096/2024-2025/133668-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Construction of Palad -Kalamkunnu Road /pathway, Ward No. 17, Vazhikkadavu Panchayat","Shri Abdul Wahab (2021-27) (NaN-NaN)","Elected MP","Images","06-Sep-2024","487095"
"42","Normal/Others","WS/MP096/2024-2025/137098-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Construction of Chathamangalam - Viripadam road /pathway, Ward No. 11, Vazhayoor Panchayat","Shri Abdul Wahab (2021-27) (NaN-NaN)","Elected MP","Images","06-Sep-2024","379009"
"43","Normal/Others","WS/MP096/2024-2025/137100-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Construction of Pallipadi - Palisserikuth road /pathway, Ward No. 14, Pulpatta Panchayat","Shri Abdul Wahab (2021-27) (NaN-NaN)","Elected MP","Images","07-Sep-2024","335536"
"44","Normal/Others","WS/MP096/2024-2025/137102-Purchase of vans and buses for educational institutions","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Purchasing of School Bus for GLPS Vendekkumpotty, Ward No.04, Vazhikadavu Panchayat","Shri Abdul Wahab (2021-27) (NaN-NaN)","Elected MP","Images","24-Sep-2024","1873200"
"45","Normal/Others","WS/MP096/2024-2025/132532-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Construction of PWD Mundappalam  Edayangad road or pathway ward No 08 Kondotty Municipality","Shri Abdul Wahab (2021-27) (NaN-NaN)","Elected MP","Images","11-Sep-2024","228870"
"46","Normal/Others","WS/MP096/2024-2025/137099-Purchase of IT systems, including hardware and software for educational purposes","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","1.	Purchasing of Computers and accessories for GVHSS, Kalpakanchery, Ward No. 12, Kalpakanchery Panchayat","Shri Abdul Wahab (2021-27) (NaN-NaN)","Elected MP","Images","29-Jan-2026","500000"
