"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"23","Kerala","Purchase of IT systems, including hardware and software for educational purposes","WS/MP094/2025-2026/173368","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Dr. V. Sivadasan (2021-27) (2021-2027)","Elected MP","13-May-2026","KELTRON","Payment Success","282256"
"24","Kerala","Purchase of IT systems, including hardware and software for educational purposes","WS/MP094/2025-2026/173519","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Dr. V. Sivadasan (2021-27) (2021-2027)","Elected MP","15-May-2026","KELTRON","Payment Success","282256"
"25","Kerala","Purchase of IT systems, including hardware and software for educational purposes","WS/MP094/2025-2026/173520","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Dr. V. Sivadasan (2021-27) (2021-2027)","Elected MP","15-May-2026","KELTRON","Payment Success","282256"
"26","Kerala","Purchase of IT systems, including hardware and software for educational purposes","WS/MP094/2025-2026/173551","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Dr. V. Sivadasan (2021-27) (2021-2027)","Elected MP","23-Jun-2026","KELTRON","Payment Success","282256"
"27","Kerala","Purchase of IT systems, including hardware and software for educational purposes","WS/MP094/2025-2026/173553","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Dr. V. Sivadasan (2021-27) (2021-2027)","Elected MP","30-Jun-2026","KELTRON","Payment Success","282256"
"28","Kerala","Purchase of IT systems, including hardware and software for educational purposes","WS/MP094/2025-2026/173554","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Dr. V. Sivadasan (2021-27) (2021-2027)","Elected MP","04-Jul-2026","KELTRON","Payment Success","282256"
"29","Kerala","Purchase of IT systems, including hardware and software for educational purposes","WS/MP094/2025-2026/173567","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Dr. V. Sivadasan (2021-27) (2021-2027)","Elected MP","04-Jul-2026","KELTRON","Payment Success","282256"
"30","Kerala","Purchase of IT systems, including hardware and software for educational purposes","WS/MP094/2025-2026/173568","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Dr. V. Sivadasan (2021-27) (2021-2027)","Elected MP","06-Jul-2026","KELTRON","Payment Success","282256"
"31","Kerala","Purchase of IT systems, including hardware and software for educational purposes","WS/MP094/2025-2026/173569","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Dr. V. Sivadasan (2021-27) (2021-2027)","Elected MP","06-Jul-2026","KELTRON","Payment Success","282256"
"32","Kerala","Purchase of IT systems, including hardware and software for educational purposes","WS/MP094/2025-2026/173570","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Dr. V. Sivadasan (2021-27) (2021-2027)","Elected MP","29-Jun-2026","KELTRON","Payment Success","282256"
"33","Kerala","Purchase of IT systems, including hardware and software for educational purposes","WS/MP094/2025-2026/173571","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Dr. V. Sivadasan (2021-27) (2021-2027)","Elected MP","06-Jul-2026","KELTRON","Payment Success","176635"
