"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Constituency","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"18","Normal/Others","WS/MP672/2026-2027/272115-Providing drains and gutters for public drainage","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Construction of drainage line at Nagsenvan from house of Shamkuwar to house of Bolgudewar, Prabhag No-3, Nagpur.","02-Mar-2026","25-Jun-2026","1000000","Physical Inspection"
"19","Normal/Others","WS/MP672/2026-2027/272114-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Construction of road at Shiv Nagar, Prabhag No-3, Nagpur.","02-Mar-2026","25-Jun-2026","1000000","Physical Inspection"
"20","Normal/Others","WS/MP672/2026-2027/227303-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Construction of Cement Concrete Road at Pivli Nadi area, Nagpur.","16-Aug-2025","29-May-2026","1000000","Physical Inspection"
"21","Normal/Others","WS/MP672/2026-2027/227307-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Construction of Cement Concrete road at Dabha from House of Shri.Milind Gode to Binjhani Shopee and Binjhani Shopee to House of Shri.Pappi Agrawal, Nagpur.","16-Aug-2025","14-May-2026","3000000","Physical Inspection"
"22","Normal/Others","WS/MP672/2025-2026/198594-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Construction of road at Mouza - Zingabai Takli, Khasra No.110, Nasheman Society, Nagpur.","11-May-2025","25-Feb-2026","1000000","Work Completed"
"23","Normal/Others","WS/MP672/2024-2025/144105-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Construction of Cement Concerete Road from house of Durga Vikas Dharange to house of Sunita Hedaoo at Galli No.24, Vinoba Bhave Nagar.","27-Sep-2024","30-Sep-2024","458593","Physical Inspection"
"24","Normal/Others","WS/MP672/2024-2025/157636-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Installation of Paver Blocks (I Block) in Arvind Nagar from House of Viju Dahake to Ramjan Ul Haq.","09-Dec-2024","11-Feb-2025","1000000","Physical Inspection"
"25","Normal/Others","WS/MP672/2026-2027/215081-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Construction of Cement Concrete Road at Malik Mouza Society Arya Nagar Prabhag No.1","05-Jul-2025","14-May-2026","2000000","Physical Inspection"
"26","Normal/Others","WS/MP672/2026-2027/215119-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Construction of Cement Concrete Road at Sai Sevashram Society, Arya Nagar, Nagpur.","05-Jul-2025","22-Jul-2026","2000000","Sanction"
"27","Normal/Others","WS/MP672/2026-2027/215131-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Cosntruction of road with drainage from Shriram Nagar Kalimata mandir Main road to Drum Karkhana to Sangeeta Gokhle residence Kalamna","05-Jul-2025","25-Jun-2026","2500000","Physical Inspection"
"28","Normal/Others","WS/MP672/2026-2027/215132-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Cosntruction of road with drainage from Gokul Nagar Main road to residence of Mr.Gaurav, Kalamna","05-Jul-2025","22-Jul-2026","2500000","Physical Inspection"
"29","Normal/Others","WS/MP672/2026-2027/215133-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Cosntruction of road with drainage from Main road to residence of Manish Sahu and Main road to residence of Harsha Paunikar, Gokul Nagar, Kalamna","05-Jul-2025","22-Jul-2026","2500000","Physical Inspection"
"30","Normal/Others","WS/MP672/2026-2027/215157-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Cosntruction of CC Flooring road from residence of Shyam Tarare to residence of Ganesh Ghodmare, Balabhaupeth, Nagpur","05-Jul-2025","29-May-2026","500000","Physical Inspection"
"31","Normal/Others","WS/MP672/2024-2025/172547-Construction of footpaths and pedestrian ways","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Installation of I-Block near Rehamania Masjid, Ramai Nagar, Nagpur.","04-Feb-2025","07-Feb-2025","1000000","Physical Inspection"
"32","Normal/Others","WS/MP672/2026-2027/272117-Construction of footpaths and pedestrian ways","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Laying of I-Block at Samaj Bhavan located at Santosh nagar, Prabhag No-3, Nagpur.","02-Mar-2026","25-Jun-2026","1000000","Physical Inspection"
"33","Normal/Others","WS/MP672/2025-2026/276662-Development of public parks","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Development of open space beside NMC Vyayam Shala locates at Tuslhibag, Mahal (Prabhag - 18) with construction of toilets, Covered Shed and laying of I-Blocks on ground.","30-Mar-2026","30-Mar-2026","2500000","Physical Inspection"
"34","Normal/Others","WS/MP672/2025-2026/256783-Development of public parks","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Development of Dnyanyogi Dr.Shrikant Jichkar Children Traffic Park.","02-Jan-2026","03-Feb-2026","5000000","Work partially Completed"
"35","Normal/Others","WS/MP672/2024-2025/185160-Development of playfields and sports grounds","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Installation of Li-Ning Matin at Badminton Court of NMC Badminton Hall at Vivekanand Nagar, Nagpur","21-Mar-2025","22-Mar-2025","1000000","Physical Inspection"
"36","Normal/Others","WS/MP672/2024-2025/136731-Lighting of public spaces","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Installation of Highmast light and electric poles with light at Gosavi Ghat, Binaki, Nagpur","22-Aug-2024","23-Aug-2024","999600","Work Completed"
"Grand Total"," "," "," "," "," "," "," "," "," "," ","6,71,99,843"
