"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Elected/Nominated","Image","Completion Date","Amount Disbursed ( ₹ )"
"1","Normal/Others","WS/MP18402/2025-2026/224297-Construction of community centers and community halls","Haryana","BHIWANI(DC Cum Nodal Officer MPLADS Bhiwani)","Construction new Community Center in Bahal Bhiwani","Shri Subhash Barala (2024-30) (NaN-NaN)","Elected MP","N/A","02-Jan-2026","1100000"
"2","Normal/Others","WS/MP18402/2025-2026/253330-Purchase of mobile water tankers","Haryana","BHIWANI(DC Cum Nodal Officer MPLADS Bhiwani)","Purchase of mobile water tanker for Gram Panchayat Sidhan.","Shri Subhash Barala (2024-30) (NaN-NaN)","Elected MP","N/A","02-Jan-2026","180000"
"3","Normal/Others","WS/MP18402/2025-2026/175544-Construction of shelters for animals","Haryana","JIND(DEPUTY COMMISSIONER JIND)","Construction of Shed for Cows in the Gaushala, Village Uchana Khurd, Distt Jind","Shri Subhash Barala (2024-30) (NaN-NaN)","Elected MP","N/A","02-Jan-2026","871539"
"4","Trust and Society","WS/MP18402/2025-2026/150959-Construction of public libraries and reading rooms","Haryana","FATEHABAD(Deputy Commissioner Fatehabad)","Construction of public libraries in SHRI DURGA MAHILA MAHAVIDYALAYA","Shri Subhash Barala (2024-30) (NaN-NaN)","Elected MP","N/A","04-May-2026","2012000"
"5","Normal/Others","WS/MP18425/2025-2026/215055-Construction of roads, link roads, pathways or any other road with or without drainage system","Haryana","PANCHKULA(DRDA PANCHKULA)","construction of retraining wall and road in thapli village","Smt. Rekha Sharma (2024-28) (NaN-NaN)","Elected MP","Images","23-Feb-2026","487913"
"Grand Total"," "," "," "," "," "," "," "," "," ","46,51,452"
