"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"11","Repair and Renovation","WS/MP18402/2026-2027/287006-Construction of community centers and community halls","Haryana","FATEHABAD(Deputy Commissioner Fatehabad)","Shri Subhash Barala (2024-30) (2024-2030)","Elected MP","Construction of Shamshan ghat","18-Jun-2026","11-Aug-2026","1980000","Sanction"
"12","Trust and Society","WS/MP18402/2025-2026/150959-Construction of public libraries and reading rooms","Haryana","FATEHABAD(Deputy Commissioner Fatehabad)","Shri Subhash Barala (2024-30) (2024-2030)","Elected MP","Construction of public libraries in SHRI DURGA MAHILA MAHAVIDYALAYA","06-Nov-2024","07-May-2025","2100000","Work Completed"
"13","Repair and Renovation","WS/MP18402/2025-2026/223401-Construction of public libraries and reading rooms","Haryana","JIND(DEPUTY COMMISSIONER JIND)","Shri Subhash Barala (2024-30) (2024-2030)","Elected MP","Renovation Compilation of Library Sarv Jatiya Panchayat Binain Khap  Danoda Jind","01-Aug-2025","10-Dec-2025","2097682","Work partially Completed"
"14","Normal/Others","WS/MP18402/2025-2026/224232-Construction of public libraries and reading rooms","Haryana","FATEHABAD(Deputy Commissioner Fatehabad)","Shri Subhash Barala (2024-30) (2024-2030)","Elected MP","Construction E-Library","01-Aug-2025","24-Sep-2025","1100000","Sanction"
"15","Normal/Others","WS/MP18402/2025-2026/252056-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","Haryana","KARNAL(DEPUTY COMMISSIONER KARNAL)","Shri Subhash Barala (2024-30) (2024-2030)","Elected MP","construction of boundary wall of dead animal burial ground","04-Dec-2025","12-Jan-2026","1000000","Vendor Identification"
"16","Normal/Others","WS/MP18402/2025-2026/228444-Construction of common work sheds/ common covered sitting area","Haryana","FATEHABAD(Deputy Commissioner Fatehabad)","Shri Subhash Barala (2024-30) (2024-2030)","Elected MP","Construction of Shed in Government Middle School, Bhuthan Khurd","22-Aug-2025","24-Sep-2025","1497000","Vendor Identification"
"17","Normal/Others","WS/MP18402/2026-2027/279756-Construction of common work sheds/ common covered sitting area","Haryana","JIND(DEPUTY COMMISSIONER JIND)","Shri Subhash Barala (2024-30) (2024-2030)","Elected MP","Construction of common work sheds common covered sitting area","06-May-2026","14-Aug-2026","500000","Sanction"
"18","Trust and Society","WS/MP18402/2026-2027/259757-Construction of additional rooms and halls in the existing public and community building","Haryana","HISAR(DEPUTY COMMISSIONER HISSAR_IDA)","Shri Subhash Barala (2024-30) (2024-2030)","Elected MP","CONSTRUCTION OF 20 BATHROOMS IN BUILDING OF JAAT DHARAMSHALA SABHA HISAR","18-Jan-2026","31-Aug-2026","1499806","Time Estimation"
"19","Normal/Others","WS/MP18425/2025-2026/247829-Construction of boundary walls of existing public and community buildings","Haryana","PANCHKULA(DRDA PANCHKULA)","Smt. Rekha Sharma (2024-28) (2024-2028)","Elected MP","construction of roof in govt primary school at ranuja dakar","13-Nov-2025","02-Feb-2026","1000000","Work partially Completed"
"20","Repair and Renovation","WS/MP299/2025-2026/248347-Construction of boundary walls of existing public and community buildings","Haryana","PANCHKULA(DRDA PANCHKULA)","Shri Kartikeya Sharma (2022-28) (2022-2028)","Elected MP","Construction of Boundary Wall of Valmiki Mandir at HMT Pinjore","15-Nov-2025","02-Feb-2026","983030","Sanction"
"21","Normal/Others","WS/MP18425/2025-2026/247825-Construction of buildings for community cultural activities","Haryana","PANCHKULA(DRDA PANCHKULA)","Smt. Rekha Sharma (2024-28) (2024-2028)","Elected MP","construction of chaupal at village kundal","13-Nov-2025","26-Dec-2025","1150000","Vendor Identification"
"22","Normal/Others","WS/MP18425/2025-2026/215054-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","Haryana","PANCHKULA(DRDA PANCHKULA)","Smt. Rekha Sharma (2024-28) (2024-2028)","Elected MP","construction of panchayat office at barwala panchayat.","05-Jul-2025","07-Aug-2025","1000000","Time Estimation"
"23","Normal/Others","WS/MP18425/2025-2026/202244-Construction of rooms and halls in school and colleges","Haryana","PANCHKULA(DRDA PANCHKULA)","Smt. Rekha Sharma (2024-28) (2024-2028)","Elected MP","construction of 01 additional classroom at gps khoi bagarni","21-May-2025","07-Aug-2025","1209000","Work partially Completed"
"24","Normal/Others","WS/MP18425/2025-2026/202245-Construction of rooms and halls in school and colleges","Haryana","PANCHKULA(DRDA PANCHKULA)","Smt. Rekha Sharma (2024-28) (2024-2028)","Elected MP","construction of 02 additional classroom with stone masonary protection wall at GMS JANOLI","21-May-2025","07-Aug-2025","2622000","Vendor Identification"
"25","Normal/Others","WS/MP18425/2025-2026/202246-Construction of rooms and halls in school and colleges","Haryana","PANCHKULA(DRDA PANCHKULA)","Smt. Rekha Sharma (2024-28) (2024-2028)","Elected MP","construction of 02 additional classroom at GMS GORAKHNATH,PINJORE","21-May-2025","07-Aug-2025","1771000","Work partially Completed"
"26","Repair and Renovation","WS/MP18425/2025-2026/202249-Construction of rooms and halls in school and colleges","Haryana","PANCHKULA(DRDA PANCHKULA)","Smt. Rekha Sharma (2024-28) (2024-2028)","Elected MP","Repair and renovation of the GPS SCHOOL,MANJYON","21-May-2025","07-Aug-2025","708000","Work partially Completed"
"27","Normal/Others","WS/MP18425/2025-2026/202258-Construction of rooms and halls in school and colleges","Haryana","PANCHKULA(DRDA PANCHKULA)","Smt. Rekha Sharma (2024-28) (2024-2028)","Elected MP","CONSTRUTION OF BOUNDARY WALL 76 MTR. AT GPS SAMANWA ,RAIPUR RANI","21-May-2025","07-Aug-2025","901000","Work partially Completed"
"28","Normal/Others","WS/MP18425/2025-2026/202259-Construction of rooms and halls in school and colleges","Haryana","PANCHKULA(DRDA PANCHKULA)","Smt. Rekha Sharma (2024-28) (2024-2028)","Elected MP","CONSTRUCTION AND RAISING OF BOUNDARY WALL OF 228 MTRS AT GHS FIROJPUR,RAIPUR RANI","21-May-2025","07-Aug-2025","902000","Work partially Completed"
"29","Trust and Society","WS/MP299/2026-2027/276298-Construction of rooms and halls in school and colleges","Haryana","AMBALA(DEPUTY COMMISSIONER AMBALA_IDA)","Shri Kartikeya Sharma (2022-28) (2022-2028)","Elected MP","Construction of shed in school assembly area","27-Mar-2026","27-May-2026","1100000","Sanction"
"30","Repair and Renovation","WS/MP299/2026-2027/278565-Construction of rooms and halls in school and colleges","Haryana","PANIPAT(DC CUM NODAL OFFICER MPLADS)","Shri Kartikeya Sharma (2022-28) (2022-2028)","Elected MP","construction of wall for CH. DEVI LAL Memorial girls (PG) College ,GT ROAD, SEWAH, PANIPAT,","18-Apr-2026","03-Jul-2026","1098412","Sanction"
