"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"16","Normal/Others","WS/MP18412/2025-2026/176718-Development of playground","Tripura","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","Development of playground under the management of Saroj Sangha, Jagaharimura, Agartala West Tripura.","20-Feb-2025","10-Jun-2025","1285890","Physical Inspection"
"17","Normal/Others","WS/MP18412/2025-2026/213923-Setting up of kitchen and pantries","Tripura","Unakoti(DISTRICT MAGISTRATE and COLLECTOR  UNOKOTI_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","Construction of Dining Hall cum Kitchen and Study Centre for the ST Student at Ramkrishna Mission Ashram, Kailashahar, Unakoti Tripura","01-Jul-2025","04-Feb-2026","2500000","Vendor Identification"
"18","Normal/Others","WS/MP18412/2025-2026/152546-Purchase of ambulances (Four, three and two wheelers)","Tripura","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","Providing one Mahindra Bolero Neo Ambulance at the disposal of Pioneer Youth Club at Amtila, Borgul, Kadamtala, North Tripura","14-Nov-2024","18-Jul-2025","1338787","Physical Inspection"
"19","Normal/Others","WS/MP18412/2024-2025/152550-Purchase of ambulances (Four, three and two wheelers)","Tripura","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","Providing 2 nos. Mahindra Stiller Auto 8 Seater Golf Cart for AGMC GBP Hospital Agartala.","14-Nov-2024","21-Mar-2025","1000000","Physical Inspection"
"20","Normal/Others","WS/MP18412/2025-2026/176709-Purchase of ambulances (Four, three and two wheelers)","Tripura","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","Maruti Suzuki EECO 1.2L Ambulance for Green Arrow Club, East Pratapgarh, Agartala, Ward No-43 (to be registered in the name of secretary Green Arrow Club, East Pratapgarh, Agartala)","20-Feb-2025","15-Sep-2025","901000","Physical Inspection"
"21","Normal/Others","WS/MP18412/2025-2026/176712-Purchase of ambulances (Four, three and two wheelers)","Tripura","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","Providing Maruti Suzuki EECO Ambulance 1.2L for Blue Lotus Club, Dhaleswar Road No.1, Agartala West Tripura","20-Feb-2025","15-Sep-2025","901000","Physical Inspection"
"22","Normal/Others","WS/MP18412/2025-2026/176714-Purchase of ambulances (Four, three and two wheelers)","Tripura","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","Maruti Suzuki Eeco Ambulance 1.2 L for Vivekananda Sangha, College tilla, Agartala.","20-Feb-2025","15-Sep-2025","901000","Physical Inspection"
"23","Normal/Others","WS/MP18412/2025-2026/176716-Purchase of ambulances (Four, three and two wheelers)","Tripura","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","Maruti Suzuki Eeco Ambulance 1.2 L Bir Bikram Club Melaghar Paul Para, Ward No-13, Sonamura Sub Divison.","20-Feb-2025","15-Sep-2025","901000","Physical Inspection"
"24","Normal/Others","WS/MP18412/2024-2025/176735-Purchase of ambulances (Four, three and two wheelers)","Tripura","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","Additional fund for providing 2 nos. Mahindra Stiller Auto 8 sitter Golf Cart for AGMC GBP Hospital, Agartala","20-Feb-2025","21-Mar-2025","290000","Physical Inspection"
"25","Normal/Others","WS/MP18412/2025-2026/213926-Purchase of ambulances (Four, three and two wheelers)","Tripura","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","Providing Tata Ambulance for Yuvak Sangha, Madhya Bhubanban, Agartala","01-Jul-2025","06-Dec-2025","892865","Physical Inspection"
"26","Normal/Others","WS/MP18412/2025-2026/220828-Purchase of ambulances (Four, three and two wheelers)","Tripura","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","Providing 1 (One) TaTa Magic Ambulance for Anga Sanchalani Club, Kamar Pukur Par, Dhaleswar, Agartala, Ward - 23","21-Jul-2025","06-Dec-2025","892865","Physical Inspection"
"27","Normal/Others","WS/MP18412/2025-2026/254559-Purchase of ambulances (Four, three and two wheelers)","Tripura","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","Providing additional fund for Maruti Suzuki ECO ambulance for Bir Bikram Club, Melaghar, Paul Para","17-Dec-2025","18-Dec-2025","16448","Vendor Identification"
"28","Normal/Others","WS/MP18412/2025-2026/254560-Purchase of ambulances (Four, three and two wheelers)","Tripura","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","Providing additional fund for Maruti Suzuki ECO ambulance for Vivekananda Sangha, College Tilla, Agartala","17-Dec-2025","18-Dec-2025","16448","Vendor Identification"
"29","Normal/Others","WS/MP18412/2025-2026/254561-Purchase of ambulances (Four, three and two wheelers)","Tripura","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","Providing additional fund for Maruti Suzuki ECO ambulance for Blue Lotus Club, Dhaleswar, Agartala","17-Dec-2025","18-Dec-2025","16448","Vendor Identification"
"30","Normal/Others","WS/MP18412/2025-2026/254562-Purchase of ambulances (Four, three and two wheelers)","Tripura","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","Providing additional fund for Maruti Suzuki ECO ambulance for Green Arrow Club, East Pratapgarh, Agartala","17-Dec-2025","18-Dec-2025","16448","Vendor Identification"
"31","Normal/Others","WS/MP18412/2025-2026/254631-Purchase of ambulances (Four, three and two wheelers)","Tripura","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","Providing 1 (One) Maruti Suzuki Eeco Ambulance 1.2L for National Law University, Tripura at Narsingarh","17-Dec-2025","18-Dec-2025","886811","Physical Inspection"
"32","Normal/Others","WS/MP18412/2026-2027/257765-Creation of new ponds","Tripura","Sepahijala(DISTRICT MAGISTRATE and COLLECTOR SIPAHIJALA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","Development of community water harvesting pond, Routhkalla GP, Bishalgarh R.D.Block, Sepahijala District.","07-Jan-2026","10-Jul-2026","3500000","Sanction"
"33","Normal/Others","WS/MP18412/2025-2026/241063- Providing sports equipment, except consumable items","Tripura","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","Providing of Hand Roller and Grass Cutter machine for the cricket ground of Modern Club, Shibnagar, Agartala.","24-Oct-2025","09-Mar-2026","499050","Physical Inspection"
"34","Normal/Others","WS/MP18412/2026-2027/241068-Construction of buildings for multi-gym","Tripura","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","Providing Modern GYM equipments and GYM facilities in the premises of Vivekananda Byamaghar, Agartala","24-Oct-2025","07-Jul-2026","1500000","Vendor Identification"
"35","Normal/Others","WS/MP18412/2025-2026/241082-Construction of stadiums","Tripura","Sepahijala(DISTRICT MAGISTRATE and COLLECTOR SIPAHIJALA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","Construction of Stadium in Boxanagar Play Ground under Sepahijala District","24-Oct-2025","09-Jan-2026","2500000","Vendor Identification"
"36","Normal/Others","WS/MP18412/2026-2027/243599-Installation of fixed garden gym equipment","Tripura","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","Installation of open Gymnasium at Kalkalia Chowmuhani  under Mohanpur R.D.Block area of Mohanpur  A.C  in West Tripura district.","24-Oct-2025","27-Jul-2026","1000000","Sanction"
"37","Normal/Others","WS/MP18412/2026-2027/243600-Installation of fixed garden gym equipment","Tripura","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","Installation of open Gymnasium at Birmohan Village under Lefunga Block area of Mohanpur A.C in West Tripura district.","24-Oct-2025","14-Jul-2026","1000000","Sanction"
"38","Normal/Others","WS/MP18412/2025-2026/210477-Development of public parks","Tripura","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","Creation of Green Park along with erection of Fiber Statue of Maharaja Bir Bikram Kishore Manikya Bahadur with suitable base in the premises of BBMC, Agartala.","19-Jun-2025","29-Oct-2025","999992","Physical Inspection"
"39","Normal/Others","WS/MP18412/2026-2027/267500-Development of playfields and sports grounds","Tripura","Sepahijala(DISTRICT MAGISTRATE and COLLECTOR SIPAHIJALA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","Construction of Volleyball ground in Ward No-1 of Melaghar M.C","10-Feb-2026","31-Jul-2026","1700000","Sanction"
"Grand Total"," "," "," "," "," "," "," "," "," "," ","5,37,26,844"
