"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"72","Normal/Others","WS/MP18282/2025-2026/197771-Construction of public irrigation facilities","Sikkim","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","Construction of Public irrigation Facilities at Zeeling","08-May-2025","300000","05-Jul-2025"
"73","Normal/Others","WS/MP18282/2025-2026/202366-Construction of public irrigation facilities","Sikkim","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","Construction of Public Irrigation Facilities at Ratakhola under Safung Ward","26-May-2025","1500000","14-Aug-2025"
"74","Normal/Others","WS/MP18282/2025-2026/202369-Construction of public irrigation facilities","Sikkim","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","Construction of Public Irrigation Facilities at Lapthang","26-May-2025","1300000","14-Aug-2025"
"75","Normal/Others","WS/MP18282/2025-2026/202370-Construction of public irrigation facilities","Sikkim","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","Construction of Public Irrigation facilities at Bageswari Thekabong","26-May-2025","400000","14-Aug-2025"
"76","Normal/Others","WS/MP18282/2025-2026/191303-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Sikkim","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","Construction of Flood Control Embankments at Richu Khola Below PMGSY Road, Linkey Village","15-Apr-2025","450000","05-Jul-2025"
"77","Normal/Others","WS/MP18282/2025-2026/191304-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Sikkim","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","Construction of Flood Control Embankments at Richu Khola below Crenmatorium,","15-Apr-2025","450000","05-Jul-2025"
"78","Normal/Others","WS/MP18282/2025-2026/191305-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Sikkim","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","Construction of Flood Control Embankments at Naray Khola below Pakyong-Barapthing PWD Road of Pakyong District","15-Apr-2025","4000000","06-Aug-2025"
"79","Normal/Others","WS/MP18282/2025-2026/191306-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Sikkim","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","Construction of Flood Control Embankments at Dhevithan Kholcha, Upper Aho","15-Apr-2025","4000000","05-Jul-2025"
"80","Normal/Others","WS/MP18282/2025-2026/192722-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Sikkim","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","Construction of Flood Control Embankments at Lapthang Kholsa","08-May-2025","1000000","05-Jul-2025"
"81","Normal/Others","WS/MP18282/2025-2026/192773-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Sikkim","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","Construction of Flood Control Embankments at Safung Khola at Safun Village","07-May-2025","1000000","05-Jul-2025"
"82","Normal/Others","WS/MP18282/2025-2026/192774-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Sikkim","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","Construction of Flood Control Embankments at Chalisey Dhara Kholsa","07-May-2025","900000","05-Jul-2025"
"83","Normal/Others","WS/MP18282/2025-2026/200127-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Sikkim","Gangtok(DISTRICT COLLECTOR EAST DISTRICT_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","Construction of Flood Control Embankments at Akchu Khola at Chinzay Ward","16-May-2025","500000","11-Sep-2025"
"84","Normal/Others","WS/MP18282/2025-2026/202359-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Sikkim","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","Construction of Flood Control Embankments at Richu River at Gangyap Ward","26-May-2025","700000","14-Aug-2025"
"85","Normal/Others","WS/MP18282/2025-2026/202361-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Sikkim","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","Construction of Flood Control Embankments at Rangpo River at Lossing Ward","26-May-2025","900000","14-Aug-2025"
