"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"172","Sikkim","Construction of public irrigation facilities","WS/MP18282/2025-2026/202370","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","11-Sep-2025","ASSISTANT ENGINEER ZILLA PANCHAYAT OFFICE","Payment Success","156070"
"173","Sikkim","Construction of public irrigation facilities","WS/MP18282/2025-2026/202370","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","11-Sep-2025","BANWARILALL OMKARMULL","Payment Success","243456"
"174","Sikkim","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP18282/2025-2026/202378","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","12-Dec-2025","ASSISTANT ENGINEER ZILLA PANCHAYAT OFFICE","Payment Success","204915"
"175","Sikkim","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP18282/2025-2026/202378","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","12-Dec-2025","BANWARILALL OMKARMULL","Payment Success","294174"
"176","Sikkim","Construction of boundary walls of existing public and community buildings","WS/MP18282/2025-2026/206324","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","11-Sep-2025","ASSISTANT ENGINEER ZILLA PANCHAYAT OFFICE","Payment Success","198050"
"177","Sikkim","Construction of boundary walls of existing public and community buildings","WS/MP18282/2025-2026/206324","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","11-Sep-2025","BANWARILALL OMKARMULL","Payment Success","301451"
"178","Sikkim","Setting up of farmers’ training and assistance centers","WS/MP18282/2025-2026/206326","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","14-Aug-2025","RAJU ENTERPRISES","Payment Success","222662"
"179","Sikkim","Setting up of farmers’ training and assistance centers","WS/MP18282/2025-2026/206326","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","14-Aug-2025","OFFICE OF THE ASSISTANT ENGINEER BAC PAKYONG","Payment Success","276120"
"180","Sikkim","Construction of public libraries and reading rooms","WS/MP18282/2025-2026/206584","Gangtok(DISTRICT COLLECTOR EAST DISTRICT_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","10-Mar-2026","Tenzing Sherpa","Payment Success","499916"
"181","Sikkim","Construction of boundary walls of existing public and community buildings","WS/MP18282/2025-2026/225043","Soreng(DISTRICT COLLECTOR SORENG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","26-Sep-2025","Tshering Tamang","Payment Success","997692"
"182","Sikkim","Retrofitting, preservation or conservation of heritage and archaeological monuments and buildings","WS/MP18282/2025-2026/231070","Gangtok(DISTRICT COLLECTOR EAST DISTRICT_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","17-Apr-2026","Abhishak Kumar Kashyap","Payment Success","301446"
"183","Sikkim","Retrofitting, preservation or conservation of heritage and archaeological monuments and buildings","WS/MP18282/2025-2026/231070","Gangtok(DISTRICT COLLECTOR EAST DISTRICT_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","17-Apr-2026","Assistant Engineer Gangtok Municipal Corporation","Payment Success","198180"
"Grand Total"," "," "," "," "," "," "," "," "," ","9,19,21,040"
