"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Constituency","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"19","Normal/Others","WS/MP465/2025-2026/168654-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Covered drain construction work from Muskat Hotel to Raebareli Road in Ward No. 18 Gadankheda.","10-Feb-2025","602270","13-Jun-2025"
"20","Normal/Others","WS/MP465/2026-2027/288355-Construction of shelters for animals","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Construction of Hanumant Jeev Ashram in Animal shelter","23-Jun-2026","1268000","23-Jul-2026"
"21","Normal/Others","WS/MP465/2026-2027/288356-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Construction of interlocking Road gram Panchyat Atwa umar Puliya to Pradeep Kumar House Block Safipur","23-Jun-2026","1268000","23-Jul-2026"
"22","Normal/Others","WS/MP465/2026-2027/277569-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Interlocking work from Krishna Sahu farm in village Achalganj towards Unnao RaeBareli Road.","10-Apr-2026","1534000","19-Jun-2026"
"23","Normal/Others","WS/MP465/2026-2027/277570-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Interlocking work from Asphalt Road to Lallan Dixit door in Gram Panchayat Magrayar Bighapur block","10-Apr-2026","2485000","19-Jun-2026"
"24","Normal/Others","WS/MP465/2026-2027/288353-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Construction of interlocking Road gram Panchyat poni Bramh dev Mandir to Maa Chaturbhuji Mandir  Block S. Karan","23-Jun-2026","987000","23-Jul-2026"
"25","Normal/Others","WS/MP465/2026-2027/288354-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Construction of interlocking Road gram Trilokpur in Nakul Rajbahadur House to Ramssajeevan Door Block Bighapur","23-Jun-2026","1326000","23-Jul-2026"
"26","Normal/Others","WS/MP465/2026-2027/277564-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Interlocking work from Jamal Ahmed Inter College to Lucknow Kanpur Road in Ward No. 12 Pitambar Nagar (Shivnagar)","10-Apr-2026","966000","19-Jun-2026"
"27","Normal/Others","WS/MP465/2026-2027/277565-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Interlocking work from Suresh Barber door to Medi Lal door in Majra Durgaganj Gram Sabha Porai.","10-Apr-2026","1026000","19-Jun-2026"
"28","Normal/Others","WS/MP465/2026-2027/277566-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Construction of Drain and Interlocking Road from Pilia to Saint Judes School in Pitambar Nagar.","10-Apr-2026","803000","19-Jun-2026"
