"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Constituency","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"69","Normal/Others","WS/MP465/2024-2025/137490-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","????? ??? ????????? ??? ????? ???? ????? ????? ????? ?? ????????? ???? ?? ?????????? ?????","28-Aug-2024","1169654","21-Nov-2024"
"70","Normal/Others","WS/MP465/2024-2025/137491-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","????? ??? ??????? ?? ????? ?????? ?????? ??? ??? ???? ?? ????????? ?? ?? ?? ?????????? ?????","28-Aug-2024","1302091","21-Nov-2024"
"71","Normal/Others","WS/MP465/2024-2025/137492-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","??????? ??????? ??? ?? ????? ???? 8 ??? ????? ??????? ?? ?? ?? ???? ?? ?? ?? ?????????? ?????","28-Aug-2024","334804","21-Nov-2024"
"72","Normal/Others","WS/MP465/2024-2025/137493-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","??? ?? ??????? ?????? ??? ??? ???? ?????? ?? ?? ?? ???? ?? ?? ?? ???? ?????????? ?? ?? ?? ?????????? ?????","28-Aug-2024","1066257","05-Dec-2024"
"73","Normal/Others","WS/MP465/2024-2025/137494-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","?????? ??? ?? ?????? ??? ??? ????? ???? 8 ???? ???? ?? ?? ?? ??????? ?? ?? ?? ?????????? ?????","28-Aug-2024","294822","21-Nov-2024"
"74","Normal/Others","WS/MP465/2024-2025/137495-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","????? ??? ?????? ?? ????? ?????? ???????? ????? ?? ???? ????? ????? ??? ????? ???? ?? ?????? ?? ???? ???? ?? ?? ?? ?????????? ?????","28-Aug-2024","517653","21-Nov-2024"
"75","Normal/Others","WS/MP465/2024-2025/137496-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","?????? ??? ?? ??????? ?????????? ??? ????????? ???? ?? ??? ??? ???? ? ?????????? ?????","28-Aug-2024","848185","21-Nov-2024"
"76","Normal/Others","WS/MP465/2024-2025/168651-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Interlinking construction work from near the house of former MLA Devki Nandan to the house of Rahul Patel in Block Sumerpur.","10-Feb-2025","1731000","26-Mar-2025"
"77","Normal/Others","WS/MP465/2024-2025/168652-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Block Sikandarpur karan me Gram panchayat dubeypur me Maharshi Dayanand Aadarsh Inter College se Vinod Dixit ke ghar ki aor interlocking nirman karya.","10-Feb-2025","1578000","26-Mar-2025"
"78","Normal/Others","WS/MP465/2025-2026/168653-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Interlinking construction work from Devidayal house to Vijay Shankar house via Mahadev Baba Temple in village Sarai Manihar in Block Sumerpur.","10-Feb-2025","862000","13-Jun-2025"
"79","Normal/Others","WS/MP465/2025-2026/210794- Providing sports equipment, except consumable items","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Providing the Sport equipments for training as per letter attached. 4693 dt 20.06.2025","20-Jun-2025","1278600","19-Jan-2026"
"80","Normal/Others","NA-Lighting of public spaces","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Nagrpalika Unnao ke Ward No. 18 Gadankheda par Sthit Park aur gas godam ke madhya 01 high mast light.","02-May-2025","230000","NA"
"81","Normal/Others","NA-Lighting of public spaces","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Bighapur dhanikheda sagwar marg par sthit Amrit Sarovar ke paas 01 high mast light.","02-May-2025","230000","NA"
"82","Normal/Others","NA-Lighting of public spaces","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Gram Bhartipur abadi bhag me 05 high mast light","02-May-2025","1150000","NA"
"83","Normal/Others","NA-Lighting of public spaces","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Gram Aram me Bairagya Roop baba mandir ke paas 01 high mast light.","02-May-2025","230000","NA"
"84","Normal/Others","NA-Lighting of public spaces","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Patan me purane post office ke samne chaurahe par 01 high mast light","02-May-2025","230000","NA"
"85","Normal/Others","NA-Lighting of public spaces","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Gram Jamuka me Shailendra Chaurasiya ke Guest house ke samne 01 high mast light","02-May-2025","230000","NA"
"86","Normal/Others","NA-Lighting of public spaces","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Nihali kheda me Mata Annapurna Mandir ke paas 01 high mast light.","02-May-2025","230000","NA"
"87","Normal/Others","NA-Lighting of public spaces","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Block bichiya me Gram Etauli me Balkhandeshwar madnir ke paas 01 high mast light.","02-May-2025","230000","NA"
"88","Normal/Others","NA-Construction of shelters for animals","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Shri Krishnayan gaurakshashala sabal garh (Bhaguwala) Bijnor me Teen Shed nirman hetu.","26-Mar-2025","4997529","NA"
"Grand Total"," "," "," "," "," "," "," "," "," ","10,18,24,036"
