"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Constituency","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"68","Normal/Others","WS/MP465/2025-2026/196760-Installing community drinking water plants","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Lucknow bypass par sthit Maa Annapurna dham mandir ke pass 01 water cooler.","05-May-2025","15-Jul-2025","725000","Work partially Completed"
"69","Normal/Others","WS/MP465/2026-2027/277562-Installing community drinking water plants","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Installing of RO water cooler between Primary School and Girls Junior School in village Sagarwar Dhanikheda Marg Block Bighapur.","10-Apr-2026","19-Jun-2026","725000","Sanction"
"70","Normal/Others","WS/MP465/2026-2027/277563-Installing community drinking water plants","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Installationm of RO Water Cooler on Main Road near Baratshala on Piprasar Marg","10-Apr-2026","19-Jun-2026","725000","Sanction"
"71","Normal/Others","WS/MP465/2025-2026/174850-Installing community drinking water plants","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","01 water cooler on the road from Gangaga Setu main road to funeral place in development block Sumerpur Gram Panchayat Buxar.","10-Feb-2025","13-Jun-2025","725000","Physical Inspection"
"72","Normal/Others","WS/MP465/2025-2026/195910-Installing community drinking water plants","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Block Bangarmau me nanamau ghat par Water Cooler installation.","02-May-2025","15-Jul-2025","725000","Work partially Completed"
"73","Normal/Others","WS/MP465/2025-2026/195911-Installing community drinking water plants","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Block Sumerpur me chandrika mata mandir ke paas Water Cooler installation.","02-May-2025","15-Jul-2025","725000","Work partially Completed"
"74","Normal/Others","WS/MP465/2025-2026/195912-Installing community drinking water plants","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Shuklaganj pakke ghat par water cooler installation.","02-May-2025","15-Jul-2025","725000","Work partially Completed"
"75","Normal/Others","WS/MP465/2025-2026/195913-Installing community drinking water plants","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Block nawabganj Kushumbhi mandir ke paas water cooler installation.","02-May-2025","15-Jul-2025","725000","Work partially Completed"
"76","Normal/Others","WS/MP465/2025-2026/195914-Installing community drinking water plants","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Unnao Jail Parisar me Water Cooler Installation.","02-May-2025","15-Jul-2025","725000","Work partially Completed"
"77","Normal/Others","WS/MP465/2025-2026/168654-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Covered drain construction work from Muskat Hotel to Raebareli Road in Ward No. 18 Gadankheda.","10-Feb-2025","13-Jun-2025","602270","Physical Inspection"
"Grand Total"," "," "," "," "," "," "," "," "," "," ","9,43,12,036"
