"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Constituency","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"30","Normal/Others","WS/MP465/2025-2026/195987-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","gram panchayat matukari ke majra Aat me Mataji ke mandir se Parshuram ke ghar tak interlocking karya","02-May-2025","15-Jul-2025","1500000","Work Completed"
"31","Normal/Others","WS/MP465/2025-2026/195988-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","gram panchayat mirzapur ke majra langdapur me Chedilal ke ghar se Tejram ke ghar tak Interlocking karya.","02-May-2025","15-Jul-2025","986000","Vendor Identification"
"32","Normal/Others","WS/MP465/2025-2026/195989-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","gram panchayat Sanni me Nanhakke paasi ke ghar se Sushil Mishra ke ghar tak interlocking karya.","02-May-2025","15-Jul-2025","1568000","Work partially Completed"
"33","Normal/Others","WS/MP465/2025-2026/195990-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","gram panchayat Saraiya me Gaura nishad ke ghar se Rajaram Yadav ke ghar tak interlocking karya","02-May-2025","15-Jul-2025","1476000","Vendor Identification"
"34","Normal/Others","WS/MP465/2025-2026/195992-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Block Bicchiya ke gram Etauli Ashok Shukla ke ghar se Rampal nai ke ghar tak interlocking karya.","02-May-2025","15-Jul-2025","1037000","Vendor Identification"
"35","Normal/Others","WS/MP465/2025-2026/195996-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","ward no. 12 Pitambar nagar (Shiv Nagar) me Kalishankar Lodhi ke ghar se Aara machine ki aor Interlocking karya.","02-May-2025","02-Sep-2025","1200000","Vendor Identification"
"36","Normal/Others","WS/MP465/2025-2026/195997-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Chak nihali kheda me Sonu ke Engine ke thoda aage se Mauragi nadi tak Khadanja road Nirman karya.","02-May-2025","02-Sep-2025","2500000","Vendor Identification"
"37","Normal/Others","WS/MP465/2024-2025/168657-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Interlinking construction work from asphalt road to Budhilal Lodhi house via Ramesh Lodhi house in Abanpur village of Hasanganj Gram Panchayat Nevajkheda.","10-Feb-2025","26-Mar-2025","1012000","Vendor Identification"
"38","Normal/Others","WS/MP465/2024-2025/168659-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Interlinking construction work from Kashiram asphalt road to CC road via Deepu Lodhi house in Barbat Gram Panchayat of Sikanderpur Sarosi, the city of hopes.","10-Feb-2025","26-Mar-2025","2335000","Vendor Identification"
"39","Normal/Others","WS/MP465/2025-2026/168660-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Interlinking construction work from asphalt road to Arjun Lodhi house in Kedarkheda village of Rampur Lone Gram Panchayat of Sikanderpur.","10-Feb-2025","25-Jun-2025","1403000","Vendor Identification"
