"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"17","Normal/Others","WS/MP18412/2025-2026/152599-Construction of rooms and halls in school and colleges","Tripura","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","Construction of single Class Room with staircase at Sishu Tirtha School, College Tilla, Agartala","14-Nov-2024","2200000","06-Sep-2025"
"18","Normal/Others","WS/MP18412/2025-2026/176728-Construction of rooms and halls in school and colleges","Tripura","South Tripura(DISTRICT MAGISTRATE and COLLECTOR SOUTH TRIPURA DISTRICT_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","Construction of new School Building at Sabroom English Medium HS School, Sabroom, South Tripura. - 1st phase.","20-Feb-2025","2500000","17-Jul-2025"
"19","Normal/Others","NA-Construction of rooms and halls in school and colleges","Tripura","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","Construction of a Class Room in the premises of Ramkrishna Vivekananda Vidyamandir, Agartala","07-Jan-2026","2000000","NA"
"20","Normal/Others","NA-Construction of rooms and halls in school and colleges","Tripura","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","Construction of additional class room in the premises of Iswar Pathsala English Medium School, College Tilla, Agartala.","03-May-2026","600000","NA"
"21","Normal/Others","NA-Construction of rooms and halls in school and colleges","Tripura","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","Construction of RCC Double storied Art Gallery cum Library Building at the premises of Ram Krishna Mission, Viveknagar, Amtali, Ward No. 50, AMC, West Tripura","25-Jun-2026","5000000","NA"
"22","Normal/Others","WS/MP18412/2025-2026/176917-Construction of toilet blocks","Tripura","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","Construction of toilet block in the school premises of Kshudiram Basu English Medium School, Old Jail Road, Agartala.","21-Feb-2025","150000","22-May-2025"
"23","Normal/Others","WS/MP18412/2025-2026/176718-Development of playground","Tripura","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","Development of playground under the management of Saroj Sangha, Jagaharimura, Agartala West Tripura.","20-Feb-2025","1285890","10-Jun-2025"
"24","Normal/Others","WS/MP18412/2025-2026/213923-Setting up of kitchen and pantries","Tripura","Unakoti(DISTRICT MAGISTRATE and COLLECTOR  UNOKOTI_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","Construction of Dining Hall cum Kitchen and Study Centre for the ST Student at Ramkrishna Mission Ashram, Kailashahar, Unakoti Tripura","01-Jul-2025","2500000","04-Feb-2026"
"25","Normal/Others","NA-Setting up of kitchen and pantries","Tripura","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","Construction of Dining Hall cum Kitchen at Ramthakur Girls High School, Ward No 31, Agartala, Tripura West","25-Jun-2026","1500000","NA"
"26","Normal/Others","WS/MP18412/2025-2026/152546-Purchase of ambulances (Four, three and two wheelers)","Tripura","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","Providing one Mahindra Bolero Neo Ambulance at the disposal of Pioneer Youth Club at Amtila, Borgul, Kadamtala, North Tripura","14-Nov-2024","1338787","18-Jul-2025"
