"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"126","Chhattisgarh","Lighting of public spaces","WS/MP225/2024-2025/142898","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Mar-2025","STARCARE ENTERPRISES LLP","Payment Success","420940"
"127","Chhattisgarh","Lighting of public spaces","WS/MP225/2024-2025/142899","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","21-Jan-2025","STARCARE ENTERPRISES LLP","Payment Success","75518"
"128","Chhattisgarh","Lighting of public spaces","WS/MP225/2024-2025/142899","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Mar-2025","STARCARE ENTERPRISES LLP","Payment Success","420940"
"129","Chhattisgarh","Lighting of public spaces","WS/MP225/2024-2025/143842","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","21-Jan-2025","STARCARE ENTERPRISES LLP","Payment Success","75518"
"130","Chhattisgarh","Lighting of public spaces","WS/MP225/2024-2025/143842","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Mar-2025","STARCARE ENTERPRISES LLP","Payment Success","420940"
"131","Chhattisgarh","Lighting of public spaces","WS/MP225/2024-2025/143843","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","21-Jan-2025","STARCARE ENTERPRISES LLP","Payment Success","75518"
"132","Chhattisgarh","Lighting of public spaces","WS/MP225/2024-2025/143843","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Mar-2025","STARCARE ENTERPRISES LLP","Payment Success","420940"
"133","Chhattisgarh","Lighting of public spaces","WS/MP225/2024-2025/143844","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","21-Jan-2025","STARCARE ENTERPRISES LLP","Payment Success","75518"
"134","Chhattisgarh","Lighting of public spaces","WS/MP225/2024-2025/143844","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Mar-2025","STARCARE ENTERPRISES LLP","Payment Success","420940"
"135","Chhattisgarh","Street lights","WS/MP225/2024-2025/143845","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","21-Jan-2025","STARCARE ENTERPRISES LLP","Payment Success","75518"
