"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"267","Normal/Others","WS/MP831/2025-2026/132668-Construction of boundary walls of existing public and community buildings","Assam","CHIRANG(Deputy Commissioner Chirang_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","Construction of Boundary wall at Rangsari Community hall , Beshargaon, Bijni","20-Jun-2024","1500000","10-Jun-2025"
"268","Normal/Others","WS/MP831/2025-2026/132676-Construction of boundary walls of existing public and community buildings","Assam","CHIRANG(Deputy Commissioner Chirang_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","Construction of boundari wall at Padmapur L.P.school near Padmapur Bazar under Kadamtala VCDC","20-Jun-2024","1000000","28-May-2025"
"269","Normal/Others","WS/MP831/2025-2026/132691-Construction of boundary walls of existing public and community buildings","Assam","CHIRANG(Deputy Commissioner Chirang_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","construction of boundary wall at Bathou Research Centre at Simlaguri under Rowmari VCDC.","21-Jun-2024","1000000","20-May-2025"
"270","Normal/Others","WS/MP831/2025-2026/144714-Construction of boundary walls of existing public and community buildings","Assam","CHIRANG(Deputy Commissioner Chirang_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","construction of boundary at Hasroabary M.E. School under Birhangaon VCDC.","30-Sep-2024","1500000","10-Dec-2025"
"271","Normal/Others","WS/MP831/2025-2026/144719-Construction of boundary walls of existing public and community buildings","Assam","CHIRANG(Deputy Commissioner Chirang_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","Construction of Boundary wall at Pachim Silpota Anganwadi Centre, Silpota under kajalgaon VCDC.","30-Sep-2024","1000000","01-Dec-2025"
"272","Normal/Others","WS/MP831/2025-2026/187175-Construction of boundary walls of existing public and community buildings","Assam","CHIRANG(Deputy Commissioner Chirang_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","Construction of Boundary wall at Kakragaon Beltoli community hall .","27-Mar-2025","1500000","10-Mar-2026"
"273","Normal/Others","WS/MP831/2025-2026/187177-Construction of boundary walls of existing public and community buildings","Assam","CHIRANG(Deputy Commissioner Chirang_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","Construction of boundari wall at Chapaguri Janashiksha puthi bhoral and club .","27-Mar-2025","700000","26-Aug-2025"
"274","Normal/Others","WS/MP831/2026-2027/217310-Construction of boundary walls of existing public and community buildings","Assam","CHIRANG(Deputy Commissioner Chirang_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","Construction of Boundary wall at Daogafu Club , Amguri Village under Birhangaon VCDC,","12-Jul-2025","1000000","13-Aug-2026"
"275","Normal/Others","WS/MP831/2026-2027/217311-Construction of boundary walls of existing public and community buildings","Assam","CHIRANG(Deputy Commissioner Chirang_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","construction of Boundary wall at Sansri Club and Library under Birhangaon VCDC.","12-Jul-2025","1000000","06-Aug-2026"
"276","Normal/Others","WS/MP831/2026-2027/217312-Construction of boundary walls of existing public and community buildings","Assam","CHIRANG(Deputy Commissioner Chirang_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","Construction of Boundary wall at New Amguri Community Hall near Brahma Mandir.","12-Jul-2025","700000","06-Aug-2026"
"277","Normal/Others","WS/MP831/2026-2027/217515-Construction of boundary walls of existing public and community buildings","Assam","CHIRANG(Deputy Commissioner Chirang_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","Construction of Boundary wall of Rowmari Bodo Sahitya sabha office under Rowmari VCDC.","12-Jul-2025","1000000","22-Jul-2026"
"278","Normal/Others","WS/MP831/2025-2026/217522-Construction of boundary walls of existing public and community buildings","Assam","CHIRANG(Deputy Commissioner Chirang_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","construction of Boundari wall at Anganwadi centre at Salguri village under Bangaldoba VCDC.","12-Jul-2025","1000000","02-Mar-2026"
"279","Normal/Others","WS/MP831/2026-2027/217523-Construction of boundary walls of existing public and community buildings","Assam","CHIRANG(Deputy Commissioner Chirang_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","construction of Boundary at 350 no. Tangabari LP school under Kodamtala VCDC.","12-Jul-2025","1000000","15-May-2026"
"280","Normal/Others","WS/MP831/2026-2027/217557-Construction of boundary walls of existing public and community buildings","Assam","CHIRANG(Deputy Commissioner Chirang_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","Construction of boundary wall at North Kajalgaon Youth club under Kajalgaon VCDC.","12-Jul-2025","1000000","15-May-2026"
"281","Normal/Others","WS/MP831/2026-2027/218039-Construction of boundary walls of existing public and community buildings","Assam","CHIRANG(Deputy Commissioner Chirang_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","Construction of Boundary wall at Daogafu youth Club at Baikhungaon under Sidli Dev. Block.","14-Jul-2025","1000000","15-May-2026"
"282","Normal/Others","WS/MP831/2026-2027/226363-Construction of boundary walls of existing public and community buildings","Assam","CHIRANG(Deputy Commissioner Chirang_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","construction of boundary wall of Bwirathi Club and Library under Roumary VCDC.","11-Aug-2025","1000000","22-Jun-2026"
"283","Normal/Others","NA-Construction of boundary walls of existing public and community buildings","Assam","CHIRANG(Deputy Commissioner Chirang_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","Construction of Boundary wall and sanitary  at North Roumari  community hall under Roumari VCDC.","11-Aug-2025","1200000","NA"
"284","Normal/Others","NA-Construction of boundary walls of existing public and community buildings","Assam","CHIRANG(Deputy Commissioner Chirang_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","Construction of boundary smart fenching at Hasraobari Samabai Samittee, under Birhangaon VCDC, sidli dev. block.","22-Dec-2025","1500000","NA"
"285","Normal/Others","NA-Construction of buildings for community cultural activities","Assam","CHIRANG(Deputy Commissioner Chirang_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","construction of kukurmari cultural stage at kukurmari","12-Jul-2025","1000000","NA"
"286","Normal/Others","NA-Construction of buildings for community cultural activities","Assam","CHIRANG(Deputy Commissioner Chirang_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","construction of Gwjwnpuri Rangjasali jousang near Gwjwnpuri Brahma Mandir.","12-Jul-2025","1000000","NA"
"287","Normal/Others","WS/MP831/2025-2026/217518-Construction of buildings for community cultural activities","Assam","CHIRANG(Deputy Commissioner Chirang_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","construction of Cultural stage at Maigaon thuribari village under Bagaldoba VCDC","12-Jul-2025","1000000","10-Mar-2026"
"288","Normal/Others","NA-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","Assam","CHIRANG(Deputy Commissioner Chirang_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","Construction of Visitor's room with furniture at Senior Superintendent of Police, Chirang.","01-Aug-2026","2500000","NA"
"289","Repair and Renovation","NA-Construction of community centers and community halls","Assam","CHIRANG(Deputy Commissioner Chirang_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","Renovation of Dhaligaon village community centre.","11-Aug-2025","1000000","NA"
"290","Normal/Others","NA-Construction of community centers and community halls","Assam","CHIRANG(Deputy Commissioner Chirang_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","Construction of community Hall near Bodosa Primary  Swarup stiti Prasar sansad under Amguri VCDC","11-Sep-2024","1000000","NA"
"291","Normal/Others","WS/MP831/2025-2026/147103-Construction of community centers and community halls","Assam","CHIRANG(Deputy Commissioner Chirang_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","Construction of New Nilibary Community Hall at New Nilibary under Bangaldaba VCDC.","14-Oct-2024","2000000","26-Aug-2025"
