"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"19","Normal/Others","WS/MP18364/2026-2027/248444-Construction of community centers and community halls","Karnataka","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","Construction of Community Hall. At RTC survey no.531 Hissa-A, plot No.89, CMC ward no.8 in Mudhol city of Mudhol taluk of Bagalkote District.","17-Nov-2025","400000","11-Aug-2026"
"20","Normal/Others","WS/MP18364/2025-2026/248834-Construction of community centers and community halls","Karnataka","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","Construction of Public Community Hall at Property no.303 in Alur L.T. village.","20-Nov-2025","300000","08-Jan-2026"
"21","Normal/Others","NA-Construction of community centers and community halls","Karnataka","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","Construction of Public Community Hall At property no.99 in Siddapur village.","20-Nov-2025","300000","NA"
"22","Normal/Others","NA-Construction of community centers and community halls","Karnataka","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","Construction of Public Community Hall at Property no.138-1A in Hirebadwadagi village of Hunagund taluk.","22-Feb-2026","1000000","NA"
"23","Normal/Others","WS/MP18364/2026-2027/267096-Construction of community centers and community halls","Karnataka","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","Construction of Public Community Hall at Hallur village of Bagalkote taluk.","22-Feb-2026","250000","04-Aug-2026"
"24","Normal/Others","NA-Construction of community centers and community halls","Karnataka","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","Construction of Public Community Hall at Anadinni Village, of Bagalkote taluk.","22-Feb-2026","400000","NA"
"25","Normal/Others","NA-Construction of community centers and community halls","Karnataka","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","Construction of Public Community hall at Property No.648 in Kagalagomba village.","18-Mar-2026","500000","NA"
"26","Normal/Others","NA-Construction of community centers and community halls","Karnataka","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","Construction of Public Community Hall at Property No-531, in Raddera Timmapura  village.","03-Aug-2026","300000","NA"
"27","Normal/Others","NA-Construction of community centers and community halls","Karnataka","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","Construction of Public Community Hall at Property No-89/B, in Kataraki village","03-Aug-2026","300000","NA"
"28","Normal/Others","NA-Construction of community centers and community halls","Karnataka","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","Construction of Public Community Hall at Property No-1535, in Hulyala village.","03-Aug-2026","1000000","NA"
"29","Normal/Others","NA-Construction of community centers and community halls","Karnataka","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","Construction of Public Community Hall at Property No-450/A, in Chittaragi village","03-Aug-2026","300000","NA"
"30","Normal/Others","NA-Construction of community centers and community halls","Karnataka","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","Construction of Public Community Hall at Property No-38, in Jadramakunti LT village.","03-Aug-2026","300000","NA"
"31","Normal/Others","NA-Construction of community centers and community halls","Karnataka","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","Construction of Public Community Hall at Property No-598, in Hunnura village.","03-Aug-2026","500000","NA"
"32","Normal/Others","NA-Construction of community centers and community halls","Karnataka","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","Construction of Public Community Hall at Property No-1708/A, in Kandagalla village.","03-Aug-2026","1000000","NA"
"33","Normal/Others","NA-Construction of community centers and community halls","Karnataka","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","Construction of Public Community Hall at Property No-91, in Gudur (SC) village.","03-Aug-2026","600000","NA"
"34","Trust and Society","NA-Construction of community centers and community halls","Karnataka","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","Construction of Community Hall at At BTDA site serial no. 44, Sector No.25, CMC ward no.29, Navanagar, Bagalkote city.","12-Aug-2026","300000","NA"
"35","Trust and Society","NA-Construction of community centers and community halls","Karnataka","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","Construction of Community Hall at At BTDA site serial no. 45, Sector No.25, CMC ward no.29, Navanagar, Bagalkote city.","12-Aug-2026","300000","NA"
"36","Trust and Society","NA-Construction of community centers and community halls","Karnataka","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","Construction of Community Hall at site size 60' ft and 100' ft, IHSDP Colony, CMC ward no.22, in Bagalkote city.","12-Aug-2026","300000","NA"
"37","Trust and Society","WS/MP18364/2025-2026/172649-Construction of buildings for community cultural activities","Karnataka","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","Construction of cultural Hall.","12-Feb-2025","300000","06-Sep-2025"
"38","Repair and Renovation","WS/MP18364/2025-2026/200413-Construction of rooms and halls in school and colleges","Karnataka","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","Repair and renovation work of government school building.","19-May-2025","1400000","14-Nov-2025"
"39","Repair and Renovation","WS/MP18364/2025-2026/200415-Construction of rooms and halls in school and colleges","Karnataka","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","Repair and renovation work of government school building.","19-May-2025","800000","10-Sep-2025"
"40","Repair and Renovation","NA-Construction of rooms and halls in school and colleges","Karnataka","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","Repair and renovation work of government school building.","19-May-2025","700000","NA"
