"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Elected/Nominated","Image","Completion Date","Amount Disbursed ( ₹ )"
"493","Normal/Others","WS/MP18364/2024-2025/155219-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Construction of Road Development Works.","Shri Narayanasa K. Bhandage (2024-30) (NaN-NaN)","Elected MP","N/A","03-Mar-2025","499466"
"494","Normal/Others","WS/MP18364/2024-2025/155218-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Construction of Road Development Works.","Shri Narayanasa K. Bhandage (2024-30) (NaN-NaN)","Elected MP","N/A","03-Mar-2025","499466"
"495","Normal/Others","WS/MP18364/2024-2025/148318-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Construction of Road Development works.","Shri Narayanasa K. Bhandage (2024-30) (NaN-NaN)","Elected MP","N/A","10-Mar-2025","498707"
"496","Normal/Others","WS/MP18364/2024-2025/148316-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Construction of Road Development works.","Shri Narayanasa K. Bhandage (2024-30) (NaN-NaN)","Elected MP","N/A","10-Mar-2025","499516"
"497","Normal/Others","WS/MP18364/2024-2025/148311-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Construction of Road Development works.","Shri Narayanasa K. Bhandage (2024-30) (NaN-NaN)","Elected MP","N/A","10-Mar-2025","499516"
"498","Normal/Others","WS/MP18364/2024-2025/163814-Construction of boundary walls of existing public and community buildings","Karnataka","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Construction of Boundary wall between Government Sanskrit Mahavidyalaya and PWD Road, at Lapthang ward, under Linkey-Parkha (GPU) of Pakyong District.","Shri Narayanasa K. Bhandage (2024-30) (NaN-NaN)","Elected MP","N/A","20-Mar-2025","2497831"
"499","Normal/Others","WS/MP18364/2024-2025/149987-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","C.C.Road Development work.","Shri Narayanasa K. Bhandage (2024-30) (NaN-NaN)","Elected MP","N/A","29-Mar-2025","499534"
"500","Normal/Others","WS/MP18364/2024-2025/149954-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","C.C.Road Development work.","Shri Narayanasa K. Bhandage (2024-30) (NaN-NaN)","Elected MP","N/A","23-Apr-2025","499534"
"501","Normal/Others","WS/MP18364/2024-2025/149956-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","C.C.Road Development work.","Shri Narayanasa K. Bhandage (2024-30) (NaN-NaN)","Elected MP","N/A","23-Apr-2025","499534"
"502","Normal/Others","WS/MP18364/2025-2026/150624-Construction of common work sheds/ common covered sitting area","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Construction of Truss Work.","Shri Narayanasa K. Bhandage (2024-30) (NaN-NaN)","Elected MP","N/A","23-Apr-2025","499075"
