"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"16","Normal/Others","WS/MP18342/2025-2026/230656-Construction of community centers and community halls","Bihar","VAISHALI(DISTRICT PLANNING OFFICER VAISHALI_IDA)","Shri Sanjay Yadav (2024-30) (2024-2030)","Elected MP","Construction of a community building (large hall) including a borewell hand pump, one toilet, and two urinals on the available government land in the Ramapur Shyamchand panchayat under the Raghopur block.","02-Sep-2025","08-Jan-2026","1499000","Sanction"
"17","Normal/Others","WS/MP18342/2026-2027/230657-Construction of community centers and community halls","Bihar","VAISHALI(DISTRICT PLANNING OFFICER VAISHALI_IDA)","Shri Sanjay Yadav (2024-30) (2024-2030)","Elected MP","Construction of a community building (large hall) with a borewell hand pump, one toilet, and two urinals on the government land available in Fatehpur Panchayat under Raghopur Block.","02-Sep-2025","15-May-2026","1499000","Sanction"
"18","Normal/Others","WS/MP18342/2026-2027/230658-Construction of community centers and community halls","Bihar","VAISHALI(DISTRICT PLANNING OFFICER VAISHALI_IDA)","Shri Sanjay Yadav (2024-30) (2024-2030)","Elected MP","Construction of a community building (large hall) with a borewell pump, one toilet, and two urinals on the available government land in Chandpura Panchayat under Raghopur Block.","02-Sep-2025","17-Jul-2026","1499000","Sanction"
"19","Normal/Others","WS/MP18342/2025-2026/230659-Construction of community centers and community halls","Bihar","VAISHALI(DISTRICT PLANNING OFFICER VAISHALI_IDA)","Shri Sanjay Yadav (2024-30) (2024-2030)","Elected MP","Construction of a community building (large hall) with a borewell pump, one toilet, and two urinals on the available government land in the Pahadpur pashchimi Panchayat under the Raghopur Block.","02-Sep-2025","07-Jan-2026","1499000","Sanction"
"20","Normal/Others","WS/MP18342/2025-2026/230660-Construction of community centers and community halls","Bihar","VAISHALI(DISTRICT PLANNING OFFICER VAISHALI_IDA)","Shri Sanjay Yadav (2024-30) (2024-2030)","Elected MP","Construction of a borewell hand pump, one toilet, two urinals, and a community building (large hall) on the available government land in the Paharpur purvi Panchayat under the Raghopur block.","02-Sep-2025","07-Jan-2026","1499000","Sanction"
"21","Normal/Others","WS/MP18342/2025-2026/230663-Construction of community centers and community halls","Bihar","VAISHALI(DISTRICT PLANNING OFFICER VAISHALI_IDA)","Shri Sanjay Yadav (2024-30) (2024-2030)","Elected MP","Construction of a community building (large hall) along with a borewell, a toilet, and two urinals on the available government land in the Judabanpur Karari Panchayat under the Raghopur block.","02-Sep-2025","07-Jan-2026","1499000","Sanction"
"22","Normal/Others","WS/MP18342/2025-2026/230664-Construction of community centers and community halls","Bihar","VAISHALI(DISTRICT PLANNING OFFICER VAISHALI_IDA)","Shri Sanjay Yadav (2024-30) (2024-2030)","Elected MP","Construction of a community building (large hall) along with a borewell, a toilet, and two urinals on the available government land in Judabanpur Barari Panchayat under the Raghopur block.","02-Sep-2025","07-Jan-2026","1499000","Sanction"
"23","Normal/Others","WS/MP18342/2025-2026/230665-Construction of community centers and community halls","Bihar","VAISHALI(DISTRICT PLANNING OFFICER VAISHALI_IDA)","Shri Sanjay Yadav (2024-30) (2024-2030)","Elected MP","Construction of a community building (large hall) with a borewell pump, one toilet, and two urinals on the available government land in Chaksinghar Panchayat under Raghopur Block.","02-Sep-2025","07-Jan-2026","1499000","Sanction"
"24","Normal/Others","WS/MP044/2025-2026/232456-Construction of community centers and community halls","Bihar","ARWAL(District Planning Officer Arwal_IDA)","Shri Akhilesh Prasad Singh (2024-30) (2024-2030)","Elected MP","construction of Community building near Jhunathi Mahadev temple in Nagwan Panchayat of Karpi Balok Arwal district","09-Sep-2025","20-Dec-2025","996971","Physical Inspection"
"25","Normal/Others","WS/MP18342/2025-2026/238628-Construction of community centers and community halls","Bihar","VAISHALI(DISTRICT PLANNING OFFICER VAISHALI_IDA)","Shri Sanjay Yadav (2024-30) (2024-2030)","Elected MP","Construction of a community building on the available land in Kanchanpur Panchayat under Bidupur block, including one borewell with hand pump, one toilet, two urinals, one room (12 x 10), and one large hall.","27-Sep-2025","10-Feb-2026","1499000","Sanction"
"26","Normal/Others","WS/MP18342/2025-2026/238630-Construction of community centers and community halls","Bihar","VAISHALI(DISTRICT PLANNING OFFICER VAISHALI_IDA)","Shri Sanjay Yadav (2024-30) (2024-2030)","Elected MP","Construction of a community building on the available land in Mayil Panchayat under Bidupur block, including one borewell with hand pump, one toilet, two urinals, one room (12 x 10), and one large hall.","27-Sep-2025","06-Feb-2026","1499000","Sanction"
"27","Normal/Others","WS/MP18342/2025-2026/238631-Construction of community centers and community halls","Bihar","VAISHALI(DISTRICT PLANNING OFFICER VAISHALI_IDA)","Shri Sanjay Yadav (2024-30) (2024-2030)","Elected MP","Construction of a community building on the available land in Daudnagar Panchayat under Bidupur block, including one borewell with hand pump, one toilet, two urinals, one room (12 x 10), and one large hall.","27-Sep-2025","10-Feb-2026","1499000","Sanction"
"28","Normal/Others","WS/MP052/2026-2027/282211-Construction of community centers and community halls","Bihar","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","Shri Satish Chandra Dubey (2022-28) (2022-2028)","Elected MP","Construction of Community Hall in Nagarparishad narkatiyaganj, ward no-19, west champaran bihar","20-May-2026","10-Jul-2026","1499000","Sanction"
"29","Normal/Others","WS/MP18459/2026-2027/294419-Construction of community centers and community halls","Bihar","BANKA(DISTRICT PLANNING OFFICER BANKA_IDA)","Shri Ram Nath Thakur (2026-32) (2026-2032)","Elected MP","Construction of a community hall in Village Gadichak Assi (Singhiya Tola), Ward No. 15, Batsar Panchayat, Dhoraiya Block","12-Jul-2026","10-Aug-2026","1499300","Sanction"
