"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"730","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP052/2025-2026/238704","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","Shri Satish Chandra Dubey (2022-28) (2022-2028)","Elected MP","10-Apr-2026","ASSISTANT ENGINEER LAURIYA","Payment Success","596094"
"731","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP052/2025-2026/238705","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","Shri Satish Chandra Dubey (2022-28) (2022-2028)","Elected MP","27-Feb-2026","ASSISTANT ENGINEER MPLADS VALMIKINAGAR","Payment Success","698508"
"732","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP052/2025-2026/238706","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","Shri Satish Chandra Dubey (2022-28) (2022-2028)","Elected MP","16-Feb-2026","ASSISTANT ENGINEER NARKATIYAGINJ","Payment Success","697515"
"733","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP052/2025-2026/240293","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","Shri Satish Chandra Dubey (2022-28) (2022-2028)","Elected MP","15-May-2026","ASSISTANT ENGINEER BAGAHA LEGISLATIVE","Payment Success","596283"
"734","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP052/2025-2026/240294","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","Shri Satish Chandra Dubey (2022-28) (2022-2028)","Elected MP","13-Feb-2026","ASSISTANT ENGINEER BAGAHA LEGISLATIVE","Payment Success","591823"
"735","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP052/2025-2026/240299","PURBI CHAMPARAN(DISTRICT PLANNING OFFICER MOTHIHARI EAST CHAMPARAN_IDA)","Shri Satish Chandra Dubey (2022-28) (2022-2028)","Elected MP","28-Aug-2026","ABHISHEK KUMAR UPADHYAY","Payment In-Progress","993283"
"736","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP052/2025-2026/240300","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","Shri Satish Chandra Dubey (2022-28) (2022-2028)","Elected MP","02-Apr-2026","ASSISTANT ENGINEER MPLADS RAMNAGAR","Payment Success","598801"
"737","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP052/2025-2026/240303","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","Shri Satish Chandra Dubey (2022-28) (2022-2028)","Elected MP","18-Mar-2026","ASSISTANT ENGINEER MPLADS RAMNAGAR","Payment Success","594719"
"738","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP052/2025-2026/240322","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","Shri Satish Chandra Dubey (2022-28) (2022-2028)","Elected MP","27-Feb-2026","ASSISTANT ENGINEER MPLADS VALMIKINAGAR","Payment Success","699978"
"739","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP052/2025-2026/240328","PURBI CHAMPARAN(DISTRICT PLANNING OFFICER MOTHIHARI EAST CHAMPARAN_IDA)","Shri Satish Chandra Dubey (2022-28) (2022-2028)","Elected MP","19-May-2026","NITESH KUMAR MISHRA","Payment Success","991333"
"740","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP052/2025-2026/256424","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","Shri Satish Chandra Dubey (2022-28) (2022-2028)","Elected MP","10-Apr-2026","ASSISTANT ENGINEER NARKATIYAGINJ","Payment Success","748071"
"741","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP052/2025-2026/256427","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","Shri Satish Chandra Dubey (2022-28) (2022-2028)","Elected MP","27-Feb-2026","ASSISTANT ENGINEER NARKATIYAGINJ","Payment Success","1247456"
"742","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP052/2025-2026/256428","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","Shri Satish Chandra Dubey (2022-28) (2022-2028)","Elected MP","26-Feb-2026","ASSISTANT ENGINEER NARKATIYAGINJ","Payment Success","497266"
"743","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP052/2025-2026/256429","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","Shri Satish Chandra Dubey (2022-28) (2022-2028)","Elected MP","20-May-2026","ASSISTANT ENGINEER MPLADS VALMIKINAGAR","Payment Success","673255"
"744","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP052/2025-2026/256430","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","Shri Satish Chandra Dubey (2022-28) (2022-2028)","Elected MP","10-Apr-2026","ASSISTANT ENGINEER CHANPTIYA","Payment Success","990627"
"745","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP052/2025-2026/256432","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","Shri Satish Chandra Dubey (2022-28) (2022-2028)","Elected MP","21-May-2026","ASSISTANT ENGONEER BETTIAH","Payment Success","889250"
"746","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP052/2025-2026/256433","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","Shri Satish Chandra Dubey (2022-28) (2022-2028)","Elected MP","13-Jun-2026","ASSISTANT ENGINEER MPLADS VALMIKINAGAR","Payment Success","899887"
"747","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP052/2025-2026/256434","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","Shri Satish Chandra Dubey (2022-28) (2022-2028)","Elected MP","08-Apr-2026","ASSISTANT ENGINEER BAGAHA LEGISLATIVE","Payment Success","591720"
"748","Bihar","Construction of common work sheds/ common covered sitting area","WS/MP052/2025-2026/256435","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","Shri Satish Chandra Dubey (2022-28) (2022-2028)","Elected MP","09-May-2026","ASSISTANT ENGONEER BETTIAH","Payment Success","299020"
"749","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP052/2025-2026/266305","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","Shri Satish Chandra Dubey (2022-28) (2022-2028)","Elected MP","06-Jul-2026","ASSISTANT ENGINEER BAGAHA LEGISLATIVE","Payment Success","998852"
"750","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP052/2025-2026/266309","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","Shri Satish Chandra Dubey (2022-28) (2022-2028)","Elected MP","06-Jul-2026","ASSISTANT ENGINEER BAGAHA LEGISLATIVE","Payment Success","648363"
