"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"230","Normal/Others","WS/MP171/2025-2026/207789-Providing drains and gutters for public drainage","Telangana","YADADRI BHUVANAGIRI(DISTRICT COLLECTOR YADADRI BHUVANAGIRI_IDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","Construction of Side Drain from ZP High School Backside to Nemmoju Lingachary(H) in Kotamarthy(V), Addagudur(M), Yadadri Bhongir District.","10-Jun-2025","02-Sep-2025","200000","Sanction"
"231","Normal/Others","WS/MP18374/2026-2027/214032-Providing drains and gutters for public drainage","Telangana","MAHABUBNAGAR(DISTRICT COLLECTOR MAHABUBNAGAR_3)","Shri Anil Kumar Yadav Mandadi (2024-30) (2024-2030)","Elected MP","Construction of Drain from Boya Ram Chandramma (h) to Vadde Chennamma (H) via Sale Venkatramulu (H) and Goverdhan Goud (H) in B C Colony at Komireddypally Village of Musapet (M), Mahabubnagar District.","02-Jul-2025","16-May-2026","500000","Sanction"
"232","Normal/Others","WS/MP18374/2026-2027/214033-Providing drains and gutters for public drainage","Telangana","MAHABUBNAGAR(DISTRICT COLLECTOR MAHABUBNAGAR_3)","Shri Anil Kumar Yadav Mandadi (2024-30) (2024-2030)","Elected MP","Construction of Drain from Edigi Sugunamma (H) to Patel Shyamalamma (H) Via Baggi Shantanna (H) at Komiredypally Village of Musapet (M), Mahabubnagar District.","02-Jul-2025","16-May-2026","500000","Sanction"
"233","Normal/Others","WS/MP846/2025-2026/136904-Construction of public toilets and bathrooms","Telangana","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","C/o Toilets at Library in Korutla (m)","28-Aug-2024","03-Jan-2026","150000","Work Completed"
"234","Normal/Others","WS/MP171/2026-2027/203564-Construction of public irrigation facilities","Telangana","YADADRI BHUVANAGIRI(DISTRICT COLLECTOR YADADRI BHUVANAGIRI_IDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","Construction of Side Drain from Kathula Kamalamma(H) to Kathula Yadamma(H) at Lingavarigudem(V), Narayanapur(M), Yadadri Bhongir Dist.","25-May-2025","19-May-2026","499000","Physical Inspection"
"235","Normal/Others","WS/MP171/2026-2027/261930-Construction of public irrigation facilities","Telangana","YADADRI BHUVANAGIRI(DISTRICT COLLECTOR YADADRI BHUVANAGIRI_IDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","Construction of Side Drain from Kathula Yadamma(H)  to milk Center at Lingavarigudem(V), Narayanapur(M), Yadadri Bhongir Dist.","26-Jan-2026","19-May-2026","250000","Physical Inspection"
"236","Normal/Others","WS/MP171/2026-2027/261931-Construction of public irrigation facilities","Telangana","YADADRI BHUVANAGIRI(DISTRICT COLLECTOR YADADRI BHUVANAGIRI_IDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","Construction of Side Drain from Murali Mohan (H) to Milk Center at Lingavarigudem(V), Narayanapur(M), Yadadri Bhongir Dist.","26-Jan-2026","19-May-2026","250000","Physical Inspection"
"237","Normal/Others","WS/MP171/2026-2027/286358-Construction of public irrigation facilities","Telangana","WANAPARTHY(DISTRICT COLLECTOR WANAPARTHY_IDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","Construction of Drain from Balakishta Reddy(H) to Chakali Kondamma(H) at Konimetta(V), Kothakota(M), Wanaparthy(D)","17-Jun-2026","15-Jul-2026","350000","Sanction"
"238","Normal/Others","WS/MP171/2026-2027/286359-Construction of public irrigation facilities","Telangana","WANAPARTHY(DISTRICT COLLECTOR WANAPARTHY_IDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","Construction of Culvert near Yerra Boyya Balanna Land at Konimetta(V), Kothakota(M), Wanaparthy(D)","17-Jun-2026","15-Jul-2026","400000","Sanction"
"239","Normal/Others","WS/MP18381/2026-2027/261214-Construction of rainwater harvesting structures","Telangana","KHAMMAM(DISTRICT COLLECTOR KHAMMAM_IDA)","Smt. Renuka Chowdhury (2024-30) (2024-2030)","Elected MP","Construction of Drainage from Meda Krishna House to Dumpa Krishna Bazaar at Mallupally village, Konijerla Mandal, Khammam District, Telangana","23-Jan-2026","18-Jun-2026","500000","Sanction"
