"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"18","Normal/Others","NA-Purchase of vans and buses for educational institutions","Goa","NORTH GOA(DISTRICT COLLECTOR NORTH GOA_IDA)","Shri Sadanand Mhalu Shet Tanavade (2023-29) (2023-2029)","Elected MP","School bus for Harmal Panchakroshi High School, Harmal, Pernem, North Goa, Goa, 403524.","07-May-2025","3035527","NA"
"19","Normal/Others","NA-Purchase of vans and buses for educational institutions","Goa","NORTH GOA(DISTRICT COLLECTOR NORTH GOA_IDA)","Shri Sadanand Mhalu Shet Tanavade (2023-29) (2023-2029)","Elected MP","School Bus for Bal Bharti Vidhya Mandir, Ribandar, Tiswadi, Goa.","28-May-2025","3168291","NA"
"20","Normal/Others","WS/MP885/2025-2026/204323-Purchase of vans and buses for educational institutions","Goa","SOUTH GOA(DISTRICT COLLECTOR SOUTH GOA_IDA)","Shri Sadanand Mhalu Shet Tanavade (2023-29) (2023-2029)","Elected MP","School Bus for International Sadguru Gurukulum, Tapobhoomi, Opp. Kundaim Industrial Estate, Kundaim, Ponda, Goa.","28-May-2025","2481288","30-Sep-2025"
"21","Normal/Others","NA-Purchase of vans and buses for educational institutions","Goa","NORTH GOA(DISTRICT COLLECTOR NORTH GOA_IDA)","Shri Sadanand Mhalu Shet Tanavade (2023-29) (2023-2029)","Elected MP","School Bus for Siddharth Bandodkar Higher Secondary School, Velguem, Bicholim, North Goa.","23-Sep-2025","2566563","NA"
"22","Normal/Others","NA-Purchase of vans and buses for educational institutions","Goa","NORTH GOA(DISTRICT COLLECTOR NORTH GOA_IDA)","Shri Sadanand Mhalu Shet Tanavade (2023-29) (2023-2029)","Elected MP","School Bus for Shri Dayanand Arya High School, Neura, Ilhas, North Goa, Goa.","09-Dec-2025","2565800","NA"
"23","Normal/Others","WS/MP885/2026-2027/252993-Purchase of vans and buses for educational institutions","Goa","SOUTH GOA(DISTRICT COLLECTOR SOUTH GOA_IDA)","Shri Sadanand Mhalu Shet Tanavade (2023-29) (2023-2029)","Elected MP","School bus for Chetna Education Society School for Special Children, H. No. 915, Near Govt ITI, Soliem Road, Kakoda, Curchorem, Goa 403706.","09-Dec-2025","2368066","19-Jun-2026"
"24","Normal/Others","NA-Purchase of vans and buses for educational institutions","Goa","NORTH GOA(DISTRICT COLLECTOR NORTH GOA_IDA)","Shri Sadanand Mhalu Shet Tanavade (2023-29) (2023-2029)","Elected MP","School Bus for Keshava Seva Sadhana, Narayan Zantye School for Special Children, Vathadev, Sarvan, Bicholim. North Goa, Goa.","09-Dec-2025","2636654","NA"
"25","Normal/Others","NA-Purchase of vans and buses for educational institutions","Goa","NORTH GOA(DISTRICT COLLECTOR NORTH GOA_IDA)","Shri Sadanand Mhalu Shet Tanavade (2023-29) (2023-2029)","Elected MP","Purchase of School Bus for Smt. Sunandabai Bandodkar High School, Carambolim, Tiswadi, North Goa District, Goa.","21-Feb-2026","2579500","NA"
"26","Normal/Others","WS/MP885/2026-2027/270307-Purchase of vans and buses for educational institutions","Goa","SOUTH GOA(DISTRICT COLLECTOR SOUTH GOA_IDA)","Shri Sadanand Mhalu Shet Tanavade (2023-29) (2023-2029)","Elected MP","School Bus for Swami Vivekanand Vidyaprasarak Mandals College of Commerce Shirshire Borim Ponda South Goa District Goa 403401.","23-Feb-2026","2680600","21-Jul-2026"
"27","Normal/Others","NA-Purchase of vans and buses for educational institutions","Goa","SOUTH GOA(DISTRICT COLLECTOR SOUTH GOA_IDA)","Shri Sadanand Mhalu Shet Tanavade (2023-29) (2023-2029)","Elected MP","School Bus for Shiksha Sadan High School, Pirol, Mardol, Ponda, North Goa, Goa 403404","21-Apr-2026","2424897","NA"
