"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Elected/Nominated","Image","Completion Date","Amount Disbursed ( ₹ )"
"17","Normal/Others","WS/MP139/2024-2025/103177-Construction of roads, link roads, pathways or any other road with or without drainage system","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Providing CC road to Raman street and Sundaravinayagar street at Mahatma nagar in Thattanchavady constituency","Shri S. Selvaganabathy (2021-27) (NaN-NaN)","Elected MP","Images","01-Aug-2024","904645"
"18","Normal/Others","WS/MP139/2023-2024/40610-Purchase of vans and buses for educational institutions","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Purchase of 38+1 seater bus - Make : SML-ISUZU:S7 5100 SDX BUS 38+1 - HIGHBACK SEATER BS6.","Shri S. Selvaganabathy (2021-27) (NaN-NaN)","Elected MP","Images","22-Oct-2024",""
"19","Normal/Others","WS/MP139/2024-2025/133777-Construction of roads, link roads, pathways or any other road with or without drainage system","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Reconstruction of canal at Gandhithirunallur in Indira nagar constituency, Puducherry. (Phase-I).","Shri S. Selvaganabathy (2021-27) (NaN-NaN)","Elected MP","Images","06-Feb-2025","3000000"
"20","Normal/Others","WS/MP139/2023-2024/58554-Construction of night shelters for homeless","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Construction of Shelter in the approach road upto Sankaraparani river at Thirukanji in Mangalam Constituency.","Shri S. Selvaganabathy (2021-27) (NaN-NaN)","Elected MP","Images","20-Mar-2025","2346691"
"21","Normal/Others","WS/MP139/2025-2026/133778-Construction of roads, link roads, pathways or any other road with or without drainage system","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Providing road and drainage facilities to the Roja nagar at Kodathur Manavely village in Mannadipet Constituency.","Shri S. Selvaganabathy (2021-27) (NaN-NaN)","Elected MP","N/A","26-May-2025","2880886"
"22","Normal/Others","WS/MP139/2025-2026/136388-Establishing public ground water recharging facilities","Puducherry","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","Deepening / De-Silting of the pond in Keezhanthaangal lake at Rajanthaangal Village in Ward No. 12 of Kilpennathur Block in Thiruvannamalai District, Tamilnadu State, to augment water storage capacity in the area.","Shri S. Selvaganabathy (2021-27) (NaN-NaN)","Elected MP","N/A","19-Sep-2025","2492724"
"23","Normal/Others","WS/MP139/2025-2026/158705-Construction of public libraries and reading rooms","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Construction of Government Library Building at Veerampattinam street, Ariyankuppam revenue village in Ariyankuppam Constituency.","Shri S. Selvaganabathy (2021-27) (NaN-NaN)","Elected MP","N/A","12-Aug-2025","6132524"
"24","Normal/Others","WS/MP139/2024-2025/134087-Purchase of ambulances (Four, three and two wheelers)","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","1. 	Mahindra-Bolero Maxx Pik up – 1.3 VX Load carrier without closed container for transportation of medicines by the Government Hospitals in Puducherry 2.	Fabrication work for fixing closed container in the vehicle to carry medicines safely.","Shri S. Selvaganabathy (2021-27) (NaN-NaN)","Elected MP","Images","19-Aug-2025","2666400"
"25","Normal/Others","WS/MP139/2024-2025/141428-Construction of roads, link roads, pathways or any other road with or without drainage system","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Improvements to road and drainage works in Amaithi nagar, Kurumampet of Oussudu Constituency","Shri S. Selvaganabathy (2021-27) (NaN-NaN)","Elected MP","Images","22-Sep-2025","2284583"
"26","Normal/Others","WS/MP139/2025-2026/136374-Purchase of training equipment","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Purchase of power loom- Jayanti 4X1 under pik butter type “60” -11 Nos and ""70"" - 1 No. looms with wood salay along with accessories and equipments - 12 sets","Shri S. Selvaganabathy (2021-27) (NaN-NaN)","Elected MP","Images","17-Oct-2025","2935950"
"27","Normal/Others","WS/MP139/2025-2026/103180-Construction of roads, link roads, pathways or any other road with or without drainage system","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Improvements to Saravana Iruppu street, Ponbethy village in Nedungadu Commune Panchayat in Karaikal region","Shri S. Selvaganabathy (2021-27) (NaN-NaN)","Elected MP","Images","05-Dec-2025","2670157"
"28","Normal/Others","WS/MP139/2025-2026/141429-Construction of roads, link roads, pathways or any other road with or without drainage system","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Providing and laying of CC roads and reconstruction of drains in Brahmandam nagar (Phase II) in Yanam region","Shri S. Selvaganabathy (2021-27) (NaN-NaN)","Elected MP","Images","12-Dec-2025","3728829"
"29","Normal/Others","WS/MP139/2024-2025/134713-Construction of roads, link roads, pathways or any other road with or without drainage system","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Providing cement concrete road to the main road of Isravel nagar at Gorimedu in Indira nagar Constituency, Puducherry.","Shri S. Selvaganabathy (2021-27) (NaN-NaN)","Elected MP","Images","30-Dec-2025","2833040"
"30","Normal/Others","WS/MP139/2025-2026/229073-Providing CCTV camera system for security of public areas","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Installation of CCTV cameras in the premises of                           Navalar Nedunchezhian Govt. Hr. Sec. School, Puducherry.","Shri S. Selvaganabathy (2021-27) (NaN-NaN)","Elected MP","Images","09-Feb-2026","353646"
"31","Normal/Others","WS/MP139/2025-2026/229074-Installing community drinking water plants","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Installation of 500 LPH Reverse osmosis based water treatment plant at Navalar Nedunchezhian Govt. Hr. Sec. School, Puducherry.","Shri S. Selvaganabathy (2021-27) (NaN-NaN)","Elected MP","Images","09-Feb-2026","252700"
"32","Normal/Others","WS/MP139/2026-2027/190730-Construction of roads, link roads, pathways or any other road with or without drainage system","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Forming and providing WBM Grade I to the main and internal streets of Lakshmi Narasimmar nagar near Gopalankadai in Oulgaret Constituency","Shri S. Selvaganabathy (2021-27) (NaN-NaN)","Elected MP","Images","15-May-2026","2734240"
"Grand Total"," "," "," "," "," "," "," "," "," ","7,31,22,911"
