"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"17","Normal/Others","NA-Purchase of IT systems, including hardware and software for educational purposes","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Setting up of E-library to Pondicherry Bar Association","22-May-2026","1150000","NA"
"18","Normal/Others","WS/MP139/2026-2027/285062-Purchase of IT systems, including hardware and software for educational purposes","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Installation of BenQ Interactive flat panel board at                      Navalar Nedunchezhian Govt. Higher Secondary School, Lawspet, Puducherry.","14-Jun-2026","550000","29-Jul-2026"
"19","Normal/Others","NA-Purchase of books and periodicals for libraries/digitization of library books","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","French Inthiya Viduthalai poraatam","26-Sep-2025","345000","NA"
"20","Normal/Others","NA-Purchase of books and periodicals for libraries/digitization of library books","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","French Inthiya Francilirundhu viduvippum inthiyavudan inaippum","26-Sep-2025","150000","NA"
"21","Normal/Others","NA-Purchase of books and periodicals for libraries/digitization of library books","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Puducheriyin adaiyaalangal","26-Sep-2025","180000","NA"
"22","Normal/Others","NA-Purchase of books and periodicals for libraries/digitization of library books","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Thamizhan Thalai nimirnthu vaazha -","23-Jan-2026","90000","NA"
"23","Normal/Others","NA-Purchase of books and periodicals for libraries/digitization of library books","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Kanal","23-Jan-2026","69000","NA"
"24","Normal/Others","NA-Purchase of books and periodicals for libraries/digitization of library books","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Thesame azhu, vizhi, ezhu","23-Jan-2026","36000","NA"
"25","Normal/Others","NA-Purchase of books and periodicals for libraries/digitization of library books","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Ungalai uyarthum oru nimida kathaigal","23-Jan-2026","60000","NA"
"26","Normal/Others","NA-Purchase of books and periodicals for libraries/digitization of library books","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Appa endrar Arimaa","23-Jan-2026","51000","NA"
