"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"14","Normal/Others","WS/MP233/2026-2027/280801-Construction of bus-sheds or bus-stops","Nagaland","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","Construction of waiting or bus sheds will provide Significant practical benefits in rural hilly village especially in region like Nagaland India where roads are winding, public transport is infrequent, weather is unpredictable and villages are often remote benefits protection from harsh weather, shelter from rain, wind extreme heat. this waiting shed will be as multipurpose use and low cost community asset.","15-May-2026","19-May-2026","3500000","Work partially Completed"
"15","Normal/Others","WS/MP233/2025-2026/225201-Providing CCTV camera system for security of public areas","Nagaland","KOHIMA(DEPUTY COMMISIONER_7)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","The installation of ANPR camera has become a necessity in the state of Nagaland. This will provide specific information about the movement of vehicle to maintain law and order in the state. It will also act as a deterrent to criminals trying to commit crimes and will help the police force in executing their duty effectively and efficiently","05-Aug-2025","18-Dec-2025","2000000","Work partially Completed"
"16","Normal/Others","WS/MP233/2023-2024/56790-Construction of rooms and halls in school and colleges","Nagaland","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","Construction of Multipurpose Hall at Langsa Hill School.","05-Dec-2023","22-Dec-2023","10000000","Physical Inspection"
"17","Normal/Others","WS/MP233/2023-2024/56811-Construction of rooms and halls in school and colleges","Nagaland","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","Construction of Hall at Konjong School.","05-Dec-2023","22-Dec-2023","5000000","Physical Inspection"
"18","Normal/Others","WS/MP233/2024-2025/133819-Purchase of IT systems, including hardware and software for educational purposes","Nagaland","PEREN(Deputy Commissioner Peren_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","Upgradation of Computer Infrastructure at St. Xavier College","20-Jul-2024","07-Sep-2024","1500000","Physical Inspection"
"19","Normal/Others","WS/MP233/2025-2026/248292-Purchase of vehicles for mobile libraries","Nagaland","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","Mobile Libraries for Mon District in order to upliftment and development of Konyak dialect.","14-Nov-2025","17-Jan-2026","1000000","Physical Inspection"
"20","Normal/Others","WS/MP233/2024-2025/133828-Purchase of training equipment","Nagaland","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","Upgradation of Weaving Infrastructure","20-Jul-2024","06-Oct-2024","300000","Physical Inspection"
"21","Normal/Others","WS/MP233/2025-2026/225203-Installing tube-wells and borewells","Nagaland","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","Wangkhao College, the only government college in the district catering to approximately six hundred students has acute shortage of water supply in the campus. Hence, the construction of bore well and installation of a filtration system will help facilitate the supply of proper drinking water to the faculty and students","05-Aug-2025","03-Sep-2025","2000000","Physical Inspection"
"22","Normal/Others","WS/MP233/2024-2025/133827-Construction of water tanks","Nagaland","TUENSANG(Deputy Commissioner Tuensang_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","Water Tank at Tuensang Town Cemetery","20-Jul-2024","19-Oct-2024","2000000","Physical Inspection"
"23","Normal/Others","WS/MP233/2025-2026/230257-Construction of water tanks","Nagaland","TUENSANG(Deputy Commissioner Tuensang_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","Water Reservoir tank is very important for the colony where there are more than 100 house hold. Therefore, construction of water tank size of 50x50 reservoir in the ward is a need of the hour, where the peoples depend on it.","29-Aug-2025","01-Dec-2025","1000000","Physical Inspection"
"24","Normal/Others","WS/MP233/2026-2027/285801-Construction of water tanks","Nagaland","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","The completed water tank will enhance water availability and storage capacity for around 500 households in Shantham Ward, supporting improved sanitation, hygiene, and community welfare.. Construction of tank structure using suitable materials to ensure strength, durability, and water-tightness. Installation of inlet, outlet, overflow, and distribution arrangements. Plastering, waterproofing, and finishing works to maintain water quality and reduce leakage. Necessary pipeline connections.","16-Jun-2026","15-Jul-2026","312000","Work partially Completed"
"25","Normal/Others","WS/MP233/2023-2024/56815-Providing drains and gutters for public drainage","Nagaland","LONGLENG(Deputy Commissioner Longleng_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","Providing drain and gutters for public drainage.","05-Dec-2023","27-Feb-2024","1000000","Physical Inspection"
"26","Normal/Others","WS/MP233/2024-2025/133816-Providing drains and gutters for public drainage","Nagaland","KOHIMA(DEPUTY COMMISIONER_7)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","Construction of Drainage","20-Jul-2024","19-Dec-2024","1000000","Physical Inspection"
"27","Normal/Others","WS/MP233/2024-2025/133817-Providing drains and gutters for public drainage","Nagaland","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","Construction of Drainage","20-Jul-2024","12-Sep-2024","3000000","Physical Inspection"
"28","Normal/Others","WS/MP233/2024-2025/133822-Providing drains and gutters for public drainage","Nagaland","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","Construction of Drainage below Vinngoi","20-Jul-2024","29-Nov-2024","1000000","Physical Inspection"
"29","Normal/Others","WS/MP233/2025-2026/249134-Providing drains and gutters for public drainage","Nagaland","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","The construction of this CRSM drain will greatly benefit the locality as it serves as the primary outlet for stormwater and wastewater from the main bazaar, improving drainage and reducing flooding risks.","18-Nov-2025","09-Dec-2025","1040000","Physical Inspection"
"30","Normal/Others","WS/MP233/2025-2026/251284-Providing drains and gutters for public drainage","Nagaland","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","Construction of Medium scale stormwater, wastewater drainage system with open RCC drains will benefits. prevents water accumulation that leads to water logging and soil erosion. prevent contamination of drinking water sources by keeping sewage and waste water separate from clean water, prevents soil erosion.","29-Nov-2025","09-Dec-2025","3500000","Physical Inspection"
"31","Normal/Others","WS/MP233/2023-2024/56818-Construction of public toilets and bathrooms","Nagaland","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","Construction of Public Toilet","05-Dec-2023","22-Dec-2023","1000000","Physical Inspection"
"32","Normal/Others","WS/MP233/2024-2025/56847-Construction of public toilets and bathrooms","Nagaland","PEREN(Deputy Commissioner Peren_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","Construction of Public Toilet.","05-Dec-2023","08-Aug-2024","1000000","Physical Inspection"
"33","Normal/Others","WS/MP233/2025-2026/227148-Construction of public toilets and bathrooms","Nagaland","KOHIMA(DEPUTY COMMISIONER_7)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","The construction of toilet facility at Ruzhukhrie government school would provide clean and accessible toilet facilities ensuring comfort and hygiene for the students.","23-Aug-2025","09-Dec-2025","1000000","Physical Inspection"
"34","Normal/Others","WS/MP233/2025-2026/225205-Providing garbage collection and disposal systems","Nagaland","PHEK(Deputy Commissioner Phek_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","The construction of waste management unit at khezhakeno village will help the villagers to dispose the waste accumulated in the village in a scientific way. This will help keep the environment clean and healthy.","05-Aug-2025","31-Oct-2025","500000","Physical Inspection"
"35","Normal/Others","WS/MP233/2023-2024/56830-Construction of public irrigation facilities","Nagaland","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","Construction of Irrigation canal and dam.","05-Dec-2023","17-Dec-2023","4000000","Physical Inspection"
"36","Normal/Others","WS/MP233/2024-2025/133818-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Nagaland","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","Prevention of Agricultural Land Erosion and Flood at Tizit River","20-Jul-2024","31-Jul-2024","25000000","Physical Inspection"
"37","Normal/Others","WS/MP233/2026-2027/297499-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Nagaland","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","NA","21-Jul-2026","24-Jul-2026","9500000","Work partially Completed"
"38","Normal/Others","WS/MP233/2026-2027/281628-Setting up processing plants, cold storages,etc for fish and fisheries products for community use","Nagaland","WOKHA(Deputy Commissioner Wokha_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","Construction of Fishery Project at Longjung Village, Bhandari, Wokha The proposed fishery project aims to develop a sustainable and eco-friendly fish farming system in hilly areas by utilizing available natural water resources and suitable land conditions. The project will support livelihood generation, improve local fish production, and promote rural economic development. Site Development, Land clearing, levelling, and slope stabilization. Construction of access pathways and drainage systems.","18-May-2026","24-Jun-2026","4264000","Work partially Completed"
"39","Normal/Others","WS/MP233/2026-2027/281641-Setting up processing plants, cold storages,etc for fish and fisheries products for community use","Nagaland","WOKHA(Deputy Commissioner Wokha_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","Construction of Fishery Project at Liphi,Khumsu Village, Bhandari, Wokha The proposed fishery project aims to develop a sustainable and eco-friendly fish farming system in hilly areas by utilizing available natural water resources and suitable land conditions. The project will support livelihood generation, improve local fish production, and promote rural economic development. Site Development, Land clearing, levelling, and slope stabilization. Construction of access pathways and drainage system","18-May-2026","24-Jun-2026","4680000","Work partially Completed"
"40","Normal/Others","WS/MP233/2026-2027/281649-Setting up processing plants, cold storages,etc for fish and fisheries products for community use","Nagaland","WOKHA(Deputy Commissioner Wokha_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","Construction of Fishery Project at Longjung Village, Bhandari, Wokha The proposed fishery project aims to develop a sustainable and eco-friendly fish farming system in hilly areas by utilizing available natural water resources and suitable land conditions. The project will support livelihood generation, improve local fish production, and promote rural economic development. Site Development, Land clearing, levelling, and slope stabilization. Construction of access pathways and drainage systems.","18-May-2026","24-Jun-2026","4680000","Work partially Completed"
"41","Normal/Others","WS/MP233/2026-2027/302520-Setting up processing plants, cold storages,etc for fish and fisheries products for community use","Nagaland","WOKHA(Deputy Commissioner Wokha_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","Construction of New fishery pond for the community at Baghty Town, Wokha district.","10-Aug-2026","28-Aug-2026","312000","Work partially Completed"
"42","Normal/Others","WS/MP233/2023-2024/56788-Construction of roads, link roads, pathways or any other road with or without drainage system","Nagaland","KIPHIRE(Deputy Commissioner Kiphire_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","Construction of approach road to kithu paddy field (2.5kms)","05-Dec-2023","01-Mar-2024","2500000","Physical Inspection"
"43","Normal/Others","WS/MP233/2023-2024/56800-Construction of roads, link roads, pathways or any other road with or without drainage system","Nagaland","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","Repair of approach road to Chingai ward","05-Dec-2023","21-Dec-2023","1500000","Physical Inspection"
"44","Normal/Others","WS/MP233/2023-2024/56829-Construction of roads, link roads, pathways or any other road with or without drainage system","Nagaland","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","Repair of approach road to Shantham Ward.","05-Dec-2023","21-Dec-2023","1000000","Physical Inspection"
