"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"22","Normal/Others","WS/MP233/2024-2025/133824-Development of playfields and sports grounds","Nagaland","WOKHA(Deputy Commissioner Wokha_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","Construction of Rostrum","20-Jul-2024","1000000","02-Dec-2024"
"23","Normal/Others","WS/MP233/2024-2025/133825-Construction of common work sheds/ common covered sitting area","Nagaland","KOHIMA(DEPUTY COMMISIONER_7)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","Construction of Rest Camp","20-Jul-2024","1500000","20-Dec-2024"
"24","Normal/Others","WS/MP233/2024-2025/133826-Construction of roads, link roads, pathways or any other road with or without drainage system","Nagaland","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","Construction of Approach Road","20-Jul-2024","1200000","09-Nov-2024"
"25","Normal/Others","WS/MP233/2024-2025/133827-Construction of water tanks","Nagaland","TUENSANG(Deputy Commissioner Tuensang_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","Water Tank at Tuensang Town Cemetery","20-Jul-2024","2000000","19-Oct-2024"
"26","Normal/Others","WS/MP233/2024-2025/133828-Purchase of training equipment","Nagaland","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","Upgradation of Weaving Infrastructure","20-Jul-2024","300000","06-Oct-2024"
"27","Normal/Others","WS/MP233/2025-2026/202323-Construction of roads, link roads, pathways or any other road with or without drainage system","Nagaland","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","Construction of Road from Chingai Ward Junction to DIC Office Mon","21-May-2025","21000000","20-Jun-2025"
"28","Normal/Others","WS/MP233/2025-2026/225200-Patrolling Vehicles to government institution for Public Conveniences, Safety and Security","Nagaland","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","Mon migration trail, a youth migration monitoring system developed by Mon District Police. To mitigate the various issues faced by youth who are migrating to various cities in search of livelihood opportunities. This app will assist them in getting access to timely help from law enforcement agencies when the need arises and will also address trafficking issues","05-Aug-2025","800000","03-Sep-2025"
"29","Normal/Others","WS/MP233/2025-2026/225201-Providing CCTV camera system for security of public areas","Nagaland","KOHIMA(DEPUTY COMMISIONER_7)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","The installation of ANPR camera has become a necessity in the state of Nagaland. This will provide specific information about the movement of vehicle to maintain law and order in the state. It will also act as a deterrent to criminals trying to commit crimes and will help the police force in executing their duty effectively and efficiently","05-Aug-2025","2000000","18-Dec-2025"
"30","Normal/Others","WS/MP233/2025-2026/225203-Installing tube-wells and borewells","Nagaland","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","Wangkhao College, the only government college in the district catering to approximately six hundred students has acute shortage of water supply in the campus. Hence, the construction of bore well and installation of a filtration system will help facilitate the supply of proper drinking water to the faculty and students","05-Aug-2025","2000000","03-Sep-2025"
"31","Normal/Others","WS/MP233/2025-2026/225205-Providing garbage collection and disposal systems","Nagaland","PHEK(Deputy Commissioner Phek_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","The construction of waste management unit at khezhakeno village will help the villagers to dispose the waste accumulated in the village in a scientific way. This will help keep the environment clean and healthy.","05-Aug-2025","500000","31-Oct-2025"
